Curated Gene Symbol	Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
LRIF1	220235_s_at	chromosome 1 open reading frame 103	C1orf103	0.024	-2.05	Alternative splicing
C5orf24	224875_at	chromosome 5 open reading frame 24	C5orf24	0.021	-2.49	Alternative splicing
CCDC117	225644_at	coiled-coil domain containing 117	CCDC117	0.006	-2.21	Alternative splicing
CEP68	212677_s_at	centrosomal protein 68kDa	CEP68	0.002	-2.28	Alternative splicing
CELF2	202156_s_at	CUG triplet repeat, RNA binding protein 2	CUGBP2	0.042	-2.73	Alternative splicing
CELF2	202158_s_at	CUG triplet repeat, RNA binding protein 2	CUGBP2	0.043	-2.08	Alternative splicing
FAM84A	234335_s_at	Family with sequence similarity 84, member A	FAM84A	0.026	-2.62	Alternative splicing
HAUS6	222685_at	HAUS augmin-like complex, subunit 6	HAUS6	0.03	-2.34	Alternative splicing
PEG3	230068_s_at	Paternally expressed 3	PEG3	0.047	-2.1	Alternative splicing
PRPF39	220553_s_at	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)	PRPF39	0.03	-3.09	Alternative splicing
RSBN1	222789_at	round spermatid basic protein 1	RSBN1	0.041	-2	Alternative splicing
RSBN1	222790_s_at	round spermatid basic protein 1	RSBN1	0.01	-2.47	Alternative splicing
RSBN1	222791_at	round spermatid basic protein 1	RSBN1	0.004	-2.79	Alternative splicing
SECISBP2L	212451_at	SECIS binding protein 2-like	SECISBP2L	0.05	-2.39	Alternative splicing
PNISR	212179_at	splicing factor, arginine/serine-rich 18	SFRS18	0.027	-2.09	Alternative splicing
TNRC6B	240044_x_at	Trinucleotide repeat containing 6B	TNRC6B	0.001	-3.24	Alternative splicing
	233405_at			0.023	-2.32	Alternative splicing
FRMD5	230831_at	FERM domain containing 5	FRMD5	0.001	-2.05	Cytoskeleton
HOOK3	236192_at	hook homolog 3 (Drosophila)	HOOK3	0.005	-2.36	Cytoskeleton
MAP1B	226084_at	microtubule-associated protein 1B	MAP1B	0.043	-3.36	Cytoskeleton
MYLIP	223130_s_at	myosin regulatory light chain interacting protein	MYLIP	0.031	-2.2	Cytoskeleton
STK38L	212565_at	serine/threonine kinase 38 like	STK38L	0.01	-2.11	Cytoskeleton
TTBK2	213922_at	tau tubulin kinase 2	TTBK2	0.017	-2.05	Cytoskeleton
	226964_at			0.015	-2	Cytoskeleton
EPM2AIP1	227847_at	EPM2A (laforin) interacting protein 1	EPM2AIP1	0.045	-2.08	Cell membrane
NIPAL1	232158_x_at	NIPA-like domain containing 1	NIPAL1	0.042	2.42	Cell membrane
PAQR3	213372_at	progestin and adipoQ receptor family member III	PAQR3	0.044	-2.8	Cell membrane
SEC22C	236268_at	SEC22 vesicle trafficking protein homolog C (S. cerevisiae)	SEC22C	0.019	-2.3	Cell membrane
TMEM106B	222787_s_at	transmembrane protein 106B	TMEM106B	0.04	-2.59	Cell membrane
	222145_at			0.019	2.51	Cell membrane
	241770_x_at			0.014	2.62	Cell membrane
ASH1L	222667_s_at	ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L	0.017	-2.19	Tight junction
PARD6B	235165_at	par-6 partitioning defective 6 homolog beta (C. elegans)	PARD6B	0.001	-2.14	Tight junction
ARHGEF3	218501_at	Rho guanine nucleotide exchange factor (GEF) 3	ARHGEF3	0.033	-2.66	Cell signalling and communication
ATXN1	1559249_at	ataxin 1	ATXN1	0.015	-2.12	Cell signalling and communication
CACYBP	210691_s_at	calcyclin binding protein	CACYBP	0.007	-2.15	Cell signalling and communication
CNKSR2	229116_at	connector enhancer of kinase suppressor of Ras 2	CNKSR2	0.042	-2.1	Cell signalling and communication
F2R	203989_x_at	coagulation factor II (thrombin) receptor	F2R	0.019	2.25	Cell signalling and communication
GABRB2	1557122_s_at	gamma-aminobutyric acid (GABA) A receptor, beta 2	GABRB2	0.025	-2.1	Cell signalling and communication
GPR155	239533_at	G protein-coupled receptor 155	GPR155	0.021	-2.9	Cell signalling and communication
PRKCE	206248_at	protein kinase C, epsilon	PRKCE	0.01	2.78	Cell signalling and communication
RASEF	1553186_x_at	RAS and EF-hand domain containing	RASEF	0.007	2.16	Cell signalling and communication
RICTOR	228248_at	RPTOR independent companion of MTOR, complex 2	RICTOR	0.012	-2.36	Cell signalling and communication
SORCS1	228194_s_at	sortilin-related VPS10 domain containing receptor 1	SORCS1	0.024	-2.52	Cell signalling and communication
TANK	209451_at	TRAF family member-associated NFKB activator	TANK	0.019	-2.16	Cell signalling and communication
TRIO	209011_at	triple functional domain (PTPRF interacting)	TRIO	0.027	-2.17	Cell signalling and communication
	225227_at			0.025	-2.16	Cell signalling and communication
	229506_at			0.014	-2.02	Cell signalling and communication
	233519_at			0.022	2.11	Cell signalling and communication
	237390_at			0.033	-2.53	Cell signalling and communication
DUSP19	1552705_at	dual specificity phosphatase 19	DUSP19	0.007	-2.06	MAPK signalling
MAP3K2	226979_at	mitogen-activated protein kinase kinase kinase 2	MAP3K2	0.01	-2	MAPK signalling
MAP2K7	216206_x_at	mitogen-activated protein kinase kinase 7	MAP2K7	0.033	2.46	MAPK signalling
MAP3K9	213927_at	mitogen-activated protein kinase kinase kinase 9	MAP3K9	0.042	-2.07	MAPK signalling
PPM1A	229027_at	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	PPM1A	0.036	-2.31	MAPK signalling
	229830_at			0.039	-2.38	MAPK signalling
	241155_at			0.033	-2.38	Phosphatidylinositol signalling
CADM1	232767_at	cell adhesion molecule 1	CADM1	0.02	2.09	Immune response
CD55	1555950_a_at	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CD55	0.013	2.11	Immune response
FCRL2	1563674_at	Fc receptor-like 2	FCRL2	0.034	2.47	Immune response
SIGLEC15	215856_at	sialic acid binding Ig-like lectin 15	SIGLEC15	0.045	2.04	Immune response
TNFRSF10C	234644_x_at	Tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	TNFRSF10C	0.03	2.53	Immune response
YTHDF2	217812_at	YTH domain family, member 2	YTHDF2	0.036	-2.74	Immune response
ACSM5	220061_at	acyl-CoA synthetase medium-chain family member 5	ACSM5	0	2.03	Metabolism
OSBPL8	228986_at	oxysterol binding protein-like 8	OSBPL8	0.02	-2.1	Metabolism
