Probe ID	p	Fold Change	Symbol	Entrez Gene Name
ILMN_1809478	0.0001	3.439	SSBP1	Single-stranded DNA binding protein 1
ILMN_1815203	0.0091	1.347	HMGCS2	3-Hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)
ILMN_1723418	0.0076	1.323	CEL	Carboxyl ester lipase (bile salt-stimulated lipase)
ILMN_1753449	0.0027	1.303	CST1	Cystatin SN
ILMN_1696295	0.0159	1.238	LY6G6D	Lymphocyte antigen 6 complex, locus G6D
ILMN_1881909	0.0142	1.201	SNAR-A1	Small ILF3/NF90-associated RNA A1
ILMN_1698995	0.0047	1.185	DES	Desmin
ILMN_1682326	0.0027	1.171	PCP4	Purkinje cell protein 4
ILMN_1795325	0.0012	1.169	ACTG2	Actin, g 2, smooth muscle, enteric
ILMN_1660086	0.0055	1.094	MYH11	Myosin, heavy chain 11, smooth muscle
ILMN_1804922	0.0507	1.068	IGF2	Insulin-like growth factor 2 (somatomedin A)
ILMN_1736078	0.016	0.99	THBS4	Thrombospondin 4
ILMN_1759089	0.0619	0.97	DEFA6	Defensin, a 6, Paneth cell-specific
ILMN_1770424	0.0561	0.951	DEFA5	Defensin, a 5, Paneth cell-specific
ILMN_1712075	0.0112	0.93	SYNM	Synemin, intermediate filament protein
ILMN_1671478	0.0363	0.858	CKB	Creatine kinase, brain
ILMN_1783142	0.1383	0.849	RPS4Y1	Ribosomal protein S4, Y-linked 1
ILMN_1794638	0.0303	0.849	VIP	Vasoactive intestinal peptide
ILMN_1678841	0.0284	0.848	UBD	Ubiquitin D
ILMN_1801832	0.1901	0.743	PRAC	Prostate cancer susceptibility candidate
ILMN_1722898	0.1247	0.721	SFRP2	Secreted frizzled-related protein 2
ILMN_1660317	0.1485	0.701	LEFTY1	Left-right determination factor 1
ILMN_1725139	0.0581	0.675	CA9	Carbonic anhydrase IX
ILMN_1803862	0.2507	0.665	LCN15	Lipocalin 15
ILMN_1677636	0.082	0.656	COMP	Cartilage oligomeric matrix protein
ILMN_1784459	0.1342	0.648	MMP3	Matrix metallopeptidase 3 (stromelysin 1, progelatinase)
ILMN_1651958	0.1039	0.608	MGP	Matrix Gla protein
ILMN_1802441	0.358	0.603	REG1A	Regenerating islet-derived 1 a
ILMN_1681462	0.3223	0.591	REG1B	Regenerating islet-derived 1 b
ILMN_1678947	0.098	0.583	CELP	Carboxyl ester lipase pseudogene
ILMN_1804151	0.1007	0.574	C3	Complement component 3
ILMN_1670779	0.1528	0.537	DPEP1	Dipeptidase 1(renal)
ILMN_1745356	0.1329	0.532	CXCL9	Chemokine (C-X-C motif) ligand 9
ILMN_1729212	0.1507	0.515	GRM8	Glutamate receptor, metabotropic 8
ILMN_1787266	0.2402	0.46	SPINK1	Serine peptidase inhibitor, Kazal type 1
ILMN_1720433	0.2284	0.456	FAM3D	Family with sequence similarity 3, member D
ILMN_1651354	0.3315	0.455	SPP1	Secreted phosphoprotein 1
ILMN_1772328	0.2995	0.438	FABP1	Fatty acid binding protein 1, liver
ILMN_1755537	0.3763	0.427	EIF1AY	Eukaryotic translation initiation factor 1A, Y-linked
ILMN_1752965	0.2422	0.416	GREM1	Gremlin 1
ILMN_1789007	0.2425	0.408	APOC1	Apolipoprotein C-I
ILMN_1802192	0.3288	0.403	C10orf99	Chromosome 10 open reading frame 99
