probeset_id	Gene Title	Gene Symbol	A-Value Base	A-Value +1833 CM	BH adjusted p-Value	M value fold change	Fold Change
1427747	lipocalin 2	Lcn2	8.01	10.74	5.80E-07	2.72	6.6
1448881	haptoglobin	Hp	8.53	10.86	1.10E-04	2.33	5
1444529	predicted gene, EG666806	EG666806	4.74	6.96	4.10E-06	2.22	4.7
1450826	serum amyloid A 3	Saa3	9.31	11.21	2.80E-03	1.9	3.7
1450297	interleukin 6	Il6	6.25	8.06	7.50E-04	1.81	3.5
1418675	oncostatin M receptor	Osmr	6.72	8.48	2.40E-06	1.76	3.4
1427479	eukaryotic translation initiation factor 1A	BB287469	7.34	9.06	2.60E-06	1.72	3.3
1455899_x	suppressor of cytokine signaling 3	Socs3	9.92	11.63	5.80E-07	1.71	3.3
1419100	serine (or cysteine) peptidase inhibitor,  clade A, member 3N	Serpina3n	7.22	8.89	1.10E-06	1.66	3.2
1456212_x	suppressor of cytokine signaling 3	Socs3	9.86	11.48	4.90E-06	1.62	3.1
1418674	oncostatin M receptor	Osmr	9.05	10.64	1.40E-05	1.6	3
1417256	matrix metallopeptidase 13	Mmp13	11.56	13.12	2.60E-06	1.56	2.9
1456204	small nucleolar RNA host gene (non-protein coding) 8	Snhg8	9.57	10.98	3.00E-05	1.42	2.7
1416576	suppressor of cytokine signaling 3	Socs3	8.99	10.41	2.80E-05	1.42	2.7
1425829	STEAP family member 4	Steap4	9.56	10.9	2.00E-05	1.34	2.5
1427035	solute carrier family 39 (zinc transporter), member 14	Slc39a14	8.1	9.36	3.60E-05	1.26	2.4
1417574	chemokine (C-X-C motif) ligand 12	Cxcl12	9.74	10.97	2.20E-05	1.23	2.3
1448908	phosphatidic acid phosphatase type 2B	Ppap2b	9.62	10.84	1.40E-04	1.22	2.3
1449038	hydroxysteroid 11-beta dehydrogenase 1	Hsd11b1	8.12	9.3	3.00E-05	1.18	2.3
1419029	ERO1-like	Ero1l	8.87	10.04	5.00E-04	1.16	2.2
1436003	vascular cell adhesion molecule 1	Vcam1	6.54	7.69	2.00E-03	1.15	2.2
1450440	glial cell line derived neurotrophic factor family receptor alpha 1	Gfra1	5.1	6.25	3.00E-05	1.15	2.2
1423413	N-myc downstream regulated gene 1	Ndrg1	8.39	9.52	9.00E-04	1.13	2.2
1451314	vascular cell adhesion molecule 1	Vcam1	10.2	11.32	4.00E-05	1.12	2.2
1460197	STEAP family member 4	Steap4	11.15	12.26	6.00E-05	1.11	2.2
1419030	ERO1-like	Ero1l	8.44	9.56	9.00E-04	1.11	2.2
1449324	ERO1-like	Ero1l	9.15	10.26	2.00E-04	1.11	2.2
1417130_s	angiopoietin-like 4	Angptl4	6.9	8	4.00E-05	1.1	2.1
1419647	immediate early response 3	Ier3	10.21	11.29	1.00E-04	1.08	2.1
1438954_x	C-fos induced growth factor	Figf	9.67	10.75	2.00E-03	1.08	2.1
1460469	tumor necrosis factor receptor superfamily, member 9	Tnfrsf9	8.94	10.01	4.00E-05	1.06	2.1
1424882	5-nucleotidase domain containing 2	Nt5dc2	10.38	11.44	7.00E-05	1.06	2.1
1417268	CD14 antigen	Cd14	8.22	9.28	1.00E-04	1.06	2.1
1419080	glial cell line derived neurotrophic factor	Gdnf	5.76	6.82	9.00E-04	1.06	2.1
1448823	chemokine (C-X-C motif) ligand 12	Cxcl12	11.37	12.42	4.00E-05	1.04	2.1
1438953	C-fos induced growth factor	Figf	9.65	10.69	1.00E-03	1.04	2.1
1420760_s	N-myc downstream regulated gene 1	Ndrg1	9.55	10.58	4.00E-04	1.03	2
1423233	CCAAT/enhancer binding protein (C/EBP), delta	Cebpd	10.5	11.51	3.00E-04	1.01	2
1438490	solute carrier family 39 (zinc transporter), member 14	Slc39a14	6.44	7.44	1.00E-04	1	2
1456250_x	transforming growth factor, beta induced	Tgfbi	8.68	9.68	8.00E-05	1	2
1424923	serine (or cysteine) peptidase inhibitor,  clade A, member 3G	Serpina3g	8.69	9.69	2.00E-04	0.99	2
1420380	chemokine (C-C motif) ligand 2	Ccl2	10.67	11.66	1.00E-04	0.99	2
1456174_x	N-myc downstream regulated gene 1	Ndrg1	9.33	10.31	2.00E-04	0.99	2
1448610	superoxide dismutase 2, mitochondrial	Sod2	10.49	11.47	3.00E-04	0.98	2
1439015	glial cell line derived neurotrophic factor family receptor alpha 1	Gfra1	5.84	6.82	2.00E-03	0.98	2
1438870	fibrillin 1	Fbn1	5.1	6.07	4.00E-03	0.97	2
1450977_s	N-myc downstream regulated gene 1	Ndrg1	8.65	9.62	9.00E-04	0.97	2
1416129	ERBB receptor feedback inhibitor 1	Errfi1	8.62	9.58	6.00E-05	0.96	2
1416501	3-phosphoinositide dependent protein kinase-1	Pdpk1	7.17	8.13	1.00E-02	0.96	2
1449705_x	minichromosome maintenance deficient 3	LOC100045	8.61	7.64	2.00E-03	-0.97	2
1448113	stathmin 1	LOC100039	7.5	6.53	1.00E-04	-0.97	2
1434767	expressed sequence C79407	C79407	6.01	5.05	8.00E-03	-0.97	2
1456630_x	Son cell proliferation protein	Son	6.28	5.31	4.00E-03	-0.97	2
1452040	cell division cycle associated 3	Cdca3	9.21	8.24	3.00E-04	-0.97	2
1439269_x	minichromosome maintenance deficient 7 (S. cerevisiae)	Mcm7	8.35	7.38	2.00E-04	-0.97	2
1429764	RIKEN cDNA 1500005K14 gene	1500005K14R	9.35	8.38	1.00E-04	-0.97	2
1448899_s	RAD51 associated protein 1	Rad51ap1	7.4	6.43	3.00E-04	-0.97	2
1416927	transformation related protein 53 inducible nuclear protein 1	Trp53inp1	8.29	7.31	2.00E-02	-0.98	2
1418245	RNA binding motif protein 9	Rbm9	9.71	8.73	2.00E-02	-0.98	2
