Probeset name 	P-value 	q-value 	Fold change 
hsa-miR-127-3p_st 	0.01089	0.49	-2.5
hsa-miR-379_st 	0.00077	0.228	-2.4
hsa-miR-125a-5p_st 	0.00976	0.49	-2.1
hsa-miR-432_st 	0.01914	0.49	-1.9
hsa-miR-143_st 	0.00262	0.303	-1.9
hsa-miR-145_st 	0.00144	0.228	-1.9
hsa-miR-409-5p_st 	0.01931	0.49	-1.9
hsa-miR-433_st 	0.01831	0.49	-1.9
hsa-miR-381_st 	0.00128	0.228	-1.9
hsa-miR-199a-3p_st 	0.01379	0.49	-1.8
hsa-miR-199b-3p_st 	0.01523	0.49	-1.8
hsa-miR-26b_st 	0.0092	0.49	-1.8
hsa-miR-199b-5p_st 	0.01441	0.49	-1.7
hsa-miR-143-star_st 	0.00168	0.228	-1.7
hsa-miR-1201_st 	0.00927	0.49	-1.7
hsa-miR-126_st 	0.00038	0.228	-1.7
hsa-miR-409-3p_st 	0.0156	0.49	-1.6
hsa-miR-101_st 	0.00698	0.49	-1.6
hsa-miR-517a_st 	0.01038	0.49	-1.5
hsa-miR-195-star_st 	0.01467	0.49	1.5
hsa-miR-363_st 	0.01581	0.49	1.6
