Function 	 Gene 	Cluster
 NADH dehydrogenase complex  	 NADH dehydrogenase (ubiquinone) 1:?/ subcomplex 1, 8 kDa;  subcomplex 1, 7 kDa;  subcomplex 2, 8 kDa Ubiquinol-cytochrome c reductase hinge protein 	 OxPhos cluster 
 Cytochrome c/cytochrome oxidase (COX) complex  	 Cytochrome c COX 5b, 6a1, 7a2L, 7b, 7c, 11 	 OxPhos cluster 
 ATP synthase, mitochrondrial  	 F0 complex, subunit c 	 OxPhos cluster 
  	 F1 complex  polypeptide, ? polypeptide 1 and O subunit 	 OxPhos cluster 
 ATP other  	 ATP binding protein 	 OxPhos cluster 
  	 ATP binding cassette subfamily D (ALD, member 3) 	 OxPhos cluster 
  	 ATPase H+ transporting, lysosomal: 21 kDa, VO subunit c and 9 kDa 	 OxPhos cluster 
 Other, mitochondrial  	 Translocases of inner mitochondrial membrane (TIMM): nos. 8B and 23 	 OxPhos cluster 
  	 Translocases of outer mitochondrial membrane (TOMM): nos. 7 and 20 	 OxPhos cluster 
  	 Diazepam binding inhibitor 	 OxPhos cluster 
 Apoptosis  	 BFL-1/A1 	 OxPhos cluster 
  	 MIHC (BIRC3) 	 OxPhos cluster 
  	 TNFA1P8 (SCC-S2) 	 OxPhos cluster 
  	 TNFRSF6 (FAS) 	 OxPhos cluster 
  	 Apoptosis-related protein (APR-3) 	 OxPhos cluster 
 Proteosome  	 Proteosome subunits: ? types 2, 5, 6, and 7; and type 4 	 OxPhos cluster 
  	 Proteosome 26s subunits: ATPase 2 and non-ATPase 4 	 OxPhos cluster 
 Ribosome, mitochondrial  	 L3, L15, L39, S17, S31, and S36 	 OxPhos cluster 
 Ribosome, other  	 L3, L4, L5, L10, L13a, L15, L17, L27, L30, L31, L36A, L36, large PO, S12, S17, S20, and S21 	 OxPhos cluster 
 Other  	 X-ray repair complementing defective repair 5 (XRCC5) 	 OxPhos cluster 
  	 Superoxide dismutase 1 (SOD1) 	 OxPhos cluster 
  	 Jumping translocation breakpoint 	 OxPhos cluster 
  	 CDW52 	 OxPhos cluster 
  	 H2AZ 	 OxPhos cluster 
  	 PTEN 	 OxPhos cluster 
 BCR signaling cascade  	 CD22 	 BCR/proliferation cluster 
  	 CD19 	 BCR/proliferation cluster 
  	 Igµ  	 BCR/proliferation cluster 
  	 CD79a 	 BCR/proliferation cluster 
  	 BLK 	 BCR/proliferation cluster 
  	 SYK 	 BCR/proliferation cluster 
  	 PLC ? 2 	 BCR/proliferation cluster 
  	 Inositol 1, 4, 5 triphosphate receptor type 3 	 BCR/proliferation cluster 
  	 Inositol 1, 4, 5 triphosphate 3 kinase B 	 BCR/proliferation cluster 
  	 Inositol polyphosphate-5-phosphatase 145 kDa 	 BCR/proliferation cluster 
  	 MAP4K1 	 BCR/proliferation cluster 
 Class II molecules  	 CD74 (invariant polypeptide MHC class II) 	 BCR/proliferation cluster 
 Transcription factors 	 PAX5 	 BCR/proliferation cluster 
  	 FOXO1A 	 BCR/proliferation cluster 
  	 BCL6 	 BCR/proliferation cluster 
  	 POU2AF1 (BOB-1/OBF-1/OCAB) 	 BCR/proliferation cluster 
  	 STAT6 	 BCR/proliferation cluster 
  	 TCF3 (E2A) 	 BCR/proliferation cluster 
  	 NFAT 	 BCR/proliferation cluster 
  	 SPI-B 	 BCR/proliferation cluster 
  	 ETS-1 (E26 homolog) 	 BCR/proliferation cluster 
  	 Ikaros 	 BCR/proliferation cluster 
  	 MYC 	 BCR/proliferation cluster 
 Other B-cell markers  	 CD37 	 BCR/proliferation cluster 
  	 BC11A 	 BCR/proliferation cluster 
 Proliferation  	 KI67 	 BCR/proliferation cluster 
  	 CDK2 	 BCR/proliferation cluster 
  	 Signal-induced proliferation-associated 1 like 3 	 BCR/proliferation cluster 
 Replication/repair  	 DEAD/H box polypeptides 11 and 39 	 BCR/proliferation cluster 
  	 Postmeiotic segregation increased (PMS) 2-like 2, 6, and 9 	 BCR/proliferation cluster 
  	 Minichromosome maintenance deficient (MCM) 2, 4, 5, and 7 	 BCR/proliferation cluster 
  	 p53 	 BCR/proliferation cluster 
  	 H2AX 	 BCR/proliferation cluster 
  	 PAX transactivation domain-interacting protein (PTIP) 	 BCR/proliferation cluster 
  	 MUTL homolog 6 	 BCR/proliferation cluster 
 Motility/cytoskeletal  	 Villin 2 (Ezrin) 	 BCR/proliferation cluster 
 Transcription modulators  	 SMARC A4, B1, and F1 	 BCR/proliferation cluster 
 Posttranscriptional modification  	 HDAC1 	 BCR/proliferation cluster 
  	 MYST histone acetyltransferase 4 	 BCR/proliferation cluster 
  	 Ubiquitin-activating enzyme E1 	 BCR/proliferation cluster 
 Other  	 Heat shock protein 90 beta 	 BCR/proliferation cluster 
 T/NK cell  	 T-cell receptor ? and  	 Host response cluster 
  	 CD2 	 Host response cluster 
  	 CD3 ?, ? and ? 	 Host response cluster 
  	 CD6 	 Host response cluster 
  	 CD28 	 Host response cluster 
  	 GATA3 	 Host response cluster 
  	 cMAF 	 Host response cluster 
  	 CXCR6 	 Host response cluster 
  	 LST (NKp30) 	 Host response cluster 
  	 Zap70 	 Host response cluster 
  	 Linker for activation of T-cells (LAT) 	 Host response cluster 
  	 FYN 	 Host response cluster 
  	 FYN binding protein (SLAP) 	 Host response cluster 
  	 Lymphocyte activation gene 3 (LAG3) 	 Host response cluster 
  	 CD100 (Sema 4D) 	 Host response cluster 
  	 Perforin 	 Host response cluster 
  	 NK transcript 4 	 Host response cluster 
  	 T-cell immune regulator (TIRC7) 	 Host response cluster 
  	 Leukocyte-associated Ig-like receptor 1 (LAIR-1) 	 Host response cluster 
 Complement  	 Complement 1qB, 1S, and 4A 	 Host response cluster 
  	 Complement 3? receptor 	 Host response cluster 
  	 Clade G (C1 inhibitor) 	 Host response cluster 
Monocyte/macrophage 	 CD14 	 Host response cluster 
  	 CD163 	 Host response cluster 
  	 B lymphocyte activator, macrophage expressed (BLAME) 	 Host response cluster 
  	 FGR 	 Host response cluster 
  	 SHPS-1 (BIT/SIRP?) 	 Host response cluster 
  	 Granulin 	 Host response cluster 
  	 Allograft inflammatory factor 	 Host response cluster 
 Antigen processing  	 Lysosomal-associated membrane protein 1 (LAMP1) 	 Host response cluster 
  	 Cathepsins B and D 	 Host response cluster 
  	 IFN—? inducible protein 30 (GILT) 	 Host response cluster 
 Interferon (IFN)  	 IFN-induced transmembrane proteins 1 and 2 	 Host response cluster 
  	 Guanylate binding proteins 1 and 2, IFN-inducible 	 Host response cluster 
  	 STAT1 	 Host response cluster 
  	 Interferon regulatory factors (IRFs) 1 and 7 	 Host response cluster 
 MHC Class I  	 HLA A, C, E and F 	 Host response cluster 
 TNF family members  	 TNFRSF 1A and B 	 Host response cluster 
  	 TNFSF10 (TRAIL) 	 Host response cluster 
  	 TNFSF13 (APRIL) 	 Host response cluster 
 Cytokine receptors  	 IL 2 receptor ? 	 Host response cluster 
  	 IL 6 receptor 	 Host response cluster 
  	 IL 15 receptor ? 	 Host response cluster 
  	 TGF  receptor II 	 Host response cluster 
  	 CSF-1 receptor 	 Host response cluster 
 ECM/adhesion  	 LFA-1 (integrins ? L and  2) 	 Host response cluster 
  	 PECAM1 (CD31) 	 Host response cluster 
  	 P-selectin glycoprotein ligand (PSGL-1) 	 Host response cluster 
  	 Collagens: type XVIII ? 1 and type IV ? 2 	 Host response cluster 
  	 Stromal-derived factor 1 	 Host response cluster 
 Apoptosis  	 Caspase 4, apoptosis-related cysteine protease 	 Host response cluster 
 Other  	 Notch 2 	 Host response cluster 
  	 Disabled homolog 2 (DAB2) 	 Host response cluster 
  	 FOXO3A 	 Host response cluster 
  	 MAF B 	 Host response cluster 
  	 Prostaglandin E receptor 4 	 Host response cluster 
  	 S100A4	 Host response cluster 
