Rank	GenBank	Name	Symbol	HepG2	Hep3B
1	BG289963	Membrane targeting (tandem) C2 domain containing 1	MTAC2D1	3.68	2.03
2	AF038196	Radical fringe homolog (Drosophila)	RFNG	3.09	1.99
3	BI334171	Filamin-binding LIM protein-1	FBLP-1	3.22	2.21
4	NM_006838	Methionyl aminopeptidase 2	METAP2	2.58	1.77
5	NM_003576	Serine/threonine kinase 24	STK24	2.37	1.78
6	NM_004363	CEACAM5	CEACAM5	2.46	1.89
7	NM_000308	Protective protein for ß-galactosidase	PPGB	2.89	2.27
8	NM_012429	SEC14-like 2 (S. cerevisiae)	SEC14L2	2.49	2.03
9	BC005066	SMARCE1	SMARCE1	2.17	1.81
10	BC009367	Zinc finger protein 317	ZNF317	2.47	2.11
11	NM_003600	Serine/threonine kinase 6	STK6	2.1	1.81
12	NM_002610	Pyruvate dehydrogenase kinase, isoenzyme 1	PDK1	2.07	1.83
13	NM_001067	Topoisomerase (DNA) II ·, 170 kDa	TOP2A	2.14	1.94
14	AK023129	HP1-BP74	HP1-BP74	2.07	1.88
15	NM_016237	Anaphase promoting complex subunit 5	ANAPC5	1.97	1.8
16	NM_005643	TAF11 RNA polymerase II, 28 kDa	TAF11	1.96	1.8
17	BC014253	Golgi membrane protein SB140	SMAP-5	2.02	1.89
18	NM_006468	Polymerase (RNA) III (DNA directed), 62 kDa	RPC62	1.97	1.91
19	NM_007210	GALNT6	GALNT6	1.97	1.96
20	AL049998	Phosphoinositide-3-kinase, class 2, · polypeptide	PIK3C2A	2.19	2.35
21	N23258	Family with sequence similarity 31, member C	FAM31C	2.03	2.2
22	NM_006666	RuvB-like 2 (E. coli)	RUVBL2	1.95	2.15
23	BC010629	Outer dense fiber of sperm tails 2	ODF2	2.46	2.77
24	NM_005999	Translin-associated factor X	TSNAX	2.66	5.79
25	NM_002856	Poliovirus receptor-related 2	PVRL2	0.83	2.04
26	NM_004508	Isopentenyl-diphosphate ‰ isomerase	IDI1	2.14	6.61
