miRNA ID	Fold change	p-value	Raw log2 values (mean K562 vs blood)
hsa-miR-584	4.00E+07	9.00E-211	0.1 vs 25.16
hsa-miR-1299	335610	3.00E-209	0.1 vs 18.45
hsa-miR-1471	8.00E+09	7.00E-209	0.1 vs 32.92
	4.00E+09	8.00E-209	0.1 vs 32.02
hsa-miR-200c	28	1.00E-210	0.1 vs 4.89
hsa-miR-520f	23894	1.00E-208	0.1 vs 14.64
hsa-miR-34a	21899	2.00E-207	0.1 vs 14.51
hsa-miR-1180	2.00E+06	2.00E-207	0.1 vs 20.61
hsa-miR-623	3.00E+11	8.00E-207	0.1 vs 38.30
hsa-miR-1469	24	1.00E-206	0.1 vs 4.70
hsa-miR-1182	1.00E+12	4.00E-206	0.1 vs 40.04
hsa-miR-28-5p	6.00E+22	8.00E-206	0.1 vs 75.63
hsa-miR-342-5p	1.00E+20	8.00E-206	0.1 vs 66.89
hsa-miR-652	9.00E+25	8.00E-206	37.45 vs 123.67
hsa-miR-665	417	1.00E-205	0.1 vs 8.80
hsa-miR-363	1.00E+21	1.00E-205	0.1 vs 70.04
hsa-miR-564	3.00E+12	1.00E-205	1.7 vs 42.93
hsa-miR-622	6.00E+08	2.00E-205	1.6 vs 30.84
hsa-miR-1224-5p	4.00E+26	2.00E-205	0.1 vs 88.40
hsa-miR-223	3.00E+15	4.00E-205	12.66 vs 96.29
hsa-miR-199b-5p	1.00E+17	3.00E-205	2.7 vs 59.19
hsa-miR-222	2.00E+15	3.00E-205	0.1 vs 50.99
hsa-miR-582-5p	2.00E+24	3.00E-205	0.1 vs 80.94
hsa-miR-145	7.00E+20	4.00E-205	26.26 vs 95.56
hsa-miR-143	2584	4.00E-205	0.1 vs 11.43
hsa-miR-557	1.00E+08	4.00E-205	0.1 vs 26.68
hsa-miR-664	1.00E+27	4.00E-205	0.1 vs 89.72
hsa-miR-31	18	5.00E-205	0.1 vs 4.26
hsa-miR-98	5.00E+17	6.00E-205	0.1 vs 58.88
hsa-miR-199a-5p	3.00E+22	7.00E-205	0.1 vs 74.59
hsa-miR-1183	4.00E+21	9.00E-205	0.1 vs 71.99
hsa-miR-1300	1.00E+11	9.00E-205	0.1 vs 36.60
hsa-miR-1225-3p	8565	0.0002	0.1 vs 13.16
hsa-miR-149	13087	0.0001	0.1 vs 13.77
hsa-miR-155	2.00E+27	0.0001	0.1 vs 90.52
hsa-miR-513a-5p	5.00E+37	0.0002	42.98 vs 168.19
hsa-miR-601	8.00E+09	0.0001	0.1 vs 32.98
hsa-miR-181c	515352	0.0002	0.1 vs 19.07
hsa-miR-513c	53223	0.0006	9.21 vs 24.92
hsa-miR-148b	2.00E+09	0.0002	36.62 vs 67.54
hsa-miR-491-3p	4	0.0003	0.1 vs 2.24
hsa-miR-424	1.00E+18	0.0008	67.89 vs 129.69
hsa-miR-371-5p	6.00E+11	0.0002	0.1 vs 39.19
hsa-miR-193b	285	0.0004	0.1 vs 8.25
hsa-miR-150	2.00E+16	0.0004	1.38 vs 55.42
hsa-miR-221	10	0.0005	0.1 vs 3.39
hsa-miR-671-5p	2.00E+28	0.0004	1.93 vs 95.69
hsa-miR-188-5p	3.00E+22	0.0003	24.39 vs 99.37
hsa-miR-202	8.00E+11	0.001	6.17 vs 45.73
hsa-miR-1323	1966	0.0009	0.1 vs 11.04
hsa-miR-605	41	0.0009	0.1 vs 5.45
hsa-miR-765	8.00E+37	0.0009	0.1 vs 126.0
hsa-miR-542-5p	42612	0.002	1.98 vs 17.36
hsa-miR-142-5p	5.00E+35	0.003	65.06 vs 183.66
hsa-miR-193a-5p	534	0.002	0.1 vs 9.16
hsa-miR-198	293	0.002	0.1 vs 8.30
hsa-miR-22	3.00E+37	0.007	323.77 vs 448.43
hsa-miR-663	6.00E+15	0.002	0.1 vs 52.43
hsa-miR-30e	4.00E+09	0.004	44.23 vs 76.03
hsa-miR-191	10	0.002	0.1 vs 3.37
hsa-miR-588	68	0.002	0.1 vs 6.18
hsa-miR-134	8.00E+33	0.002	19.53 vs 132.10
hsa-miR-186	5.00E+10	0.002	26.64 vs 62.05
hsa-miR-760	4.00E+09	0.003	3.21 vs 35.11
hsa-miR-135a	106	0.003	0.1 vs 6.82
hsa-miR-659	192232	0.003	0.1 vs 17.65
hsa-miR-361-3p	9.00E+09	0.004	11.98 vs 44.97
hsa-miR-518a-5p	19	0.005	0.1 vs 4.34
hsa-miR-650	16	0.005	0.1 vs 4.11
hsa-miR-197	5.00E+22	0.006	33.08 vs 108.50
hsa-miR-196b	16	0.007	0.1 vs 4.13
hsa-miR-664	8.00E+06	0.007	2.61 vs 25.61
hsa-miR-595	4602	0.009	0.1 vs 12.26
hsa-miR-320c	1.00E+15	0.009	162.57 vs 212.83
hsa-miR-874	2.00E+07	0.009	0.1 vs 24.51
