Curated Gene Symbol	gene_symbol	A? (Log2 Ratio)	A?AL (Log2 Ratio)	AL (Log2 Ratio)	RefSeq	description
		0.24	-3.87	0.58		25 kDa protein [Source:IPI;Acc:IPI00333523]
CST9L	CST9L	1	-3.81	0.47	NM_080610	Cystatin 9-like precursor (UNQ1835/PRO3543). [Source:Uniprot/SWISSPROT;Acc:Q9H4G1]
		-0.08	-3.65	-0.32	NM_139173	CG10806-like (LOC150159), mRNA [Source:RefSeq_dna;Acc:NM_139173]
SCML2	SCML2	0.35	-3.18	0.84	NM_006089	Sex comb on midleg-like protein 2. [Source:Uniprot/SWISSPROT;Acc:Q9UQR0]
		0.01	-2.81	-0.23		Hypothetical protein
		0.6	-2.78	0.39		Hypothetical protein
B3GNTL1	B3GNTL1	-0.16	-2.75	1.05	NM_001009905,NM_194288	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1 [Source:RefSeq_peptide;Acc:NP_001009905]
		0.77	-2.68	0.46		Non-protein coding transcript
		-0.31	-2.68	1.25		Hypothetical protein
		0.54	-2.65	2.2		Hypothetical protein
		-0.41	-2.62	-0.4	XM_498603	-
		-0.06	-2.44	0.3	NM_144725	-
		-0.5	-2.4	-0.22	NM_173618	-
OR51E1	OR51E1	0.06	-2.28	0.33		Olfactory receptor 51E1. [Source:Uniprot/SWISSPROT;Acc:Q8TCB6]
	Q8NBV6_HUMAN	0.41	-2.25	0.47		-
MAS1	MAS1	0.12	-2.21	0.33	NM_002377	MAS proto-oncogene. [Source:Uniprot/SWISSPROT;Acc:P04201]
	Q96CB2_HUMAN	0.02	-2.16	-0.41		-
OR2B3	OR2B3	0	-2.16	-0.08	NM_001005226	Olfactory receptor 2B3 (Olfactory receptor 6-4) (OR6-4) (Hs6M1-1). [Source:Uniprot/SWISSPROT;Acc:O76000]
		0.47	-2.12	-0.41		Hypothetical protein
		-0.25	-2.09	-0.45		Hypothetical protein
TMEM252	C9orf71	0.27	-2.08	-0.18	XM_376874	PREDICTED: chromosome 9 open reading frame 71 [Source:RefSeq_peptide;Acc:XP_376874]
		0.64	-2.08	0.69	NM_001009913	-
		-0.3	-2.07	0.9	XM_495890	-
OR4K15	OR4K15	0.72	-2.03	0.1	NM_001005486	Olfactory receptor 4K15. [Source:Uniprot/SWISSPROT;Acc:Q8NH41]
SHPRH	SHPRH	0.38	-2.02	-0.3	NM_173082	SNF2 histone linker PHD RING helicase [Source:RefSeq_peptide;Acc:NP_775105]
		0.52	-2.01	-0.35		Non-protein coding transcript
ALOX15	ALOX15	0	-2	0.23	NM_001140	Arachidonate 15-lipoxygenase (EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (15-LOX). [Source:Uniprot/SWISSPROT;Acc:P16050]
TGFBR3	TGFBR3	-0.15	-1.99	0.54	NM_003243	TGF-beta receptor type III precursor (TGFR-3) (Transforming growth factor beta receptor III) (Betaglycan). [Source:Uniprot/SWISSPROT;Acc:Q03167]
		0.17	-1.98	4.08		4 kDa protein [Source:IPI;Acc:IPI00411872]
TSPAN3	TM4SF8	-0.25	-1.96	0.11	NM_005724,NM_198902	Transmembrane 4 superfamily member 8 (Tetraspanin 3) (Tspan-3) (Tetraspanin TM4-A). [Source:Uniprot/SWISSPROT;Acc:O60637]
RDH10	RDH10	-0.36	-1.95	0.3	NM_172037	retinol dehydrogenase 10 [Source:RefSeq_peptide;Acc:NP_742034]
	Q66ZJ5_HUMAN	-0.05	-1.95	-0.04	NM_178134,XR_000161	Cytochrome P450. [Source:Uniprot/SPTREMBL;Acc:Q66ZJ5]
		0.65	-1.93	-0.25	XM_497872	-
OLIG2	OLIG2	-0.09	-1.93	0.68	NM_005806	Oligodendrocyte transcription factor 2 (Oligo2) (Basic helix-loop- helix protein class B 1) (Protein kinase C-binding protein RACK17) (Protein kinase C binding protein 2). [Source:Uniprot/SWISSPROT;Acc:Q13516]
	Q9P1G9_HUMAN	-0.19	-1.92	0.09		-
		-0.09	-1.9	-0.01	XM_498999	-
		-0.16	-1.9	0.33	XM_374086	-
		-0.31	-1.89	-0.45	XM_497740	PREDICTED: similar to Bcl-2-interacting protein beclin [Source:RefSeq_peptide;Acc:XP_497740]
CA2	CA2	1.51	-1.87	0.46	NM_000067	Carbonic anhydrase II (EC 4.2.1.1) (Carbonate dehydratase II) (CA-II) (Carbonic anhydrase C). [Source:Uniprot/SWISSPROT;Acc:P00918]
		1.07	-1.87	-0.08		51 kDa protein [Source:IPI;Acc:IPI00335409]
		0.34	-1.86	-0.26	NM_152761	-
		0.26	-1.85	0.88	XM_371200	PREDICTED: similar to R30217_1 [Source:RefSeq_peptide;Acc:XP_371200]
		-0.18	-1.83	0.13	NM_018342	-
OR52E6	OR52E6	-0.25	-1.83	0.22	NM_001005168	Olfactory receptor 52E6. [Source:Uniprot/SWISSPROT;Acc:Q96RD3]
	Q96MG3_HUMAN	-0.01	-1.83	1.09		-
		-0.32	-1.82	0.35		Hypothetical protein
		0.38	-1.82	0.1	NM_004387	NK2 transcription factor related, locus 5 [Source:RefSeq_peptide;Acc:NP_004378]
		-0.37	-1.82	-0.22	NM_153217	-
		0.5	-1.82	1.28		Hypothetical protein
		-0.18	-1.81	0.08	XM_378828,XM_498732	-
	MRGX2_HUMAN	-0.48	-1.79	-0.41	NM_054030	Mas-related G-protein coupled receptor member X2. [Source:Uniprot/SWISSPROT;Acc:Q96LB1]
SERPINA9	SERPINA9	-0.2	-1.76	-0.23	NM_175739	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9 [Source:RefSeq_peptide;Acc:NP_783866]
		1.84	-1.75	1.59		Hypothetical protein
OR2F1	OR2F1	1.79	-1.74	-0.17	NM_012369	Olfactory receptor 2F1 (Olfactory receptor-like protein OLF3). [Source:Uniprot/SWISSPROT;Acc:Q13607]
		-0.24	-1.74	0.75	XM_378340	-
	DUS21_HUMAN	0.59	-1.73	0.43	NM_022076	Dual specificity protein phosphatase 21 (EC 3.1.3.48) (EC 3.1.3.16) (Low molecular weight dual specificity phosphatase 21). [Source:Uniprot/SWISSPROT;Acc:Q9H596]
		-0.12	-1.73	-0.3		Hypothetical protein
		-0.21	-1.72	-0.38	XM_497945	-
AFAP1L2	KIAA1914	0.43	-1.72	0.12	NM_001001936,NM_032550	-
	Q8N7F5_HUMAN	-0.08	-1.71	-0.25	NM_173518	-
		0.31	-1.71	0.48		Hypothetical protein
		0.09	-1.71	0.67		Non-protein coding transcript
INSL6	INSL6	0.36	-1.7	0.52	NM_007179	Insulin-like peptide INSL6 precursor (Insulin-like peptide 6) (Relaxin/insulin-like factor 1). [Source:Uniprot/SWISSPROT;Acc:Q9Y581]
		-0.08	-1.69	1.42	XM_370648	PREDICTED: hypothetical protein XP_370648 [Source:RefSeq_peptide;Acc:XP_370648]
		0.51	-1.69	0.93		-
NAT1	NAT1	-0.39	-1.68	-0.24	NM_000662	Arylamine N-acetyltransferase 1 (EC 2.3.1.5) (Arylamide acetylase 1) (Arylamine N-acetyltransferase, monomorphic) (MNAT) (N- acetyltransferase type 1) (NAT-1). [Source:Uniprot/SWISSPROT;Acc:P18440]
		0.44	-1.68	-0.36	XM_496740,XM_498995	-
	IL2_HUMAN	-0.45	-1.67	-0.13	NM_000586	Interleukin-2 precursor (IL-2) (T-cell growth factor) (TCGF) (Aldesleukin). [Source:Uniprot/SWISSPROT;Acc:P60568]
RIBC2	RIBC2	1.19	-1.67	2.09	NM_015653	RIB43A domain with coiled-coils 2 [Source:RefSeq_peptide;Acc:NP_056468]
		0.04	-1.67	-0.47		Hypothetical protein
ERN1	ERN1	-0.2	-1.66	0	NM_001433	Serine/threonine protein kinase/endoribonuclease IRE1 precursor (Inositol-requiring 1) (hIRE1p) (IRE1a) (Ire1alpha) (Endoplasmic reticulum-to-nucleus signaling 1) [Includes: Serine/threonine protein kinase (EC 2.7.1.37); Endoribonuclease (EC 3.1.26.-)]. [
		0.26	-1.65	0.78		Non-protein coding transcript
		0.31	-1.64	0.12	NM_002600	-
AKAP14	AKAP14	0	-1.63	-0.2	NM_178813,NM_001008534	A-kinase anchoring protein 14 (Protein kinase A anchoring protein 14) (A-kinase anchoring protein 28 kDa). [Source:Uniprot/SWISSPROT;Acc:Q86UN6]
		-0.27	-1.63	0.07		Non-protein coding transcript
		0.21	-1.61	0.06	NM_173667	-
		-0.19	-1.61	1.35	XM_498772,XM_498762,XM_498781,XM_498759,XM_498765,XM_498757,XM_498766,XM_498787,XM_498773,XM_498770,	-
		-0.37	-1.61	-0.42		Hypothetical protein
		0.5	-1.6	0.46	XM_059399	PREDICTED: similar to Calcium and integrin-binding protein 1 (Calmyrin) (DNA-PKcs interacting protein) (Kinase interacting protein) (KIP) (CIB) [Source:RefSeq_peptide;Acc:XP_059399]
		0.13	-1.6	0.04		Hypothetical protein
		0.23	-1.59	-0.22	NM_201550	leucine rich repeat containing 10 [Source:RefSeq_peptide;Acc:NP_963844]
		0.2	-1.59	1.58		Hypothetical protein
OR2T27	OR2T27	0.17	-1.58	0.05	NM_001001824	olfactory receptor, family 2, subfamily T, member 27 [Source:RefSeq_peptide;Acc:NP_001001824]
		-0.08	-1.58	-0.12		Hypothetical protein
		-0.5	-1.58	1.06	XM_498883	-
	GPR87_HUMAN	-0.31	-1.58	0.43	NM_023915	Probable G-protein coupled receptor 87 (FKSG88 protein). [Source:Uniprot/SWISSPROT;Acc:Q9BY21]
		0.38	-1.58	0.08		15 kDa protein [Source:IPI;Acc:IPI00412799]
PECAM1	PECAM1	-0.29	-1.56	0	NM_000442	Platelet endothelial cell adhesion molecule precursor (PECAM-1) (CD31 antigen) (EndoCAM) (GPIIA). [Source:Uniprot/SWISSPROT;Acc:P16284]
PASD1	PASD1	-0.35	-1.56	0.07	NM_173493	PAS domain containing 1 [Source:RefSeq_peptide;Acc:NP_775764]
		0.7	-1.54	0.97	XM_378272	-
		0.08	-1.54	-0.14	XM_498017	-
		-0.22	-1.54	0.93		Hypothetical protein
		0.05	-1.54	0.02	NM_080923	-
		1.11	-1.53	0.2	XM_373566	-
CRISP2	CRISP2	0.46	-1.53	-0.37	NM_003296	Cysteine-rich secretory protein-2 precursor (CRISP-2) (Testis-specific protein TPX-1). [Source:Uniprot/SWISSPROT;Acc:P16562]
	MLRM_HUMAN	0.44	-1.53	1.38	NM_006471	Myosin regulatory light chain 2, nonsarcomeric (Myosin RLC). [Source:Uniprot/SWISSPROT;Acc:P19105]
LYZL6	LYZL6	0.12	-1.53	0.22	NM_020426	lysozyme-like 6 [Source:RefSeq_peptide;Acc:NP_065159]
		0.28	-1.52	1.13	XM_378617	-
		-0.41	-1.52	0.47		60 kDa protein [Source:IPI;Acc:IPI00413437]
		0.55	-1.52	-0.03	XM_498267	-
		0.35	-1.52	-0.29		15 kDa protein [Source:IPI;Acc:IPI00477693]
OR8B4	OR8B4	0.47	-1.51	-0.19	NM_001005196	Olfactory receptor 8B4. [Source:Uniprot/SWISSPROT;Acc:Q96RC9]
	Q86XP7_HUMAN	0.63	-1.5	0.53		GDDM. [Source:Uniprot/SPTREMBL;Acc:Q86XP7]
VPS13D	VPS13D	-0.18	-1.5	-0.07	NM_015378,NM_018156	vacuolar protein sorting 13D isoform 2 [Source:RefSeq_peptide;Acc:NP_060626]
ART4	DO	0.25	-1.5	1.06	NM_021071	Ecto-ADP-ribosyltransferase 4 precursor (EC 2.4.2.31) (NAD(P)(+)-- arginine ADP-ribosyltransferase 4) (Mono(ADP-ribosyl)transferase 4) (Dombrock blood group carrier molecule). [Source:Uniprot/SWISSPROT;Acc:Q93070]
FAM26D	C6orf78	-0.36	-1.5	0.12	NM_153036	-
		0	-1.49	-0.33	NM_001004476	-
		0.06	-1.49	-0.27	NM_173644	-
		0	-1.48	0.29	NM_001008784	-
OR6W1P	OR6W1P	-0.36	-1.47	2.33	NR_002140	Olfactory receptor 6W1 (Olfactory receptor sdolf) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q96RR8]
		0.21	-1.47	-0.19	XM_378009	-
MCHR2	GPR145	0.03	-1.46	-0.17	NM_032503	Melanin-concentrating hormone receptor 2 (MCH receptor 2) (MCHR-2) (MCH-R2) (MCH2R) (MCH-2R) (MCH2) (G-protein coupled receptor 145) (GPRv17). [Source:Uniprot/SWISSPROT;Acc:Q969V1]
PTPDC1	PTPDC1	-0.08	-1.46	0.44	NM_152422,NM_177995	protein tyrosine phosphatase domain containing 1 protein isoform 1 [Source:RefSeq_peptide;Acc:NP_689635]
		1.36	-1.46	0.39	NM_014803	-
		-0.07	-1.45	-0.43	XM_497879	-
		0.07	-1.44	0.27	XM_373809	-
	Q16016_HUMAN	-0.06	-1.44	0.04		Pol protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q16016]
		0.11	-1.43	0.65		19 kDa protein [Source:IPI;Acc:IPI00478573]
		1.11	-1.43	-0.12		115 kDa protein [Source:IPI;Acc:IPI00479347]
		0.18	-1.43	0.27		Hypothetical protein
		0.55	-1.43	0.62	XM_294743	-
		0.02	-1.42	0.95		15 kDa protein [Source:IPI;Acc:IPI00156232]
		-0.23	-1.41	-0.38		Non-protein coding transcript
CPNE5	CPNE5	0.03	-1.4	-0.23	NM_020939	Copine V. [Source:Uniprot/SWISSPROT;Acc:Q9HCH3]
MYL2	MYL2	1.16	-1.4	1.58	NM_000432	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform (MLC-2) (MLC-2v). [Source:Uniprot/SWISSPROT;Acc:P10916]
		0.25	-1.4	-0.32	XM_374586,XM_294261	87 kDa protein [Source:IPI;Acc:IPI00414099]
		-0.04	-1.39	0.19		33 kDa protein [Source:IPI;Acc:IPI00396588]
KCNJ16	KCNJ16	-0.23	-1.39	-0.07	NM_170741,NM_018658,NM_170742	Inward rectifier potassium channel 16 (Potassium channel, inwardly rectifying, subfamily J, member 16) (Inward rectifier K(+) channel Kir5.1). [Source:Uniprot/SWISSPROT;Acc:Q9NPI9]
	Q9H359_HUMAN	-0.01	-1.39	0.34		-
		-0.1	-1.38	-0.25	NM_174927	spergen-1 [Source:RefSeq_peptide;Acc:NP_777587]
CNGA2	CNGA2	0.07	-1.38	-0.34	NM_005140	Cyclic-nucleotide-gated olfactory channel (Cyclic-nucleotide-gated cation channel 2) (CNG channel 2) (CNG-2) (CNG2) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q16280]
		0.96	-1.37	0.19		4 kDa protein [Source:IPI;Acc:IPI00479029]
		-0.09	-1.36	0.42	XM_379306	-
	Q8TBB7_HUMAN	1.99	-1.36	1.21		WDR22 protein. [Source:Uniprot/SPTREMBL;Acc:Q8TBB7]
OR4P4	OR4P4	0.7	-1.35	-0.43	NM_001004124	Olfactory receptor 4P4. [Source:Uniprot/SWISSPROT;Acc:Q8NGL7]
	Q8NH47_HUMAN	-0.17	-1.35	0.28		Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NH47]
HCG27	HCG27	0.21	-1.35	1.2	NM_181717	HLA complex group 27 [Source:RefSeq_peptide;Acc:NP_859068]
MCOLN3	MCOLN3	-0.09	-1.34	0.57	NM_018298	Mucolipin-3. [Source:Uniprot/SWISSPROT;Acc:Q8TDD5]
	DNJB7_HUMAN	0	-1.34	0.01	NM_145174	DnaJ homolog subfamily B member 7. [Source:Uniprot/SWISSPROT;Acc:Q7Z6W7]
		-0.47	-1.34	0.63	XM_496892,XM_499317,XM_496905,XM_499338	25 kDa protein [Source:IPI;Acc:IPI00412211]
		0.64	-1.34	0.11	XM_499150	-
		0.1	-1.34	-0.46	NM_004991	-
		0.11	-1.33	0.46	NM_207483	-
OR52E4	OR52E4	-0.23	-1.33	-0.16	NM_001005165	Olfactory receptor 52E4. [Source:Uniprot/SWISSPROT;Acc:Q8NGH9]
	Q9P162_HUMAN	0.63	-1.33	0.61		-
		-0.49	-1.32	-0.04	XM_378692	-
TCL1A	TCL1A	0.68	-1.32	1.33	NM_021966	T-cell leukemia/lymphoma protein 1A (P14 TCL1 protein) (TCL1 oncogene) (TCL-1 protein). [Source:Uniprot/SWISSPROT;Acc:P56279]
		0.13	-1.32	-0.37		Non-protein coding transcript
		-0.49	-1.32	-0.42	NM_025168	-
ZNF570	ZNF570	2	-1.31	1.28	NM_144694	zinc finger protein 570 [Source:RefSeq_peptide;Acc:NP_653295]
		-0.06	-1.31	-0.46		AF232917 Human spumaretrovirus envelope protein (env) gene, partial cds; tas (orf-1) gene, complete cds; and long terminal repeat, partial sequence
KCNC1	KCNC1	-0.11	-1.31	-0.01	NM_004976	Potassium voltage-gated channel subfamily C member 1 (Voltage-gated potassium channel subunit Kv3.1) (Kv4) (NGK2). [Source:Uniprot/SWISSPROT;Acc:P48547]
		-0.35	-1.31	-0.3	NM_001005210	-
GIMAP8	GIMAP8	-0.02	-1.31	0.85	NM_175571	GTPase, IMAP family member 8 [Source:RefSeq_peptide;Acc:NP_783161]
		-0.19	-1.3	-0.49	XM_495844	PREDICTED: similar to tigger transposable element derived 2 [Source:RefSeq_peptide;Acc:XP_495844]
	Q9BVY2_HUMAN	-0.37	-1.3	0.24		-
		0	-1.3	-0.47		Hypothetical protein
SLC35G1	TMEM20	1.74	-1.3	0.08	NM_153226	transmembrane protein 20 [Source:RefSeq_peptide;Acc:NP_694958]
		2	-1.29	-0.17	NR_001458	-
		-0.47	-1.29	0.26		Hypothetical protein
		0.37	-1.29	-0.45		-
COPE	COPE	0.38	-1.29	0.03	NM_199442,NM_007263,NM_199444	Coatomer epsilon subunit (Epsilon-coat protein) (Epsilon-COP). [Source:Uniprot/SWISSPROT;Acc:O14579]
		0.61	-1.29	-0.22		Non-protein coding transcript
		0.51	-1.28	1.81		Hypothetical protein
ADAM29	ADAM29	-0.36	-1.28	-0.49	NM_021780,NM_021779,NM_014269	ADAM 29 precursor (A disintegrin and metalloproteinase domain 29). [Source:Uniprot/SWISSPROT;Acc:Q9UKF5]
SPINT4	C20orf137	0.26	-1.28	0.03	XM_372869	PREDICTED: similar to dJ601O1.1 (novel protein with Kunitz/Bovine pancreatic trypsin inhibitor domain) [Source:RefSeq_peptide;Acc:XP_372869]
SFXN5	SFXN5	0	-1.28	0.83	NM_144579	Sideroflexin 5. [Source:Uniprot/SWISSPROT;Acc:Q8TD22]
	Q8WZ02_HUMAN	-0.09	-1.28	-0.39		-
		-0.34	-1.28	0.59	NM_033496	-
		0.92	-1.28	0.01		Non-protein coding transcript
C20orf112	C20orf112	0.03	-1.28	0.19	NM_080616	-
		-0.1	-1.27	-0.43		43 kDa protein [Source:IPI;Acc:IPI00478426]
AFM	AFM	0	-1.27	-0.41	NM_001133	Afamin precursor (Alpha-albumin) (Alpha-Alb). [Source:Uniprot/SWISSPROT;Acc:P43652]
CASQ2	CASQ2	0.06	-1.27	-0.29	NM_001232	Calsequestrin, cardiac muscle isoform precursor (Calsequestrin 2). [Source:Uniprot/SWISSPROT;Acc:O14958]
	Q8TBE4_HUMAN	0.04	-1.27	-0.21		-
		1.37	-1.27	-0.36	XM_373500	-
		0.42	-1.27	0.15	XM_498609	-
		-0.12	-1.26	0.18	NM_031310	plasmalemma vesicle associated protein [Source:RefSeq_peptide;Acc:NP_112600]
		-0.25	-1.25	-0.45	XM_496302	-
		0.85	-1.25	1.86	XM_373977	-
		-0.16	-1.25	0.02		Hypothetical protein
GREB1L	KIAA1772	0.41	-1.25	-0.36	NM_024935	KIAA1772 [Source:RefSeq_peptide;Acc:NP_079211]
	Q8TAF5_HUMAN	-0.34	-1.25	1.2		-
B3GALNT1	B3GALT3	0.39	-1.25	1.25	NM_033167,NM_033169,NM_033168,NM_003781	Beta-1,3-galactosyltransferase 3 (EC 2.4.1.79) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (b3Gal-T3) (Galactosylgalactosylglucosylceramide beta-D- acetyl-galactosaminyltransferase) (UDP-N- acetylgalactosamine:globotriaosylceramide beta-1,3-N- acetylgalactosaminyl
		0.19	-1.24	0.14	XM_295155	-
NOX5	NOX5	-0.3	-1.24	-0.19	NM_024505	NADPH oxidase, EF hand calcium-binding domain 5 [Source:RefSeq_peptide;Acc:NP_078781]
		1.91	-1.24	-0.26	XM_373559	-
	LGP1_HUMAN	-0.02	-1.24	-0.47	NM_032484	Protein D11Lgp1 homolog precursor. [Source:Uniprot/SWISSPROT;Acc:Q8N2G8]
		-0.3	-1.24	0.66	XM_378211	-
		-0.15	-1.24	0.03	NM_024909	-
ZNF90	ZNF90	-0.25	-1.24	-0.29		Zinc finger protein 90 (Zinc finger protein HTF9) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q03938]
		-0.38	-1.24	-0.29	XM_499237	-
		-0.24	-1.23	-0.04	XM_173120	-
		-0.19	-1.23	0.42	NM_022375	oculomedin [Source:RefSeq_peptide;Acc:NP_071770]
		0.57	-1.23	1.09	XM_374694,XM_373214	-
SLC25A2	SLC25A2	0.13	-1.23	0.27	NM_031947	Mitochondrial ornithine transporter 2 (Solute carrier family 25, member 2). [Source:Uniprot/SWISSPROT;Acc:Q9BXI2]
		0.42	-1.23	0.9		Hypothetical protein
TAS2R20	TAS2R49	-0.32	-1.23	0.03	NM_176889	Taste receptor type 2 member 49 (T2R49) (T2R56). [Source:Uniprot/SWISSPROT;Acc:P59543]
		0.35	-1.23	0.07		27 kDa protein [Source:IPI;Acc:IPI00412820]
TBX22	TBX22	-0.41	-1.23	-0.41	NM_016954	T-box transcription factor TBX22 (T-box protein 22). [Source:Uniprot/SWISSPROT;Acc:Q9Y458]
	Q8N9U9_HUMAN	-0.18	-1.22	0.4		-
