Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_008858_at	Prkd1	protein kinase D1	7.87	P	3.54	A	7.03	P	4.34	0	cytoplasmic
NM_025492_at	1700020L24Rik	RIKEN cDNA 1700020L24 gene	8.28	! MMM	4.68	A	8.04	! MM	3.6	0	cytoplasmic
NM_030595_at	Nbea	neurobeachin	7.02	P	4.14	! PAA	7.05	P	2.87	0	cytoplasmic, type II
NM_172294_at	Sulf1	sulfatase 1	8.78	P	6.13	P	8.89	P	2.65	0	secreted
NM_007494_at	Ass1	argininosuccinate synthetase 1	11.82	! MMM	9.27	! MMM	10.97	! MM	2.54	0	cytoplasmic
NM_001042613_at	Sepp1	selenoprotein P, plasma, 1	9.2	P	6.6	P	9.68	P	2.6	0.001	secreted
NM_010357_at	Gsta4	glutathione S-transferase, alpha 4	10.01	P	7.54	P	9.07	P	2.47	0	cytoplasmic
NM_001111026_at	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	6.21	P	3.79	A	5.88	P	2.42	0	cytoplasmic, multipass
NM_001111027_at	Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	5.99	P	4.03	A	5.78	P	1.96	0	cytoplasmic, multipass
NM_153513_at	BC028528	cDNA sequence BC028528	6.99	P	4.66	A	6.05	P	2.33	0	secreted
NM_013509_at	Eno2	enolase 2, gamma neuronal	8.53	P	6.21	P	7.97	P	2.32	0	cytoplasmic
NM_175429_at	Kctd12b	potassium channel tetramerisation domain containing 12b	8.86	P	6.55	P	8.1	P	2.31	0	cytoplasmic
NM_008597_at	Mgp	matrix Gla protein	13.65	P	11.47	P	13.12	P	2.18	0	secreted
NM_025331_at	Gng11	guanine nucleotide binding protein (G protein), gamma 11	8.24	P	6.12	A	7.53	P	2.12	0	cytoplasmic
NM_053110_at	Gpnmb	glycoprotein (transmembrane) nmb	7.02	P	4.86	! APA	5.95	! PM	2.16	0	secreted, type I
NM_001113283_at	BC031353	cDNA sequence BC031353	7.01	P	5	! AAP	6.21	P	2.01	0	cytoplasmic
NM_172893_at	Parp12	poly (ADP-ribose) polymerase family, member 12	6.98	P	5.04	P	6.82	P	1.93	0.001	cytoplasmic
NM_019976_at	Psrc1	proline/serine-rich coiled-coil 1	8.63	P	6.66	P	7.81	P	1.97	0.001	cytoplasmic
NM_010726_at	Phyh	phytanoyl-CoA hydroxylase	8.55	P	6.75	P	7.54	P	1.8	0.001	cytoplasmic
NM_020568_at	Plin4	perilipin 4	7.57	P	5.76	A	7.08	! PM	1.8	0.001	cytoplasmic
NM_008538_at	Marcks	myristoylated alanine rich protein kinase C substrate	9.93	P	8.17	P	9.27	P	1.75	0.001	cytoplasmic
NM_009925_at	Col10a1	collagen, type X, alpha 1	6.3	P	4.56	A	5.12	A	1.74	0.001	secreted
NM_147778_at	Commd3	COMM domain containing 3	11.03	P	9.29	P	9.98	P	1.74	0.001	cytoplasmic
NM_029436_at	Klhl24	kelch-like 24 (Drosophila)	7.12	P	5.36	P	7.21	P	1.76	0.001	cytoplasmic
NM_026931_at	1810011O10Rik	RIKEN cDNA 1810011O10 gene	7.92	P	6.07	P	8.18	P	1.85	0.001	cytoplasmic
NM_031843_at	Dpp7	dipeptidylpeptidase 7	9.22	P	7.53	P	8.43	P	1.69	0.001	type I
NM_172574_at	Pqlc3	PQ loop repeat containing	8.21	P	6.51	P	7.12	P	1.7	0.001	multipass
NM_011459_at	Serpinb8	serine (or cysteine) peptidase inhibitor, clade B, member 8	7.3	P	5.57	! PPA	7.17	P	1.73	0.001	cytoplasmic
NM_009517_at	Zmat3	zinc finger matrin type 3	9.53	P	7.86	P	8.71	P	1.67	0.001	cytoplasmic
NM_001130458_at	Tcn2	transcobalamin 2	8.11	P	6.44	P	7.9	P	1.67	0.001	secreted
NM_009223_at	Snn	stannin	9.24	P	7.61	P	8.97	P	1.63	0.001	type II
NM_011670_at	Uchl1	ubiquitin carboxy-terminal hydrolase L1	7.05	P	5.4	P	7.2	P	1.65	0.002	cytoplasmic
NM_001007580_at	Fndc3c1	fibronectin type III domain containing 3C1	9.18	P	7.53	P	8.32	P	1.65	0.002	type II
NM_010444_at	Nr4a1	nuclear receptor subfamily 4, group A, member 1	9.51	P	7.88	P	8.41	P	1.63	0.002	cytoplasmic
NM_018764_at	Pcdh7	protocadherin 7	5.16	P	3.53	A	4.83	P	1.64	0.002	type I
NM_007652_at	Cd59a	CD59a antigen	7.41	P	5.8	! PPA	6.53	P	1.61	0.002	cytoplasmic, type I
NM_001111060_at	Cd59a	CD59a antigen	7.04	P	5.59	! APA	6.33	! AP	1.46	0.004	cytoplasmic, type I
NM_010930_at	Nov	nephroblastoma overexpressed gene	10.71	P	9.02	P	10.76	P	1.69	0.003	secreted
NM_178149_at	Pik3ip1	phosphoinositide-3-kinase interacting protein 1	8.78	P	7.09	P	8.38	P	1.7	0.002	type I, type II
NM_008663_at	Myo7a	myosin VIIA	6.57	P	4.96	A	6.62	P	1.61	0.003	cytoplasmic
NM_181848_at	Optn	optineurin	7.46	P	5.86	! PPA	7.1	P	1.6	0.003	cytoplasmic
NM_146040_at	Cdca7l	cell division cycle associated 7 like	7.14	P	5.57	A	7.93	! PM	1.57	0.003	cytoplasmic
NM_008113_at	Arhgdig	Rho GDP dissociation inhibitor (GDI) gamma	7.38	P	5.81	! PPA	6.59	P	1.56	0.003	cytoplasmic
NM_001081146_at	Prickle2	prickle-like 2 (Drosophila)	6.51	P	4.96	! MPA	6.04	! PA	1.56	0.003	cytoplasmic
NM_011189_at	Psme1	proteasome (prosome, macropain) 28 subunit, alpha	9.53	P	8.02	P	9.28	P	1.51	0.003	cytoplasmic
