Ref Seq	Gene Symbol	Regulation	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_assignment
NM_005030	PLK1	down	3653072	-2.059073857	9.169677865	-19.44292799	3.85548E-14	7.21283E-10	21.28387379	NM_005030 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000300093 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// ENST00000330792 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347 /// AB209179 // PLK1 // polo-like kinase 1 (Drosophila) // 16p12.1 // 5347
NM_078467	CDKN1A	up	2905169	1.556731619	10.76894827	17.66035563	2.2451E-13	1.60316E-09	19.86653687	NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// NM_000389 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000244741 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000373711 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// BC000312 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026
NM_001255	CDC20	down	2333136	-1.645270119	8.776906928	-17.35924688	3.07083E-13	1.60316E-09	19.60850322	NM_001255 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// ENST00000372462 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// ENST00000310955 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991 /// U05340 // CDC20 // cell division cycle 20 homolog (S. cerevisiae) // 1p34.1 // 991
NM_003620	PPM1D	up	3729528	1.337657846	9.065845857	17.25461775	3.42776E-13	1.60316E-09	19.51749644	NM_003620 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// ENST00000305921 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// BC042418 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493 /// ENST00000392995 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform // 17q23.2 // 8493
NM_007135	ZNF79	up	3189837	0.935914668	8.73535231	16.75271331	5.85735E-13	2.19159E-09	19.07101657	NM_007135 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// ENST00000342483 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// BC062309 // ZNF79 // zinc finger protein 79 // 9q34 // 7633
NM_021783	EDA2R	up	4011096	1.414645742	8.292781492	15.81229626	1.66199E-12	5.1821E-09	18.18804777	NM_021783 // EDA2R // ectodysplasin A2 receptor // Xq12 // 60401 /// ENST00000374719 // EDA2R // ectodysplasin A2 receptor // Xq12 // 60401 /// ENST00000396050 // EDA2R // ectodysplasin A2 receptor // Xq12 // 60401 /// BC034919 // EDA2R // ectodysplasin A2 receptor // Xq12 // 60401 /// ENST00000253392 // EDA2R // ectodysplasin A2 receptor // Xq12 // 60401
NM_002392	MDM2	up	3421300	1.152119468	10.15511172	15.16323335	3.52394E-12	9.41799E-09	17.54094085	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_019099	C1orf183	up	2428079	1.29586906	6.880545841	14.9245555	4.67804E-12	1.09396E-08	17.2947803	NM_019099 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// NM_198926 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// ENST00000357260 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924 /// BC031558 // C1orf183 // chromosome 1 open reading frame 183 // 1p13.2 // 55924
NM_198433	AURKA	down	3910785	-1.446717503	8.590099783	-14.58145352	7.07758E-12	1.47119E-08	16.93288472	NM_198433 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_003600 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_198434 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_198436 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_198435 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_198437 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NR_001587 // AURKAPS1 // aurora kinase A pseudogene 1 // 1q41 // 6791 /// ENST00000395915 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000347343 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000395914 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000312783 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000395913 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000395909 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000371356 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000395911 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// AF011468 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// ENST00000395907 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790
NM_020375	C12orf5	up	3401756	1.24575313	9.690563763	14.13692123	1.22528E-11	2.29225E-08	16.44942985	NM_020375 // C12orf5 // chromosome 12 open reading frame 5 // 12p13.3 // 57103 /// ENST00000179259 // C12orf5 // chromosome 12 open reading frame 5 // 12p13.3 // 57103 /// AY425618 // C12orf5 // chromosome 12 open reading frame 5 // 12p13.3 // 57103
NM_031966	CCNB1	down	2813414	-1.552687632	9.804950476	-14.05473628	1.35826E-11	2.31004E-08	16.35819581	NM_031966 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000256442 // CCNB1 // cyclin B1 // 5q12 // 891 /// AK289431 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000380848 // CCNB1 // cyclin B1 // 5q12 // 891
NM_012396	PHLDA3	up	2450855	1.391070578	8.616866779	13.92268897	1.60451E-11	2.50143E-08	16.21037214	NM_012396 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367311 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// ENST00000367309 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612 /// BC068273 // PHLDA3 // pleckstrin homology-like domain, family A, member 3 // 1q31 // 23612
NM_022767	ISG20L1	up	3607232	0.810164609	9.1811427	13.7528695	1.99176E-11	2.86629E-08	16.01799346	NM_022767 // ISG20L1 // interferon stimulated exonuclease gene 20kDa-like 1 // 15q26.1 // 64782 /// ENST00000332810 // ISG20L1 // interferon stimulated exonuclease gene 20kDa-like 1 // 15q26.1 // 64782 /// BC020988 // ISG20L1 // interferon stimulated exonuclease gene 20kDa-like 1 // 15q26.1 // 64782 /// AF327352 // ISG20L1 // interferon stimulated exonuclease gene 20kDa-like 1 // 15q26.1 // 64782 /// ENST00000379231 // ISG20L1 // interferon stimulated exonuclease gene 20kDa-like 1 // 15q26.1 // 64782 /// AB209323 // ISG20L1 // interferon stimulated exonuclease gene 20kDa-like 1 // 15q26.1 // 64782
