Function and gene name	Accession no.	Change (fold) at 2h postinfection:	Change (fold) at 6h postinfection:	Change (fold) at 16h postinfection:
Suppression of tumorigenicity 14, ST14	AA489246	1.8	4.56	0.93
Solute carrier family 4 anion exchanger member 3, SLC4A3	AA609880	1.58	2.1	0.95
Postmeiotic segregation increased (Saccharomyces cerevisiae) 1, PMS	AA504838	1.49	3.14	0.81
KIAA1288 protein	AA621202	1.43	2.36	0.87
KIAA0082 protein	AA504460	1.39	2.33	0.89
Hypothetical protein FLJ23018	T83664	1.43	2.43	0.85
Hypothetical protein FLJ10748	AA398335	1.07	2.08	0.93
Homo sapiens mRNA from chromosome 5q21-22, clone:357Ex	AA481425	1.44	2.81	1.08
Homo sapiens cDNA FLJ13569 fis, clone PLACE1008369	AA478962	1.15	2.01	0.79
GT198 complete ORF HUMGT198A	AA134555	1.62	2.25	0.79
ESTs	N48707	2.35	11.79	1.58
	AA461091	1.41	2.03	0.75
	AA101833	1.55	2.17	0.88
	AA446019	1.57	2.93	0.87
	AA399260	1.45	2.51	0.84
	AA905171	1.49	2.27	0.92
	N51444	3.16	8.4	1.36
	N63609	2.79	7.94	1.37
	AA621192	1.57	3.2	0.74
	AA620632	2.64	3.61	1.06
	AA620746	1.32	3.01	0.84
DKFZP434D193 protein	N63452	2.25	6.87	0.81
Chromosome 16 open reading frame 5	AA401341	1.4	3.12	1.11
