Gene symbol	Accession no.	Adjusted P value	Fold change	Gene name
Fgg	NM_133862	0.025	10.868	fibrinogen gamma chain
Slc39a4	BC023498	0.034	9.088	solute carrier family 39 (zinc transporter), member 4
Car4	NM_007607	0.025	6.695	carbonic anhydrase 4
Slc5a5	AF380353	0.024	5.979	solute carrier family 5 (sodium iodide symporter), member 5
Shh	AV304616	0	5.804	sonic hedgehog
Got1	AA792094	0.037	5.784	glutamate oxaloacetate transaminase 1, soluble
Fam163a	BB183509	0.005	5.626	family with sequence similarity 163, member A
Olfm4	AV290148	0.025	5.517	olfactomedin 4
Bcat1	X17502	0.035	5.22	branched chain aminotransferase 1, cytosolic
Gm266	BB829749	0.008	5.032	predicted gene 266
Ppp2r3a	AI642021	0.016	4.636	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha
Sbf1	AV121839	0.035	4.389	SET binding factor 1
Esrrb	AV333667	0.024	4.003	estrogen related receptor, beta
Muc4	AF218265	0.033	3.853	mucin 4
B4galnt2	AI593864	0.017	3.548	beta-1,4-N-acetyl-galactosaminyl transferase 2
8430419L09Rik	NM_028982	0.022	3.541	RIKEN cDNA 8430419L09 gene
Lad1	NM_133664	0.024	3.354	ladinin
Slc22a23	BM234253	0.019	3.278	solute carrier family 22, member 23
Ankrd40	BB213578	0.016	3.229	ankyrin repeat domain 40
Cldn6	BC005718	0.03	3.215	claudin 6
Fxyd4	NM_033648	0.025	3.112	FXYD domain-containing ion transport regulator 4
Tmed6	NM_025458	0.013	2.969	transmembrane emp24 protein transport domain containing 6
Kif5c	AI844677	0.039	2.936	kinesin family member 5C
Rbm20	AK003783	0.024	2.906	RNA binding motif protein 20
Kdm6b	BB494168	0.03	2.876	KDM1 lysine (K)-specific demethylase 6B
Pcbd1	NM_025273	0.015	2.864	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1
BC017612	NM_133214	0.045	2.848	cDNA sequence BC017612
AI314604	BE991175	0.016	2.819	expressed sequence AI314604
C4bp	NM_007576	0.01	2.815	complement component 4 binding protein
Dusp14	AK009744	0.034	2.793	dual specificity phosphatase 14
Suclg2	BF608645	0.017	2.778	succinate-Coenzyme A ligase, GDP-forming, beta subunit
Slmo1	BB835597	0.017	2.766	slowmo homolog 1 (Drosophila)
Mtm1	NM_019926	0.039	2.732	X-linked myotubular myopathy gene 1
B3gnt1	AV032053	0.043	2.654	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1
Tceal1	BC011290	0.037	2.65	transcription elongation factor A (SII)-like 1
Rshl2a	AA544511	0.037	2.643	radial spokehead-like 2A; radial spoke 3A homolog (Chlamydomonas)
Mapk6	BC024684	0.033	2.588	mitogen-activated protein kinase 6 (Extracellular signal-regulated kinase 3) (ERK-3)
Thy1	AV028402	0.03	2.574	thymus cell antigen 1, theta
Grhl3	AV231424	0.013	2.53	grainyhead-like 3 (Drosophila)
Trpm3	BB125842	0.037	2.53	transient receptor potential cation channel, subfamily M, member 3
Ddr1	BF225985	0.049	2.497	discoidin domain receptor family, member 1
Rcor1	AW543416	0.028	2.493	REST corepressor 1
