Gene	Product description	Sessile vs Inoculation FC	Sessile vs Inoculation P-value	Sessile vs Suspension FC	Sessile vs Suspension P-value	Category
lpl0183	Similar to hypothetical protein	0.45	1.161023	0.26	1.261029	Repressed genes
lpl0660	Similar to hypothetical protein, predicted membrane protein	0.16	0	0.15	7.1610213	Repressed genes
lpl1030	Unknown	0.49	1.261022	0.40	1.261024	Repressed genes
lpl1037	Similar to Legionella LvrB protein	0.43	2.561024	0.27	6.3610210	Repressed genes
lpl1059	Similar to EnhC protein, contains seven sel-1 domains	0.48	1.461022	0.28	4.061028	Repressed genes
lpl1060	Similar to major facilitator family transporter	0.44	8.461024	0.32	1.861027	Repressed genes
lpl1495	Similar to unknown protein	0.50	1.361022	0.34	7.461027	Repressed genes
lpl1651	Some similarity with flagellar hook-length control protein FliK	0.41	2.861024	0.42	4.061024	Repressed genes
lpl1837	Similar to putative general secretion pathway protein	0.48	7.661023	0.38	1.261025	Repressed genes
lpl1853	Similar to hypothetical protein	0.23	3.0610210	0.19	0	Repressed genes
lpl1890	Similar to conserved hypothetical protein	0.42	1.261023	0.47	1.161023	Repressed genes
lpl2184	Putative membrane protein	0.31	4.961027	0.41	3.961025	Repressed genes
lpl2186	Similar to poly(3-hydroxyalkanoate) synthetase	0.46	7.961024	0.28	3.061029	Repressed genes
lpl2297	Unknown	0.27	2.161028	0.47	2.061023	Repressed genes
lpl2334	Similar to conserved hypothetical protein	0.46	2.561023	0.49	2.661023	Repressed genes
lpl2500	Unknown	0.28	1.861028	0.40	5.561025	Repressed genes
lpl2849	Similar to ABC transporter permease protein	0.49	1.261022	0.32	1.961026	Repressed genes
lpl0020	Similar to Legionella zinc metalloproteinase precursor	2.26	7.861024	2.20	1.561023	Induced genes
lpl0035	Unknown	2.19	9.361024	4.64	2.6610212	Induced genes
lpl0061	Unknown	2.35	6.461024	2.53	1.161025	Induced genes
lpl0064	Similar to transposase	3.47	1.661028	2.83	1.561025	Induced genes
lpl0119	Some similarity to L. pneumophila IcmL/DotI	2.35	1.261023	4.36	6.6610212	Induced genes
lpl0236	Similar to pyoverdine biosynthesis protein PvcA	3.22	1.761026	4.10	9.1610211	Induced genes
lpl0237	Similar to pyoverdine biosynthesis protein PvcB	3.95	2.761029	3.71	4.761029	Induced genes
lpl0328	Unknown	2.51	6.461025	4.43	9.3610212	Induced genes
lpl0444	Unknown	2.15	4.461023	4.51	3.6610212	Induced genes
lpl0479	Ankyrin repeat protein	2.10	1.561023	4.84	0	Induced genes
lpl0482	Unknown	3.87	1.061029	4.03	9.7610211	Induced genes
