Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_010882_at	Ndn	necdin	3.86	! AAM	9.53	P	3.65	A	-5.66	0	type II
NM_025422_at	Cd302	CD302 antigen	4.39	! MPM	7.99	P	4.1	! PA	-3.6	0	type I, type II
NM_010101_at	S1pr3	sphingosine-1-phosphate receptor 3	4.88	! PPA	8.41	P	4.7	A	-3.53	0	multipass
NM_028133_at	Egln3	EGL nine homolog 3 (C. elegans)	4.23	! PAA	7	P	4.05	A	-2.77	0	cytoplasmic
NM_016674_at	Cldn1	claudin 1	4.28	! AAP	6.72	P	4.46	P	-2.44	0	multipass
NM_011859_at	Osr1	odd-skipped related 1 (Drosophila)	6.88	P	9.09	P	7.23	P	-2.21	0	cytoplasmic
NM_023537_at	Rab3b	RAB3B, member RAS oncogene family	5.65	A	7.8	P	5.78	A	-2.15	0	cytoplasmic
NM_021560_at	Bhlhe22	basic helix-loop-helix family, member e22	4.15	! PAA	6.27	P	4.09	! PA	-2.12	0	cytoplasmic
NM_145953_at	Cth	cystathionase (cystathionine gamma-lyase)	6.64	! MMM	8.6	P	5.63	A	-1.97	0.001	cytoplasmic
NM_198113_at	Ssh3	slingshot homolog 3 (Drosophila)	3.97	A	5.77	! PAM	4.22	A	-1.8	0.001	cytoplasmic
NM_134163_at	Mbnl3	muscleblind-like 3 (Drosophila)	3.98	! AAM	5.73	P	3.87	A	-1.75	0.001	cytoplasmic
NM_033325_at	Loxl2	lysyl oxidase-like 2	4.23	! AAM	6.02	P	4.3	A	-1.79	0.001	cytoplasmic, secreted
NM_010791_at	Meox1	mesenchyme homeobox 1	6.37	! PAM	8.13	P	5.38	A	-1.77	0.001	cytoplasmic
NM_015784_at	Postn	periostin, osteoblast specific factor	5.11	A	6.83	! PAP	5.35	A	-1.72	0.001	secreted
NM_001082975_at	Sdr39u1	short chain dehydrogenase/reductase family 39U, member 1	5.72	A	7.34	! PPM	6.47	A	-1.62	0.001	cytoplasmic
NM_019444_at	Ramp2	receptor (calcitonin) activity modifying protein 2	4.87	! PPA	6.49	P	4.26	A	-1.62	0.001	multipass
NM_019670_at	Diap3	diaphanous homolog 3 (Drosophila)	7.3	P	8.87	P	7.25	P	-1.57	0.001	cytoplasmic
NM_013496_at	Crabp1	cellular retinoic acid binding protein I	3.91	A	5.45	P	3.98	A	-1.54	0.001	cytoplasmic
NM_008652_at	Mybl2	myeloblastosis oncogene-like 2	6.14	! PAP	7.66	P	6.53	P	-1.52	0	cytoplasmic
NM_019804_at	B4galt4	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4	5.39	P	6.86	P	4.59	A	-1.47	0	type II
NM_021451_at	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1	3.49	A	5.03	P	3.47	! AP	-1.54	0	cytoplasmic
NM_007806_at	Cyba	cytochrome b-245, alpha polypeptide	7.56	P	8.93	P	7.98	P	-1.37	0.001	multipass
XR_032055_at	LOC100045864	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 149 ESTs, 50 Proteins	5.44	P	6.82	P	5.78	! PA	-1.38	0.001	pseudogene
NM_001039181_at	Npr3	natriuretic peptide receptor 3	8.28	P	9.65	P	8.57	P	-1.36	0.001	cytoplasmic, type I
NM_008728_at	Npr3	natriuretic peptide receptor 3	8.24	P	9.6	P	8.52	P	-1.36	0.001	cytoplasmic, type I
NM_009627_at	Adm	adrenomedullin	6.23	P	7.68	P	6.27	P	-1.45	0.001	secreted
NM_010098_at	Opn3	opsin 3	6.84	A	8.19	! PAM	7.51	A	-1.35	0.001	multipass
NM_173400_at	Haus6	HAUS augmin-like complex, subunit 6	7.78	P	9.08	P	7.18	P	-1.3	0.001	cytoplasmic
NM_009369_at	Tgfbi	transforming growth factor, beta induced	5.58	P	6.91	P	4.53	! PA	-1.33	0.002	secreted
NM_026778_at	Cthrc1	collagen triple helix repeat containing 1	5.83	P	7.1	P	4.96	P	-1.28	0.002	secreted
NM_133990_at	Il13ra1	interleukin 13 receptor, alpha 1	4.26	P	5.52	P	4.5	P	-1.26	0.002	type I
NM_023579_at	Ipo5	importin 5	10.54	P	11.76	P	10.23	P	-1.23	0.002	cytoplasmic
