Symbol	p-value	FC	FC min	FC max	Known atherosclerosis related function	miRNA
PDZD2	<0.001	-9.07	-19.58	-3.4		hsa-miR-21
MPRIP	<0.001	-2.08	-3.66	-1.27	Morphology of VSCM [14]	hsa-miR-21
C17orf39	<0.001	-1.95	-3.77	-1.48		hsa-miR-21
TIMP3	0.021	-1.85	-5.97	-0.8	Inhibition of MMPs [16]	hsa-miR-21
MATN2	0.001	-1.81	-3.07	-1.07		hsa-miR-21
KBTBD6	0.047	-1.8	-4.02	-0.61		hsa-miR-21
EPHA4	0.04	-1.61	-3.52	-0.65		hsa-miR-21
JAG1	0.017	-1.58	-3.31	-1.01	Proliferation of VSCM [15]	hsa-miR-21
RECK	0.031	-1.4	-2.09	-0.9		hsa-miR-21
ASF1A	0.029	-1.33	-1.63	-1.05		hsa-miR-21
LEMD3	0.017	-1.32	-1.7	-1.16		hsa-miR-21
GREM2	<0.001	-5.48	-15.46	-0.87		hsa-miR-34a
LGR4	<0.001	-3.56	-8.07	-1.13		hsa-miR-34a
DIXDC1	<0.001	-3.19	-9.34	-1.25		hsa-miR-34a
MPP2	<0.001	-3.09	-6.17	-1.38		hsa-miR-34a
ProSAPiP1	0.002	-2.6	-5.99	-1.03		hsa-miR-34a
PKP4	0.005	-2.57	-5	-0.72		hsa-miR-34a
ZER1	0.005	-2.17	-4.66	-1.11		hsa-miR-34a
POGZ	0.005	-2.16	-6.55	-1.03		hsa-miR-34a
NAV3	0.01	-2.09	-4.94	-0.56		hsa-miR-34a
VCL	0.019	-2.09	-2.83	-1.53	Phenotype of VSCM [19]	hsa-miR-34a
NFE2L1	<0.001	-2.01	-2.7	-1.46		hsa-miR-34a
CBFA2T3	0.009	-1.91	-2.69	-1.12		hsa-miR-34a
PID1	0.04	-1.81	-3.53	-0.51		hsa-miR-34a
ABR	0.04	-1.7	-3.15	-0.79		hsa-miR-34a
SLC2A4RG	0.002	-1.7	-3.74	-1.37		hsa-miR-34a
JAG1	0.017	-1.58	-3.31	-1.01	Proliferation of VSCM [15]	hsa-miR-34a
ZDHHC17	0.025	-1.29	-1.67	-0.95	HDL-levels [20]	hsa-miR-34a
ZMYM4	0.043	-1.27	-1.72	-0.96		hsa-miR-34a
IGSF1	0.009	-1.87	-3.71	-0.87		hsa-miR-146a
SORT1	0.007	-1.77	-3.52	-0.85	Risk of CAD and LDL release [26]	hsa-miR-146a
NOVA1	0.016	-1.76	-2.98	-1.13		hsa-miR-146a
KCMF1	0.036	-1.47	-2.42	-0.87	Cell migration [29]	hsa-miR-210
