Curated miRBase	Log2 fold change	Adjusted p-value	Over-expressed in germinomas
hsa-miR-182	1.9	1.81E-10	miR-182
hsa-miR-146a	2.94	6.54E-08	miR-146a
hsa-miR-142-5p	2.73	4.23E-07	miR-142-5p
hsa-miR-142-3p	2.97	4.23E-07	miR-142-3p
hsa-miR-182	2.64	4.90E-07	miR-182
hsa-miR-96	2.43	5.09E-07	miR-96
hsa-miRPlus_28302	1.91	9.46E-07	miRPlus_28302
hsa-miR-146b-5p	2.26	9.46E-07	miR-146b-5p
hsa-miR-155	1.84	1.02E-06	miR-155
hsa-miR-29b	2.67	4.55E-06	miR-29b
hsa-miR-378	1.54	8.72E-06	miR-378
hsa-miR-30e	1.72	4.30E-05	miR-30e
hsa-miR-183	1.54	1.21E-04	miR-183
hsa-miR-520b	1.65	1.21E-04	miR-520b
hsa-miR-29a	2.4	3.02E-04	miR-29a
hsa-miR-101	1.5	3.38E-04	miR-101
hsa-miR-520c-3p	1.35	3.53E-04	miR-520c-3p
hsa-miR-25	1.06	4.58E-04	miR-25
hsa-miR-342-3p	1.47	4.58E-04	miR-342-3p
hsa-miR-590-5p	0.97	6.44E-04	miR-590-5p
hsa-miR-526b	1.23	7.91E-04	miR-526b
hsa-miR-520g	1.44	8.73E-04	miR-520g
hsa-miR-135b	1.66	1.50E-03	miR-135b
hsa-miR-515-5p	1.61	1.58E-03	miR-515-5p
hsa-miR-30a	1.22	2.37E-03	miR-30a
hsa-miR-9	1.77	2.37E-03	miR-9
hsa-miR-29c	0.78	3.64E-03	miR-29c
hsa-miR-29c	1.56	3.64E-03	miR-29c
hsa-miR-520g/h	1.13	3.76E-03	miR-520g/h
hsa-miR-512-3p	1.1	3.81E-03	miR-512-3p
let-7i	1.38	3.95E-03	let-7i
hsa-miR-34a	1.03	4.08E-03	miR-34a
hsa-miR-340	0.68	4.87E-03	miR-340
hsa-miR-373	1.56	5.53E-03	miR-373
hsa-miR-515-3p	0.98	7.06E-03	miR-515-3p
hsa-miR-32	0.75	8.18E-03	miR-32
hsa-miR-151-3p	0.8	8.29E-03	miR-151-3p
