Gene ID	Symbol	Cytoband	Fold Change	Name
10742	RAI2	Xp22	262.4597708	retinoic acid induced 2
245972	ATP6V0D2		124.571768	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2
6690	SPINK1	5q32	83.4206896	serine peptidase inhibitor, Kazal type 1
26053	AUTS2	7q11.22	145.3571606	autism susceptibility candidate 2
4319	MMP10	11q22.3	65.31175785	matrix metallopeptidase 10 (stromelysin 2)
624	BDKRB2	14q32.1-q32.2	45.18021288	bradykinin receptor B2
83481	EPPK1	8q24.3	47.58164793	epiplakin 1
387640	C10orf140	10p12.31	46.13106412	chromosome 10 open reading frame 140
219699	UNC5B	10q22.1	36.91153936	unc-5 homolog B (C. elegans)
3745	KCNB1	20q13.2	34.06659452	potassium voltage-gated channel, Shab-related subfamily, member 1
152789	JAKMIP1	4p16.1	33.98909397	janus kinase and microtubule interacting protein 1
123591	C15orf27	15q24.2	30.46329307	chromosome 15 open reading frame 27
4322	MMP13	11q22.3	51.4534638	matrix metallopeptidase 13 (collagenase 3)
6543	SLC8A2	19q13.3	45.61174099	solute carrier family 8 (sodium/calcium exchanger), member 2
79570	NKAIN1	1p35.2	28.7468771	Na+/K+ transporting ATPase interacting 1
3398	ID2	2p25	43.15133634	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
9355	LHX2	9q33.3	36.70477056	LIM homeobox 2
93953	ACRC	Xq13.1	46.48414023	acidic repeat containing
10826	C5orf4	5q31-q32	26.11246352	chromosome 5 open reading frame 4
1043	CD52	1p36	25.79117427	CD52 molecule
170850	KCNG3	2p21	26.47697993	potassium voltage-gated channel, subfamily G, member 3
84249	PSD2	5q31.2	21.24354304	pleckstrin and Sec7 domain containing 2
1880	GPR183	13q32.3	27.71673059	G protein-coupled receptor 183
84206	MEX3B	15q25.2	31.25106245	mex-3 homolog B (C. elegans)
337882	KRTAP19-1	21q22.1	23.52662097	keratin associated protein 19-1
23507	LRRC8B	1p22.2	19.59843659	leucine rich repeat containing 8 family, member B
80853	JHDM1D	7q34	22.29262257	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)
2049	EPHB3	3q21-qter	24.63549691	EPH receptor B3
140862	ISM1	20p12.1	25.46305001	isthmin 1 homolog (zebrafish)
23769	FLRT1	11q12-q13	30.73193424	fibronectin leucine rich transmembrane protein 1
4094	MAF	16q22-q23	21.92492496	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
11037	STON1	2p16.3	20.0828051	stonin 1
356	FASLG	1q23	22.05901239	Fas ligand (TNF superfamily, member 6)
441801	LOC441801	17p13.3	17.39780426	LOC441801
253738	EBF3	10q26.3	18.04535419	early B-cell factor 3
4674	NAP1L2	Xq13	23.72495315	nucleosome assembly protein 1-like 2
1649	DDIT3	12q13.1-q13.2	18.96586587	DNA-damage-inducible transcript 3
140706	C20orf160	20q11.2	17.15573657	chromosome 20 open reading frame 160
9244	CRLF1	19p12	18.10103141	cytokine receptor-like factor 1
9518	GDF15	19p13.11	19.13753795	growth differentiation factor 15
6657	SOX2	3q26.3-q27	17.91173685	SRY (sex determining region Y)-box 2
6286	S100P	4p16	23.38751489	S100 calcium binding protein P
143686	SESN3	11q21	17.22581097	sestrin 3
440934	LOC440934	2q36.1	20.11221399	hypothetical LOC440934
80726	KIAA1683	19p13.1	17.17613265	KIAA1683
22843	PPM1E	17q22	16.98473338	protein phosphatase, Mg2+/Mn2+ dependent, 1E
2977	GUCY1A2	11q21-q22	17.97956025	guanylate cyclase 1, soluble, alpha 2
5588	PRKCQ	10p15	17.2634845	protein kinase C, theta
54463	FAM134B	5p15.1	16.52601144	family with sequence similarity 134, member B
23462	HEY1	8q21	19.18180617	hairy/enhancer-of-split related with YRPW motif 1
3857	KRT9	17q21.1-q21.2	16.72962652	keratin 9
4703	NEB	2q22	18.57126263	nebulin
58495	OVOL2	20pter-q11.23	17.24771493	ovo-like 2 (Drosophila)
5567	PRKACB	1p36.1	15.78884063	protein kinase, cAMP-dependent, catalytic, beta
