ProbeUID	ProbeName	GeneName	SystematicName	Description	AverageLog	Average P-value
213748	A_68_P20425265	Arl4c	chr1:090532783-090532827	INSIDE	1.832073102	8.50E-23
38686	A_68_P23815278	Clock	chr5:077379328-077379372	PROMOTER	1.592800909	7.19E-22
159052	A_68_P25793616	Sgcz	chr8:039424285-039424344	PROMOTER	1.439898712	3.69E-21
63501	A_68_P30207154	Trps1	chr15:050716940-050716999	INSIDE	1.346006323	4.90E-21
27828	A_68_P20449476	Olfr1415	chr1:094327065-094327118	PROMOTER	1.224418245	1.37E-20
59137	A_68_P24024978	Fbxw	chr5:118419619-118419670	PROMOTER	1.157126031	2.81E-20
111411	A_68_P31111049	Ergic1	chr17:026290242-026290294	INSIDE	1.130382768	3.55E-20
12168	A_68_P25665676	F7	chr8:013032373-013032426	INSIDE	1.136189008	3.70E-20
18489	A_68_P21771109	Epb4.1l1	chr2:156109977-156110036	PROMOTER	1.214729005	5.56E-20
109796	A_68_P31663437	Scgb3a2	chr18:043884464-043884523	PROMOTER	1.142721586	5.79E-20
194210	A_68_P25422984	Dkk3	chr7:111950738-111950793	PROMOTER	1.160618523	6.24E-20
132936	A_68_P21740937	Pygb	chr2:150475306-150475364	PROMOTER	1.092930424	6.56E-20
104212	A_68_P32766333	Phex	chrX:152762381-152762440	PROMOTER	1.331922723	9.13E-20
235602	A_68_P25807713	Slc7a2	chr8:042360040-042360099	PROMOTER	1.173901334	1.08E-19
180284	A_68_P27006221	Taar6	chr10:023677791-023677850	PROMOTER	1.24718284	1.33E-19
139160	A_68_P29531039	Opn4	chr14:033434051-033434110	PROMOTER	1.426858936	1.49E-19
201248	A_68_P27889290	Pik3r5	chr11:068243310-068243366	PROMOTER	1.11990653	1.81E-19
208247	A_68_P20442689	Per2	chr1:093293071-093293130	PROMOTER	1.400074724	1.92E-19
139323	A_68_P31953456	Tmem109-Prpf19	chr19:010957555-010957614	DIVERGENT_PROMOTER	1.182077306	1.97E-19
38454	A_68_P23360402	Padi3	chr4:140084564-140084621	PROMOTER	1.080887216	2.02E-19
227991	A_68_P27211053	Nrbf2	chr10:066678227-066678285	INSIDE	1.111575843	2.80E-19
118778	A_68_P32691804	Nrk	chrX:134259765-134259822	PROMOTER	1.200473405	2.86E-19
117452	A_68_P22168827	Eif2a	chr3:058617626-058617685	INSIDE	1.245409145	2.87E-19
217204	A_68_P22282638	Fga	chr3:083108840-083108899	PROMOTER	1.224920988	3.22E-19
7546	A_68_P32143351	Cuedc2	chr19:046394043-046394099	PROMOTER	1.166513132	3.54E-19
158145	A_68_P22046066	Dnajc19	chr3:034271190-034271249	INSIDE	1.022038051	4.11E-19
94241	A_68_P21819919	Zswim3	chr2:164509296-164509355	INSIDE	1.045588787	4.85E-19
146629	A_68_P32081021	Ifit3	chr19:034645566-034645625	PROMOTER	1.185971834	4.92E-19
107369	A_68_P23698162	Slc34a2	chr5:053336067-053336126	PROMOTER	1.038839308	5.78E-19
