Gene Symbol	Probeset ID	p-value	Fold-Change
STMN2	203001_s_at	6.58E-16	8.5541
EDN3	208399_s_at	2.90E-06	8.54115
STMN2	203000_at	5.08E-13	8.01791
LOC100128178	232090_at	1.10E-05	5.63168
EDN3	217154_s_at	2.51E-07	5.32575
SIX2	206510_at	2.87E-09	4.44405
PCDH18	225975_at	1.06E-06	3.97564
SIX2	206511_s_at	2.06E-13	3.47325
C12orf39	229778_at	1.43E-07	3.32758
NEFL	221801_x_at	9.12E-06	3.19042
---	237435_at	6.53E-09	2.91775
PCDH18	225977_at	3.39E-09	2.80555
FLT1	210287_s_at	1.55E-09	2.73165
BBOX1	205363_at	3.38E-10	2.72559
LOC100128178	235891_at	3.04E-05	2.60106
---	235337_at	4.45E-05	2.50387
DLX2	215685_s_at	1.55E-06	2.3861
CCK	205827_at	2.35E-07	2.34765
C18orf34	1558820_a_at	1.47E-08	2.33407
KIAA0644	205150_s_at	7.56E-05	2.32448
SLITRK5	214930_at	2.05E-06	2.29538
LHX8	1569469_a_at	1.27E-10	2.29495
MSX2	210319_x_at	2.53E-06	2.24655
F2R	1569642_at	5.65E-05	2.15716
RIMS3	204730_at	9.02E-09	2.12024
SHISA3	229485_x_at	3.03E-09	2.09943
NEURL1B	225355_at	6.44E-05	2.09374
INHBE	210587_at	6.70E-10	2.00659
KRT75	207065_at	5.53E-06	-2.00776
TNFSF15	221085_at	3.29E-05	-2.0082
LOC692247	1569453_a_at	5.03E-05	-2.09629
HSD17B2	204818_at	4.64E-11	-2.11582
CDCP1	1554110_at	7.55E-05	-2.6507
LAMA3	203726_s_at	1.45E-08	-2.89674
CA9	205199_at	1.23E-06	-3.23179
