Probeset	P Value	FDR	Fold change	Direction	Symbol	Name
230682_x_at	0	0.0005	-1.52	DOWN	ABCC3	Multidrug resistance-associated protein 3(MRP3) (MOAT-D) (ABCC3)
210245_at	0	0.0004	-1.59	DOWN	ABCC8	Sulfonylurea receptor SUR1 (ABCC8)
236087_at	0.0005	0.0024	-1.53	DOWN	ABLIM2	actin binding LIM protein family, member 2
206014_at	0.0013	0.0042	-1.67	DOWN	ACTL6B	actin-like 6B
221128_at	0	0.0001	-1.53	DOWN	ADAM19	ADAM-19 (meltrin beta)
220705_s_at	0	0.0005	-1.52	DOWN	ADAMTS7	ADAMTS-7
229409_s_at	0	0.0003	-1.71	DOWN	ADO	2-aminoethanethiol (cysteamine) dioxygenase
209646_x_at	0.0514	0.0385	-1.59	DOWN	ALDH1B1	aldehyde dehydrogenase 1 family, member B1
211619_s_at	0.0001	0.0011	-1.56	DOWN	ALPPL2	Placental-like alkaline phosphatase(ALPP)
1560369_at	0.0281	0.0264	-1.51	DOWN	ANKH	ankylosis, progressive homolog (mouse)
243912_x_at	0.0059	0.0102	-1.53	DOWN	APOBEC3F	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F
204205_at	0.0021	0.0057	-1.54	DOWN	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G
231587_at	0	0	-1.58	DOWN	APOC3	apolipoprotein C-III
203381_s_at	0	0	-1.59	DOWN	APOE	Apolipoprotein E
236630_at	0.0026	0.0063	-1.51	DOWN	AQP2	Aquaporin 2 (AQP2)
232987_at	0.0488	0.0372	-1.82	DOWN	ARL17	ADP-ribosylation factor-like 17
207675_x_at	0	0.0001	-1.82	DOWN	ARTN	artemin
216052_x_at	0.0002	0.0013	-1.61	DOWN	ARTN	artemin
229215_at	0.0086	0.0128	-1.73	DOWN	ASCL2	achaete-scute complex homolog 2 (Drosophila)
220451_s_at	0	0.0001	-1.59	DOWN	BIRC7	baculoviral IAP repeat-containing 7
225990_at	0.0005	0.0023	-1.51	DOWN	BOC	Boc homolog (mouse)
201743_at	0.0294	0.0272	-1.53	DOWN	CD14	CD14 molecule
205987_at	0.001	0.0037	-1.57	DOWN	CD1C	CD1c molecule
1567627_at	0	0.0005	-1.54	DOWN	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain
209057_x_at	0.068	0.0461	-1.91	DOWN	CDC5L	CDC5 cell division cycle 5-like (S. pombe)
216894_x_at	0.0023	0.0059	-1.73	DOWN	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
219534_x_at	0.0143	0.0174	-1.81	DOWN	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
213348_at	0.0172	0.0195	-2.12	DOWN	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
213182_x_at	0.0294	0.0272	-1.62	DOWN	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)
207646_s_at	0.0632	0.044	-1.69	DOWN	CDY2A	chromodomain protein, Y-linked, 2A
203973_s_at	0.0107	0.0145	-1.51	DOWN	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta
207868_at	0.0034	0.0074	-1.54	DOWN	CHRNA2	Acetylcholine receptor protein, alpha-2chain
214635_at	0	0	-1.51	DOWN	CLDN9	claudin 9
206682_at	0	0.0005	-1.77	DOWN	CLEC10A	C-type lectin domain family 10, member A
232173_at	0	0.0001	-1.55	DOWN	CLEC2L	C-type lectin domain family 2, member L
221698_s_at	0.0014	0.0043	-1.87	DOWN	CLEC7A	C-type lectin domain family 7, member A
216993_s_at	0	0.0006	-1.55	DOWN	COL11A2	collagen, type XI, alpha 2
234876_at	0.0002	0.0012	-1.56	DOWN	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1
208146_s_at	0.0112	0.015	-1.82	DOWN	CPVL	Vitellogenic carboxypeptidase-likeprotein (HVLP) (CP-Mac)
203104_at	0.003	0.0069	-1.64	DOWN	CSF1R	Macrophage colony stimulating factor Ireceptor (CSF-1R)
205344_at	0	0	-1.6	DOWN	CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)
201360_at	0.0007	0.0029	-2.21	DOWN	CST3	cystatin C
214073_at	0.0404	0.033	-1.57	DOWN	CTTN	cortactin
205898_at	0.0383	0.032	-1.81	DOWN	CX3CR1	CX3CR1 receptor
205001_s_at	0.0706	0.0472	-2.49	DOWN	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked
239772_x_at	0.0176	0.0197	-1.7	DOWN	DHX30	DEAH (Asp-Glu-Ala-His) box polypeptide 30
210801_at	0.028	0.0264	-2.37	DOWN	DIMT1L	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)
234846_at	0.0002	0.0012	-1.54	DOWN	DKFZp761P0212	hypothetical protein DKFZp761P0212
205186_at	0.0002	0.0012	-1.51	DOWN	DNALI1	dynein, axonemal, light intermediate chain 1
237457_at	0	0.0001	-1.63	DOWN	EIF3B	eukaryotic translation initiation factor 3, subunit B
238245_at	0.0036	0.0076	-1.74	DOWN	ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7
229727_x_at	0	0	-1.92	DOWN	FAM148B	family with sequence similarity 148, member B
229390_at	0.0202	0.0214	-1.86	DOWN	FAM26F	family with sequence similarity 26, member F
1552383_at	0	0.0001	-1.54	DOWN	FAM71A	family with sequence similarity 71, member A
1555480_a_at	0.0143	0.0174	-1.51	DOWN	FBLIM1	filamin binding LIM protein 1
204232_at	0.0009	0.0034	-1.77	DOWN	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
1554899_s_at	0.0116	0.0153	-1.7	DOWN	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide
1553906_s_at	0.0002	0.0014	-1.56	DOWN	FGD2	FYVE, RhoGEF and PH domain containing 2
205782_at	0.0267	0.0256	-3.64	DOWN	FGF7	fibroblast growth factor 7 (keratinocyte growth factor)
223836_at	0.0216	0.0223	-2	DOWN	FGFBP2	fibroblast growth factor binding protein 2
210973_s_at	0	0.0001	-1.57	DOWN	FGFR1	FGFR1 FGF receptor 1
227265_at	0.002	0.0054	-2.07	DOWN	FGL2	fibrinogen-like 2
204834_at	0.0173	0.0195	-1.63	DOWN	FGL2	fibrinogen-like 2
228832_at	0	0.0002	-1.59	DOWN	FLJ20021	hypothetical LOC90024
1553246_a_at	0.03	0.0275	-2	DOWN	FLJ23356	Tyrosine kinase homologue AK027009
1560035_at	0	0.0002	-1.54	DOWN	FLJ33590	hypothetical protein FLJ33590
206849_at	0.0306	0.0278	-1.69	DOWN	GABRG2	Gamma-aminobutyric-acid receptor gamma-2subunit (GABA(A)-C2)
229451_at	0	0.0003	-1.8	DOWN	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9
228568_at	0.038	0.0318	-1.61	DOWN	GCOM1	GRINL1A complex locus
221314_at	0.0095	0.0136	-1.61	DOWN	GDF9	growth differentiation factor 9
230360_at	0.0605	0.0428	-1.9	DOWN	GLDN	gliomedin
205495_s_at	0.019	0.0206	-1.98	DOWN	GNLY	granulysin
37145_at	0.0224	0.0229	-1.85	DOWN	GNLY	granulysin
240106_at	0.0012	0.0041	-1.57	DOWN	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
209769_s_at	0	0.0001	-1.7	DOWN	GP1BB	glycoprotein Ib (platelet), beta polypeptide
229971_at	0.0055	0.0098	-1.56	DOWN	GPR114	G protein-coupled receptor 114 (GPR114)
214510_at	0	0.0003	-1.58	DOWN	GPR20	G protein-coupled receptor GPR20.
229104_s_at	0	0	-1.55	DOWN	GPR39	G protein-coupled receptor GPR39.
212070_at	0.0387	0.0322	-1.71	DOWN	GPR56	Diadenosin Tetraphosphate Receptor
228313_at	0.0001	0.0008	-1.52	DOWN	GPRC5B	G-protein coupled receptor GPRC5B
210321_at	0.0356	0.0306	-2.25	DOWN	GZMH	Granzyme H (Cytotoxic T-lymphocyteprotease)
215778_x_at	0.0063	0.0107	-1.52	DOWN	HAB1	B1 for mucin
209458_x_at	0.0096	0.0137	-4.14	DOWN	HBA1	hemoglobin, alpha 1
