Gene symbol	Unique id	FDR	Geom mean of ratios in Cancer group	Geom mean of ratios in Normal group	Fold-change (Cancer/Normal)
TMEM22	PH_hs_0038059	0.0687	2.777	0.577	4.812
MMP8	PH_hs_0024515	0.0763	1.776	0.755	2.351
None	PH_hs_0040408	0.0429	1.296	0.592	2.188
ARG1	PH_hs_0025817	0.0211	11.461	5.443	2.106
DEFA4	PH_hs_0000344	0.0862	3.941	1.879	2.098
SLC27A3	PH_hs_0025689	0.0389	2.783	1.375	2.024
USH1C	PH_hs_0023496	0.0862	1.738	0.86	2.022
FBXW12	PH_hs_0035757	0.0669	1.198	0.633	1.893
CRISP3	PH_hs_0024631	0.0273	3.371	1.782	1.891
USP30	PH_hs_0026074	0.084	0.948	0.521	1.819
ANXA3	PH_hs_0021146	0.0385	5.152	2.874	1.793
HIST1H4I	PH_hs_0029514	0.0712	1.189	0.666	1.786
PROS1	PH_hs_0003988	0.0541	0.362	0.207	1.751
GYG1	PH_hs_0010438	0.0154	2.246	1.304	1.722
ANKRD22	PH_hs_0032205	0.063	2.132	1.272	1.676
GADD45A	PH_hs_0004630	0.0253	0.663	0.416	1.596
F5	PH_hs_0002589	0.0105	3.552	2.239	1.587
KIF15	PH_hs_0023756	0.0623	0.41	0.26	1.577
ST14	PH_hs_0003679	0.0308	1.168	0.753	1.551
HIST1H2BG	PH_hs_0034684	0.0719	1.132	0.732	1.546
CLU	PH_hs_0025525	0.0375	0.854	0.553	1.545
C19orf59	PH_hs_0010615	0.0926	5.53	3.632	1.523
ATP9A	PH_hs_0019278	0.0531	0.474	0.314	1.512
FKBP5	PH_hs_0000782	0.0463	2.622	1.736	1.511
ASGR2	PH_hs_0000166	0.0919	1.273	0.843	1.51
None	PH_hs_0031439	0.0541	1.364	0.905	1.506
SLC37A3	PH_hs_0025758	0.0253	1.192	0.795	1.5
CKAP4	PH_hs_0004243	0.0095	1.385	0.925	1.497
EMB	PH_hs_0040245	0.0897	3.282	2.215	1.481
RAB32	PH_hs_0002729	0.0495	1.958	1.338	1.464
TBC1D8	PH_hs_0025860	0.0226	1.419	0.983	1.443
SNX3	PH_hs_0001136	0.0041	1.451	1.008	1.44
HIST1H1E	PH_hs_0013158	0.0308	1.494	1.038	1.439
ERAL1	PH_hs_0030897	0.0602	1.808	1.277	1.416
HMGB2	PH_hs_0028423	0.0531	1.511	1.069	1.414
NFIL3	PH_hs_0004587	0.0591	3.28	2.335	1.405
MSI1	PH_hs_0009587	0.0866	1.974	1.424	1.386
ADAMTS20	PH_hs_0014873	0.0806	1.378	1.004	1.372
CD151	PH_hs_0026906	0.0712	0.495	0.361	1.369
CREG1	PH_hs_0030922	0.052	0.84	0.621	1.353
SLC26A6,NCKIPSD,CELSR3	PH_hs_0020493	0.0253	0.72	0.533	1.352
None	PH_hs_0039951	0.0897	1.363	1.012	1.347
C9orf98	PH_hs_0019730	0.0742	1.447	1.086	1.332
VIM	PH_hs_0025444	0.0712	0.889	0.668	1.331
HOMER3	PH_hs_0024838	0.0384	0.756	0.569	1.328
CHUK,ERLIN1	PH_hs_0032500	0.0211	0.804	0.606	1.326
GAPDH	PH_hs_0037816	0.063	0.551	0.416	1.324
CTSB	PH_hs_0031766	0.0954	0.749	0.568	1.319
CTSA	PH_hs_0006486	0.0669	2.001	1.52	1.316
DPY19L3	PH_hs_0035677	0.0799	1.617	1.239	1.304
CHAF1A	PH_hs_0033183	0.0374	0.612	0.47	1.301
GSTO1	PH_hs_0028760	0.0372	0.757	0.582	1.3
LILRA6	PH_hs_0026618	0.0763	2.484	1.918	1.295
HHEX	PH_hs_0006542	0.0588	2.129	1.645	1.295
METTL9	PH_hs_0014366	0.0914	1.186	0.919	1.29
None	PH_hs_0036161	0.0954	1.499	1.165	1.287
CCND3	PH_hs_0004752	0.0425	2.305	1.794	1.284
SRPK1	PH_hs_0024102	0.0614	1.111	0.878	1.265
ZNF155	PH_hs_0040876	0.091	1.246	0.986	1.264
PCMT1	PH_hs_0004574	0.0359	1.162	0.925	1.256
PRDX6	PH_hs_0000020	0.0927	0.624	0.502	1.243
EIF4G3	PH_hs_0024612	0.092	0.732	0.589	1.242
CYB5R1	PH_hs_0023860	0.0548	1.255	1.016	1.235
PGD	PH_hs_0027429	0.0938	2.216	1.797	1.233
SLC39A4	PH_hs_0035924	0.0558	0.715	0.585	1.222
GTPBP2	PH_hs_0001250	0.092	1.176	0.971	1.211
SETD8	PH_hs_0032504	0.0873	0.624	0.516	1.211
CAPNS1	PH_hs_0033087	0.052	1.458	1.22	1.195
G6PD	PH_hs_0004621	0.0558	1.588	1.334	1.191
None	PH_hs_0019601	0.0976	1.332	1.121	1.188
DBNL	PH_hs_0010817	0.0503	1.94	1.643	1.181
RAD23B	PH_hs_0031911	0.0794	0.812	0.69	1.177
ADAM9	PH_hs_0040856	0.0928	1.234	1.12	1.102
NFYC	PH_hs_0039272	0.0712	1.075	1.187	0.906
ZC3H12A	PH_hs_0014957	0.0603	1.012	1.125	0.9
SPDYC	PH_hs_0033769	0.0614	1.089	1.22	0.892
C1orf77	PH_hs_0016120	0.0429	0.895	1.005	0.89
None	PH_hs_0022155	0.0777	1.032	1.161	0.889
SYDE1	PH_hs_0000970	0.0253	1.06	1.195	0.887
ACTR1B	PH_hs_0000331	0.0873	0.871	0.982	0.886
C3orf37	PH_hs_0033907	0.0323	0.782	0.887	0.881
KLK5	PH_hs_0003518	0.0865	1.295	1.477	0.877
SMARCA2	PH_hs_0033106	0.0943	1.717	1.958	0.877
RABEPK	PH_hs_0035376	0.0296	0.92	1.051	0.875
C1orf174	PH_hs_0022255	0.0273	1.015	1.162	0.874
PCSK7	PH_hs_0025922	0.0919	1.639	1.876	0.874
CCDC98	PH_hs_0016473	0.0956	0.769	0.881	0.873
ORMDL1	PH_hs_0026763	0.0479	0.941	1.078	0.873
BAT2D1	PH_hs_0030308	0.0954	0.95	1.09	0.872
KCTD10	PH_hs_0015637	0.0273	0.8	0.919	0.87
OCIAD1	PH_hs_0022807	0.0138	0.674	0.777	0.868
WDR53	PH_hs_0033067	0.0127	1.141	1.32	0.864
SSTR5	PH_hs_0029475	0.0554	1.216	1.408	0.864
DDO	PH_hs_0010447	0.0584	1.18	1.367	0.863
HSD11B2	PH_hs_0039052	0.0954	1.119	1.298	0.862
CDC42EP5	PH_hs_0028374	0.0954	1.047	1.217	0.86
TCEAL1	PH_hs_0005202	0.0763	0.492	0.573	0.86
CHES1	PH_hs_0012356	0.0256	1.28	1.489	0.86
C1orf181	PH_hs_0000525	0.0851	0.621	0.723	0.859
TRIB2	PH_hs_0009360	0.0901	0.57	0.665	0.858
ZNF576	PH_hs_0001085	0.027	0.749	0.874	0.857
IMP3	PH_hs_0026912	0.0409	0.656	0.767	0.856
CAGE1	PH_hs_0030001	0.0632	0.833	0.974	0.855
NLRP7	PH_hs_0016956	0.0961	0.834	0.975	0.855
MTMR1	PH_hs_0016735	0.0832	1.115	1.305	0.855
KLHDC2	PH_hs_0025008	0.0712	0.822	0.962	0.855
None	PH_hs_0008262	0.0984	2.453	2.873	0.854
HEXIM1	PH_hs_0001428	0.0954	1.579	1.852	0.852
BAHD1	PH_hs_0001925	0.0092	0.93	1.092	0.852
MYO3A	PH_hs_0022643	0.0797	0.829	0.974	0.852
LTB4R,LTB4R2,C14orf21	PH_hs_0037920	0.0954	0.717	0.842	0.852
CLDND1	PH_hs_0005965	0.0354	0.978	1.149	0.851
XPC	PH_hs_0030850	0.0667	1.388	1.631	0.851
NCOA5	PH_hs_0014938	0.0497	1.024	1.203	0.851
THRAP6	PH_hs_0016546	0.0333	1.144	1.346	0.85
C14orf124	PH_hs_0014609	0.081	0.927	1.091	0.849
ZER1	PH_hs_0002543	0.0669	1.173	1.384	0.848
CENPC1	PH_hs_0030005	0.0794	1.029	1.216	0.846
MSL2L1	PH_hs_0026964	0.0531	1.526	1.805	0.845
RERE	PH_hs_0011475	0.091	1.759	2.082	0.845
C11orf61	PH_hs_0002997	0.0656	0.703	0.833	0.844
CARD10	PH_hs_0031262	0.0425	0.733	0.868	0.843
MTMR2	PH_hs_0010729	0.0105	0.89	1.056	0.843
PAFAH2	PH_hs_0026461	0.0656	0.957	1.135	0.843
CCDC16	PH_hs_0033231	0.0484	1.188	1.411	0.842
C10orf4	PH_hs_0023627	0.0762	0.876	1.041	0.842
PA2G4	PH_hs_0018140	0.1	0.637	0.757	0.842
TPT1	PH_hs_0024238	0.0087	1.769	2.1	0.842
ZNF37A	PH_hs_0026090	0.0429	0.957	1.138	0.841
KIAA0195	PH_hs_0015513	0.098	0.717	0.852	0.841
RMND5A	PH_hs_0027152	0.0389	0.909	1.083	0.84
ST8SIA2	PH_hs_0038039	0.0092	0.824	0.982	0.84
RNF122	PH_hs_0029232	0.0425	1.96	2.336	0.839
NHP2L1	PH_hs_0010764	0.0712	0.757	0.903	0.839
PPIF	PH_hs_0018569	0.0588	0.719	0.858	0.838
C21orf51	PH_hs_0023831	0.0952	0.716	0.856	0.837
ARF6	PH_hs_0030844	0.0956	1.377	1.645	0.837
USP20	PH_hs_0000562	0.052	0.938	1.121	0.836
YPEL1	PH_hs_0027143	0.0652	1.126	1.347	0.836
STXBP5L	PH_hs_0022365	0.028	0.956	1.144	0.836
TRADD	PH_hs_0005024	0.0305	2.074	2.482	0.836
MIS12	PH_hs_0013705	0.0952	0.737	0.882	0.835
KLHL21	PH_hs_0000800	0.0833	1.068	1.281	0.834
CBFA2T2	PH_hs_0009258	0.0712	0.744	0.893	0.834
AMACR,C1QTNF3	PH_hs_0022141	0.0555	0.764	0.917	0.834
POU2F1	PH_hs_0014636	0.0633	0.64	0.768	0.833
BDKRB1	PH_hs_0003282	0.0864	0.389	0.468	0.832
TCF20	PH_hs_0011832	0.0613	1.115	1.341	0.832
None	PH_hs_0019824	0.0273	1.12	1.347	0.832
LETM2	PH_hs_0023518	0.0305	0.786	0.946	0.831
CHCHD7	PH_hs_0025544	0.0902	1.307	1.574	0.831
COG1	PH_hs_0014607	0.0843	0.873	1.052	0.831
PSCD3	PH_hs_0000840	0.0529	0.382	0.46	0.83
VHL	PH_hs_0033268	0.0253	1.215	1.467	0.828
COX11	PH_hs_0020619	0.0954	0.815	0.985	0.828
C3orf62	PH_hs_0031525	0.0695	0.937	1.135	0.826
C12orf47	PH_hs_0027012	0.052	1.104	1.338	0.825
KISS1	PH_hs_0005191	0.0712	0.974	1.181	0.825
FAM102A	PH_hs_0032775	0.052	1.341	1.627	0.824
GPD1L	PH_hs_0004724	0.0928	0.606	0.735	0.824
FNBP4	PH_hs_0000693	0.0389	0.693	0.841	0.824
MRPL43	PH_hs_0025152	0.0675	0.864	1.051	0.823
MBIP	PH_hs_0024077	0.0389	0.582	0.708	0.822
TMEM42	PH_hs_0020042	0.0497	0.765	0.93	0.822
SFRS5	PH_hs_0010038	0.0635	1.348	1.64	0.822
LPXN	PH_hs_0027124	0.027	2.307	2.807	0.822
SMAD3	PH_hs_0032513	0.0545	0.711	0.865	0.821
RPL22	PH_hs_0029744	0.0712	0.766	0.933	0.821
C1orf9	PH_hs_0006014	0.0296	0.663	0.809	0.819
BTG2	PH_hs_0004330	0.0866	2.928	3.573	0.819
EXOC8	PH_hs_0017264	0.0671	1.398	1.712	0.817
PAQR8	PH_hs_0012898	0.0897	1.113	1.364	0.816
MARS2	PH_hs_0006388	0.0954	0.462	0.567	0.814
TARDBP	PH_hs_0015468	0.0711	0.681	0.837	0.813
RPL4	PH_hs_0033617	0.0897	0.641	0.79	0.811
FOXO1A	PH_hs_0010156	0.0714	1.611	1.989	0.81
ZIK1	PH_hs_0027487	0.0954	0.8	0.988	0.81
EIF4A2	PH_hs_0030638	0.0943	0.804	0.993	0.81
None	PH_hs_0035668	0.0954	0.745	0.92	0.809
None	PH_hs_0017379	0.0389	1.801	2.228	0.809
CERK	PH_hs_0002840	0.0618	1.269	1.57	0.808
PDE3B	PH_hs_0016568	0.0505	1.22	1.51	0.808
MAL	PH_hs_0004629	0.0963	0.887	1.098	0.807
C7orf36	PH_hs_0004756	0.0919	0.294	0.365	0.806
ABCA8	PH_hs_0022153	0.0873	1.029	1.279	0.804
NPAT	PH_hs_0027183	0.0711	0.92	1.145	0.804
None	PH_hs_0001875	0.0351	1.129	1.405	0.803
HIVEP2	PH_hs_0004266	0.0833	1.515	1.887	0.803
B3GNT6	PH_hs_0032812	0.0763	0.567	0.707	0.802
ZNF227	PH_hs_0024179	0.0226	0.933	1.163	0.801
CCDC104	PH_hs_0002032	0.0435	0.493	0.617	0.8
TTF1	PH_hs_0003596	0.0484	0.561	0.701	0.8
HSPA8	PH_hs_0040139	0.0541	0.769	0.963	0.799
