Gene Function	Gene	BT549 Fold Change	p-value	MDA-MB-231 Fol change	p-value
Epithelial	CTNNB1	0.48	1.60E-03	0.47	1.25E-03
Epithelial	CTNNA1	1.3	8.71E-03	0.68	5.80E-04
Epithelial	CTNNG	0.52	8.23E-03	0.46	1.58E-02
Epithelial	OCLN	0.35	9.71E-04	0.94	2.07E-02
Epithelial	CDH1	0.12	4.93E-02	0.21	4.94E-03
Mesenchymal	SNAI2	1.68	6.26E-03	1.1	1.67E-02
Mesenchymal	VIM	2.44	9.39E-04	1.23	6.79E-03
Mesenchymal	TWIST1	5.49	3.98E-03	4.56	3.99E-03
Mesenchymal	SPARC	1.82	2.03E-02	2.35	6.39E-03
Metastatic	NME1	2.7	1.57E-02	1.09	1.53E-03
Metastatic	PLAU	1.02	4.40E-04	0.85	1.57E-03
Metastatic	MMP9	2.11	3.64E-02	0.49	1.44E-03
Metastatic	MET	0.85	1.70E-02	0.76	3.10E-03
Metastatic	MMP2	1.04	2.07E-02	4.17	1.54E-03
Metastatic	MTA2	3.02	8.75E-03	1.58	1.49E-02
Metastatic	MMP1	1.29	4.36E-03	0.58	2.18E-02
Metastatic	NFKB1A	2.23	7.19E-03	1.02	3.49E-03
Metastatic	NFKB1	2.77	1.73E-02	1.7	3.96E-03
Metastatic	ERBB2	1.24	1.71E-03	0.96	5.05E-03
Metastatic	MYC	3.55	3.97E-04	0.95	1.40E-03
