Curated Gene Symbol	Gene Name	Gos3	U87	A172	SW1783	U118	U373	T98	SW1088	CCF	LN405
ANXA13	ANXA13	1.22	3.57	1.34	3.53	2.84	0.84	0.79	1.11	0.81	1.76
ASS1	ASS	0.59	0.23	0.13	0.53	0.76	0.16	0.42	0.09	0.11	0.21
BCHE	BCHE	0.76	0.6	1.3	0.15	1.33	0.48	0.25	0.19	0.22	0.43
CAPG	CAPG	3.01	2.16	4.28	1.03	1.45	0.81	0.85	1.36	1.03	1.64
CRIP2	CRIP2	1.71	0.4	2.59	0.39	1.17	0.84	0.38	0.42	0.56	0.38
	DKFZp761D112	3.27	2.35	2.57	1.73	2.6	1.29	0.86	1.13	0.91	1.32
ETV1	ETV1	0.38	4.4	0.85	3.28	1.35	0.44	0.22	1.12	0.41	0.24
GOLM1	GOLPH2	2.23	1.67	2.52	1.92	0.9	1.36	1.29	1.57	0.43	0.7
HOXB2	HOXB2	3.97	3.55	3.31	1.95	0.53	0.5	0.51	0.54	0.4	1.15
	LOC645166	1.55	1.16	2.95	1.22	2	0.78	1.24	0.69	0.45	0.84
LPHN2	LPHN2	1.68	0.59	2.17	0.21	0.44	0.22	0.19	0.21	0.22	0.31
MAGEA1	MAGEA1	0.04	0.55	0.4	0.58	0.8	0.3	0.07	0.08	0.06	0.08
MAGEA12	MAGEA12	0.04	0.38	0.38	0.59	0.73	0.31	0.11	0.1	0.08	0.11
MAGEA2	MAGEA2	0.06	0.4	0.43	0.68	0.76	0.38	0.06	0.06	0.06	0.07
MAGEA8	MAGEA8	0.1	0.53	0.43	0.66	0.8	0.35	0.27	0.2	0.14	0.19
MME	MME	0.98	2.01	6.76	4.93	3.24	0.58	1.22	2.21	1.36	0.87
MMP16	MMP16	3.56	2.93	1.55	2.31	2.83	1.49	1.04	1.29	1.01	1.87
MYO1B	MYO1B	0.12	1.35	0.19	1.08	0.78	0.54	0.26	0.21	0.15	0.06
NETO2	NETO2	1.63	2.17	1.01	2.28	0.91	0.34	0.46	1.99	0.5	1.21
NT5E	NT5E		2.38	1.48		2.12	1.46	0.55	0.69	0.34	1.36
NTN4	NTN4	1.84	0.36	0.65	0.87	7.43	0.62	0.53	1.24	0.43	0.22
TMEM158	RIS1	0.24	4.04	0.3	2.13	4.29	0.43	0.09	1.72	0.71	0.14
SERPINB2	SERPINB2		1.87	0.19	1.39	2.04	0.28	0.36	0.29	0.18	0.16
USP7	USP7	2.5	1.35	0.6	0.76	1.2	0.47	0.45	0.8	0.46	0.46
	hAA2246	6.52	7.18	15.49	6.28	2.41	4.23	2.98	3.83	2.32	2.31
