Gene symbol	Gene name	Fold change
Ca4	carbonic anhydrase IV	6.69
Got1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	5.78
Ppp2r3a	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	4.64
Sbf1	SET binding factor 1	4.39
Slc22a23	solute carrier family 22, member 23	3.28
Fxyd4	FXYD domain containing ion transport regulator 4	3.11
Kif5c	kinesin family member 5C	2.94
Rbm20	RNA binding motif protein 20	2.91
Pcbd1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepato-cyte nuclear factor 1 alpha	2.86
Dusp14	dual specificity phosphatase 14	2.79
Suclg2	succinate-CoA ligase, GDP-forming, beta subunit	2.78
Mtm1	myotubularin 1	2.73
B3gnt1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	2.65
Trpm3	transient receptor potential cation channel, subfamily M, member 3	2.53
Rcor1	REST corepressor 1	2.49
Socs1	suppressor of cytokine signaling 1	2.47
Lsm2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	2.47
Dync1i1	dynein, cytoplasmic 1, intermediate chain 1	2.35
Fut9	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)	2.32
Rtn4ip1	reticulon 4 interacting protein 1	2.3
Rnasek	ribonuclease, RNase K	2.09
Lonp1	lon peptidase 1, mitochondrial	2.08
Map6d1	MAP6 domain containing 1	1.95
Hira	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	1.94
Ppif	peptidylprolyl isomerase F	1.88
Arl13b	ADP-ribosylation factor-like 13B	1.86
Med20	mediator complex subunit 20	1.76
Flrt1	fibronectin leucine rich transmembrane protein 1	1.64
Usp3	ubiquitin specific peptidase 3	1.56
Dph2	DPH2 homolog (S. cerevisiae)	1.51
Gbf1	golgi-specific brefeldin A resistant guanine nucleotide exchange factor 1	1.51
Otud7a	OTU domain containing 7A	0.65
Rnf130	ring finger protein 130	0.64
Sp3	Sp3 transcription factor	0.6
Rpl11	ribosomal protein L11	0.59
N6amt2	N-6 adenine-specific DNA methyltransferase 2 (putative)	0.58
Gfod1	glucose-fructose oxidoreductase domain containing 1	0.58
Foxn3	forkhead box N3	0.57
Mbd5	methyl-CpG binding domain protein 5	0.57
Pnliprp2	pancreatic lipase-related protein 2	0.56
Tacr3	tachykinin receptor 3	0.54
Trove2	TROVE domain family, member 2	0.5
Oxtr	oxytocin receptor	0.48
Tgs1	trimethylguanosine synthase homolog (S. cerevisiae)	0.47
Usp37	ubiquitin specific peptidase 37	0.46
Tbc1d20	TBC1 domain family, member 20	0.45
Rpl37	ribosomal protein L37	0.45
Fjx1	four jointed box 1 (Drosophila)	0.44
Golim4	golgi integral membrane protein 4	0.41
Olfm1	olfactomedin 1	0.37
Taok1	TAO kinase 1	0.35
Cldnd1	claudin domain containing 1	0.35
Ggps1	geranylgeranyl diphosphate synthase 1	0.31
Rc3h2	ring finger and CCCH-type zinc finger domains 2	0.3
Tor1b	torsin family 1, member B (torsin B)	0.28
Zranb1	zinc finger, RAN-binding domain containing 1	0.21
