Entrez ID	Symbol	Description	P-value	Fold-change	Function
348	APOE	Apolipoprotein E	0.0266	0.8	Regulation of lipid metabolic process
2180	ACSL1	Acyl-CoA synthetase long-chain family member 1	0.0379	0.8	Regulation of lipid metabolic process
3952	LEP	Leptin	0.0099	0.7	Regulation of lipid metabolic process
5140	PDE3B	Phosphodiesterase 3B, cGMP-inhibited	0.0126	0.7	Regulation of lipid metabolic process
5468	PPARy	Peroxisome proliferator-activated receptor gamma	0.0426	0.7	Regulation of lipid metabolic process
8660	IRS2	Insulin receptor substrate 2	0.0118	0.9	Regulation of lipid metabolic process
9370	ADIPOQ	Adiponectin, C1Q and collagen domain containing	0.0094	0.7	Regulation of lipid metabolic process
51085	MLXIPL	MLX interacting protein-like	0.0083	0.7	Regulation of lipid metabolic process
57104	PNPLA2	Patatin-like phospholipase domain containing 2	0.0206	0.8	Regulation of lipid metabolic process
100129500	LOC100129500	Hypothetical LOC100129500	0.0485	0.7	Regulation of lipid metabolic process
948	CD36	CD36 molecule (thrombospondin receptor)	0.0373	0.7	PPAR signalling pathway
2180	ACSL1	Acyl-CoA synthetase long-chain family member 1	0.0379	0.8	PPAR signalling pathway
4199	ME1	Malic enzyme 1, NADP( + ) dependent, cytosolic	0.0181	0.8	PPAR signalling pathway
5105	PCK1	Phosphoenolpyruvate Carboxykinase 1 (soluble)	0.0497	0.8	PPAR signalling pathway
5346	PLIN	Perilipin	0.0092	0.7	PPAR signalling pathway
5468	PPARy	Peroxisome proliferator-activated receptor gamma	0.0426	0.7	PPAR signalling pathway
6319	SCD	Stearoyl-CoA desaturase (delta-9-desaturase)	0.0241	0.7	PPAR signalling pathway
9370	ADIPOQ	Adiponectin, C1Q and collagen domain containing	0.0094	0.7	PPAR signalling pathway
