microRNA	Fold change	P-value
hsa-miR-548b	2.4	4.65E-05
hsa-miR-455-3p	2.41	9.40E-04
hsa-miR-362	1.79	1.20E-03
hsa-miR-502	2.01	1.63E-03
hsa-miR-188	2.08	2.54E-03
hsa-miR-515-3p	4.92	3.45E-03
hsa-miR-302c	1.7	6.90E-03
hsa-miR-140	2.35	7.79E-03
hsa-miR-500	3.37	7.80E-03
hsa-miR-490	1.92	8.61E-03
hsa-miR-329	2.37	9.54E-03
hsa-miR-345	1.36	1.06E-02
hsa-miR-362-3p	2.51	1.08E-02
hsa-miR-300	2.56	1.22E-02
hsa-miR-301	2.43	1.43E-02
hsa-miR-151	2.21	1.46E-02
hsa-miR-192	1.93	1.53E-02
hsa-miR-339-5p	1.54	1.74E-02
hsa-miR-381	1.5	2.04E-02
hsa-miR-34c	1.44	2.06E-02
hsa-miR-340	2.35	2.63E-02
hsa-miR-296	1.62	2.81E-02
hsa-miR-199b	3.47	2.82E-02
hsa-miR-518c	1.97	2.84E-02
hsa-miR-216	1.46	3.49E-02
hsa-miR-649	1.82	3.90E-02
hsa-miR-621	6.64	4.11E-02
hsa-miR-452	1.6	4.27E-02
hsa-miR-550	1.95	4.63E-02
hsa-miR-200b	1.78	4.96E-02
hsa-miR-509	-1.53	6.31E-03
hsa-miR-518d-5p	-1.65	1.11E-02
hsa-miR-556	-1.6	3.26E-02
hsa-miR-21	-4.53	3.59E-02
hsa-miR-422a	-1.57	3.99E-02
hsa-miR-557	-3.02	4.70E-02
hsa-miR-520h	-6.51	4.90E-02
