Probe ID	Gene Symbol	Entrez Gene ID	Raw P value	Fold Change	Gene Name
ILMN_1706523	FCGR2A	2212	1.96E-12	1.315	Fc fragment of IgG, low affinity IIa, receptor (CD32)
ILMN_1780334	KCNJ2	3759	2.95E-11	1.313	potassium inwardly-rectifying channel, subfamily J, member 2
ILMN_1659544	STX3	6809	3.08E-11	1.256	syntaxin 3
ILMN_1705047	TLR8	51311	4.33E-11	1.288	toll-like receptor 8
ILMN_1684585	ACSL1	2180	6.41E-11	1.337	acyl-CoA synthetase long-chain family member 1
ILMN_1771664	CLEC4E	26253	6.74E-11	1.256	C-type lectin domain family 4, member E
ILMN_1657892	TLR8	51311	7.78E-11	1.264	toll-like receptor 8
ILMN_1706217	TLR4	7099	1.21E-10	1.305	toll-like receptor 4
ILMN_1750961	TM6SF1	53346	2.76E-10	1.265	transmembrane 6 superfamily member 1
ILMN_1778059	CASP4	837	2.83E-10	1.218	caspase 4, apoptosis-related cysteine peptidase
ILMN_1753111	NAMPT	10135	3.99E-10	1.403	nicotinamide phosphoribosyltransferase
ILMN_1740875	FPRL1	2358	4.75E-10	1.343	formyl peptide receptor 2
ILMN_1724822	LOC399744	399744	6.25E-10	1.247	hypothetical LOC399744
ILMN_1741727	QPCT	25797	6.87E-10	1.342	glutaminyl-peptide cyclotransferase
ILMN_1710028	MCL1	4170	7.53E-10	1.329	myeloid cell leukemia sequence 1 (BCL2-related)
ILMN_1664525	P2RY13	53829	1.16E-09	1.259	purinergic receptor P2Y, G-protein coupled, 13
ILMN_1653690	TNFSF14	8740	1.32E-09	1.237	tumor necrosis factor (ligand) superfamily, member 14
ILMN_1758371	IL1R2	7850	1.35E-09	1.239	interleukin 1 receptor, type II
ILMN_1805175	TGFA	7039	1.38E-09	1.181	transforming growth factor, alpha
ILMN_1719344	LOC730820	730820	4.62E-09	1.238	NA
ILMN_1785424	ABLIM1	3983	4.74E-09	0.761	actin binding LIM protein 1
ILMN_1725471	GK	2710	4.95E-09	1.282	glycerol kinase
ILMN_1815054	GPR97	222487	5.36E-09	1.347	G protein-coupled receptor 97
ILMN_1758864	VNN2	8875	5.85E-09	1.372	vanin 2
ILMN_1720771	STX11	8676	7.67E-09	1.304	syntaxin 11
ILMN_1695157	CA4	762	0.000000011	1.462	carbonic anhydrase IV
ILMN_1772387	TLR2	7097	1.13E-08	1.232	toll-like receptor 2
ILMN_1678170	MME	4311	1.14E-08	1.346	membrane metallo-endopeptidase
ILMN_1689046	FLJ20273	54502	1.15E-08	1.224	RNA binding motif protein 47
ILMN_1714393	RAB24	53917	1.15E-08	1.201	RAB24, member RAS oncogene family
ILMN_1775196	TNFRSF10B	8795	0.000000013	1.303	tumor necrosis factor receptor superfamily, member 10b
ILMN_1688659	IL1RN	3557	1.31E-08	1.311	interleukin 1 receptor antagonist
ILMN_1775501	IL1B	3553	1.53E-08	1.247	interleukin 1, beta
ILMN_1779486	FAM126B	285172	1.55E-08	1.301	family with sequence similarity 126, member B
ILMN_1749287	TLR6	10333	1.66E-08	1.219	toll-like receptor 6
ILMN_1703074	CPD	1362	1.93E-08	1.218	carboxypeptidase D
ILMN_1714643	MGAM	8972	1.94E-08	1.35	maltase-glucoamylase (alpha-glucosidase)
ILMN_1773125	ENTPD1	953	1.95E-08	1.212	ectonucleoside triphosphate diphosphohydrolase 1
