Gene symbol	OS HR	OS p-value	OS adj p-value	RFS HR	RFS p-value	RFS  adj p-value	SAR HR	SAR p-value	SAR adj p-value
ACOX1	0.75	0.001999	0.0116	0.88	0.104449	0.3417	0.71	0.000731	0.0019
AIFM3	0.77	0.015483	0.0464	0.86	0.103682	0.3417	0.69	0.003467	0.0062
AMACR	0.68	0.000618	0.004	0.85	0.077395	0.3122	0.63	0.00013	0.0004
APCDD1	1	0.969499	0.9695	1.07	0.419973	0.768	0.79	0.030567	0.0391
AQP5	1.07	0.064465	0.1375	0.99	0.786974	0.9355	1.21	1.46E-07	0
ARID3A	0.93	0.467408	0.5342	1.02	0.768291	0.9355	0.68	0.000963	0.0024
C10orf99	0.86	0.132224	0.2287	0.9	0.209238	0.4927	0.8	0.055693	0.066
C11orf9	1.09	0.359793	0.4345	1.01	0.878832	0.9374	1.18	0.095296	0.1109
C13orf18	0.68	0.000149	0.0023	0.85	0.060781	0.3122	0.53	2.63E-08	0
C20orf111	0.9	0.259882	0.3261	1.05	0.546384	0.8326	0.66	7.86E-05	0.0003
CBFA2T2	0.96	0.621009	0.6736	1.08	0.282767	0.5655	0.71	0.000708	0.0019
CD55	1.21	0.028267	0.0787	1.08	0.269517	0.5655	1.39	0.00207	0.0043
CDX2	0.77	3.29E-05	0.0021	0.89	0.057328	0.3122	0.61	1.14E-13	0
CELP	0.84	0.102411	0.193	1.02	0.778778	0.9355	0.63	6.79E-05	0.0003
CFTR	0.79	0.004326	0.0173	0.85	0.0235	0.2507	0.77	0.007279	0.0116
CRIP1	1.11	0.238228	0.3261	1.03	0.704788	0.9355	1.27	0.023453	0.0306
CTSE	1.16	0.078744	0.1575	1.01	0.847769	0.9355	1.45	5.57E-05	0.0003
CTTNBP2	0.87	0.222018	0.3261	1.02	0.806199	0.9355	0.71	0.003597	0.0062
DDC	0.82	0.013234	0.0423	0.88	0.081916	0.3122	0.76	0.00127	0.0029
DUSP4	1.11	0.254321	0.3261	1.03	0.74336	0.9355	1.32	0.003526	0.0062
FLJ32063	0.72	0.002307	0.0123	0.89	0.202932	0.4927	0.61	2.09E-05	0.0001
FSCN1	1.12	0.225497	0.3261	1.01	0.865715	0.9374	1.45	0.000814	0.0021
GGH	0.68	0.000182	0.0023	0.8	0.010476	0.1884	0.68	0.000417	0.0013
HOXD3	1.15	0.168382	0.2671	1.08	0.353926	0.6662	1.24	0.040234	0.0495
HSF5	0.78	0.002576	0.0127	0.95	0.461669	0.7821	0.6	7.17E-09	0
IRX3	1.02	0.760001	0.7974	1.04	0.480863	0.7891	1.03	0.736916	0.7486
KIAA0802	1.13	0.163346	0.2671	1.01	0.91405	0.9435	1.3	0.008304	0.0127
KLK10	1.32	0.000378	0.0035	1.19	0.011772	0.1884	1.41	0.000101	0.0004
LOC388199	1.17	0.037696	0.0965	1.1	0.176695	0.4917	1.23	0.016864	0.023
MIR142	0.78	0.004334	0.0173	0.95	0.464363	0.7821	0.67	2.46E-05	0.0001
MLPH	1.29	0.015935	0.0464	1.19	0.053559	0.3122	1.34	0.016262	0.0226
OSBP2	1.37	0.00053	0.0038	1.34	0.000186	0.0119	1.12	0.244235	0.2742
PHYH	0.82	0.052677	0.1163	0.96	0.617243	0.8779	0.71	0.003471	0.0062
PIK3AP1	1.05	0.591018	0.6522	0.96	0.650255	0.9047	1.34	0.007994	0.0125
PIWIL1	1.1	0.251889	0.3261	1.08	0.281476	0.5655	1.04	0.664036	0.6967
PLCB4	0.85	0.119517	0.2125	0.98	0.792413	0.9355	0.65	0.000573	0.0017
PLK2	1.17	0.102505	0.193	1.11	0.214493	0.4927	1.32	0.012419	0.0177
PLLP	1.09	0.312981	0.3852	0.98	0.757351	0.9355	1.25	0.006208	0.0102
PPP1R14C	0.84	0.048775	0.1156	0.98	0.811426	0.9355	0.65	2.24E-05	0.0001
PPP1R14D	0.87	0.169276	0.2671	0.98	0.84743	0.9355	0.75	0.004893	0.0082
PPPDE2	0.9	0.240924	0.3261	0.91	0.21557	0.4927	1.02	0.865874	0.8659
PTPRD	0.77	0.011978	0.0403	0.86	0.082929	0.3122	0.7	0.003267	0.0062
PTPRO	0.67	0.000441	0.0035	0.78	0.010172	0.1884	0.66	0.001734	0.0037
RASSF6	1.22	0.036408	0.0965	1.14	0.106788	0.3417	1.3	0.008525	0.0127
RBBP8	0.97	0.726573	0.775	0.86	0.054062	0.3122	1.27	0.020811	0.0277
RBM8A	0.89	0.173347	0.2671	0.9	0.166397	0.4841	0.93	0.487712	0.5202
REG4	1.13	0.117999	0.2125	1	0.959838	0.9598	1.39	0.000125	0.0004
RNF43	0.74	0.000125	0.0023	0.87	0.059652	0.3122	0.71	1.83E-06	0
RSBN1L	1.01	0.877645	0.8916	1.09	0.309823	0.6009	0.89	0.230199	0.2631
S100A16	1.02	0.801142	0.827	1.02	0.830369	0.9355	1.08	0.426976	0.4632
SATB2	0.74	0.000369	0.0035	0.86	0.060993	0.3122	0.68	5.27E-05	0.0003
SERPINB5	1.06	0.466152	0.5342	1	0.949427	0.9598	1.23	0.038002	0.0477
SLC25A37	1.07	0.437825	0.5189	0.99	0.898201	0.9424	1.24	0.047002	0.0568
SOX8	1.12	0.052049	0.1163	1.06	0.274917	0.5655	1.22	0.001473	0.0033
SPINK1	0.83	0.076659	0.1575	0.95	0.599386	0.8718	0.77	0.012475	0.0177
TM4SF4	1.19	0.000115	0.0023	1.11	0.01606	0.2056	1.2	0.000212	0.0007
TNNC2	0.86	0.175311	0.2671	1.08	0.437565	0.7779	0.53	5.31E-07	0
TPK1	0.9	0.258344	0.3261	0.9	0.156054	0.4756	0.96	0.706942	0.7297
TRNP1	1.27	0.008301	0.0295	1.15	0.070531	0.3122	1.39	0.001287	0.0029
TSPAN6	0.77	0.007515	0.0283	0.96	0.596917	0.8718	0.6	7.02E-07	0
VAV3	0.74	0.00412	0.0173	0.95	0.529123	0.8259	0.49	7.87E-08	0
ZIC2	0.86	0.250083	0.3261	0.82	0.073355	0.3122	1.18	0.266234	0.2938
ZNF141	0.81	0.048159	0.1156	0.94	0.520566	0.8259	0.71	0.003276	0.0062
ZSWIM1	0.94	0.478198	0.5369	1.1	0.204584	0.4927	0.68	0.000112	0.0004
