Symbol	Name	Entrez GeneID	Affy probe-set
SOX4	SRY (sex determining region Y)-box 4	6659	201417_at
GLUL	glutamate-ammonia ligase (glutamine synthetase)	2752	215001_s_at
SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	10512	203789_s_at
CTSD	cathepsin D	1509	200766_at
ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	3688	211945_s_at
ANKRD50	ankyrin repeat domain 50	57182	225731_at
TPBG	trophoblast glycoprotein	7162	203476_at
SLC39A8	solute carrier family 39 (zinc transporter), member 8	64116	209267_s_at
ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	3705	210740_s_at
TSKU	tsukushin	25987	218245_at
TFF1	trefoil factor 1	7031	205009_at
SIAH2	seven in absentia homolog 2 (Drosophila)	6478	209339_at
IFI44	interferon-induced protein 44	10561	214453_s_at
RAD23B	RAD23 homolog B (S. cerevisiae)	5887	201222_s_at
GLA	galactosidase, alpha	2717	214430_at
KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	3838	201088_at
FAM102B	family with sequence similarity 102, member B	284611	226568_at
SLC39A6	solute carrier family 39 (zinc transporter), member 6	25800	202088_at
SLC39A6	solute carrier family 39 (zinc transporter), member 6	25800	202089_s_at
PRSS23	protease, serine, 23	11098	202458_at
MGP	matrix Gla protein	4256	202291_s_at
AP3S1	adaptor-related protein complex 3, sigma 1 subunit	1176	202442_at
CDV3	CDV3 homolog (mouse)	55573	212010_s_at
TST	thiosulfate sulfurtransferase (rhodanese)	7263	209605_at
MYEOV2	myeloma overexpressed 2	150678	226845_s_at
TPD52L1	tumor protein D52-like 1	7164	203786_s_at
TPD52L1	tumor protein D52-like 1	7164	210372_s_at
FABP5	fatty acid binding protein 5 (psoriasis-associated)	2171	202345_s_at
RP6-213H19.1	serine/threonine protein kinase MST4	51765	218499_at
AMIGO2	adhesion molecule with Ig-like domain 2	347902	222108_at
SLC6A14	solute carrier family 6 (amino acid transporter), member 14	11254	219795_at
SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	6542	225516_at
ELP2	elongation protein 2 homolog (S. cerevisiae)	55250	231713_s_at
SLC39A6	solute carrier family 39 (zinc transporter), member 6	25800	1555460_a_at
SLC39A6	solute carrier family 39 (zinc transporter), member 6	25800	1556551_s_at
GPER	G protein-coupled estrogen receptor 1	2852	210640_s_at
SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	6445	207302_at
NRIP1	nuclear receptor interacting protein 1	8204	202600_s_at
NRIP1	nuclear receptor interacting protein 1	8204	202599_s_at
ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	79071	204256_at
ARL3	ADP-ribosylation factor-like 3	403	202641_at
CA12	carbonic anhydrase XII	771	203963_at
CA12	carbonic anhydrase XII	771	215867_x_at
CA12	carbonic anhydrase XII	771	214164_x_at
IRS1	insulin receptor substrate 1	3667	204686_at
CA12	carbonic anhydrase XII	771	204508_s_at
SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	9368	201349_at
PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	5570	223551_at
GFRA1	GDNF family receptor alpha 1	2674	227550_at
GREB1	GREB1 protein	9687	205862_at
ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	54898	213712_at
EVL	Enah/Vasp-like	51466	217838_s_at
NCRNA00052	non-protein coding RNA 52	145978	1553226_at
PGP	phosphoglycolate phosphatase	283871	222622_at
ELOVL2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	54898	220029_at
CA12	carbonic anhydrase XII	771	210735_s_at
IGFBP4	insulin-like growth factor binding protein 4	3487	201508_at
SULF2	sulfatase 2	55959	233555_s_at
