Symbol	CTRL Normalized	CTRL Raw	AZA Normalized	AZA Raw	TSA Normalized	TSA Raw	DZNep Normalized	DZNep Raw	AZA+TSA Normalized	AZA+TSA Raw	DZNep+AZA Normalized	DZNep+AZA Raw	DZNep+TSA Normalized	DZNep+TSA Raw	DZNep+AZA+TSA Normalized	DZNep+AZA+TSA Raw	Map	RefSeq
FOXA2	1	1.9666667	15.739731	31.966665	5.1286535	21.633333	7.311671	16.9	3.2487223	14.599999	9.050552	19.866667	46.10951	115.833336	42.74627	114.333336	20p11	NM_021784
RGS2	1	3.833333	4.6921015	15.766665	2.8063948	16.433332	31.0603	108.86666	8.598037	31.933332	21.414848	91.96667	82.87067	346.5	87.67942	388.93332	1q31	NM_002923
FZD9	1	13.599999	3.4401476	40.2	1.4350691	17.5	13.351141	146.66667	6.9089065	80.03333	11.612877	138.5	30.894163	408.26666	36.71846	514.6	7q11.23	NM_003508
HIST1H4H	1	0.70000017	6.564416	13.599999	5.493267	13.133333	47.321888	100.03333	16.480139	35.600002	61.17765	136.9	163.6004	405.2	150.60793	396.53333	6p21.3	NM_003543
PP1665	1	40.73333	5.2188478	103.166664	3.361983	68.86666	4.5424953	96.03333	3.5466888	84.23334	7.099026	157.73334	18.581158	459.6	18.645287	489.23334	11q13.4-q13.5	NM_030792
MAPK8IP1	1	35.63333	4.3729763	79.9	3.8718715	78.13333	6.616649	127.566666	6.449641	135.76668	8.303058	178	21.873798	506.13333	21.15997	523.3	11p12-p11.2	NM_005456
RGL1	1	21.366667	2.341827	18	0.45301273	5.866667	5.304562	39.2	1.6906275	29.4	4.696243	48.13333	12.716906	115.933334	13.677886	124.833336	1q25.3	NM_015149
FBN1	1	-15.633334	1.1161752	1.8666667	3.2180421	15.299999	1.7578735	9.333332	2.7145653	10.633333	9.950985	22.133333	27.736795	70.8	25.704962	73.23333	15q21.1	NM_000138
DPYSL3	1	26.733332	0.58776295	6.700001	0.9512232	27.866667	3.3937817	42.13333	3.076729	43.566666	5.578213	78.433334	19.35209	290	17.311207	274.66666	5q32	NM_001387
HBA1	1	0.9	2.603754	-2.233333	27.516273	54.8	23.351873	50.133335	22.263868	54.100002	20.149113	44.533333	146.62822	351.13333	160.34988	411.56668	16p13.3	NM_000558
