Curated Gene Symbol	Gene Name	Gos3	U87	A172	SW1783	U118	U373	T98	SW1088	CCF	LN405
ALDH2	ALDH2	0.18	1.1	0.34	0.74	0.25	0.29	3.1	2.51	1.52	2.87
APCDD1	APCDD1	0.64	0.6	0.71	0.78	0.81	2.36	0.78	0.76	11.76	10.92
ATF7IP2	ATF7IP2	0.22	0.98	0.32	0.45	0.38	1	0.92	1.01	0.5	1
REEP5	C5orf18	1.07	2.51	1.08	2.27	1.73	2.58	2.46	2.49	1.43	6.31
CASP7	CASP7	0.85	0.55	2.61	2.02	1.35	2.13	1.65	3.46	3.98	4.97
CD53	CD53	0.18	0.95	0.97	0.28	0.21	0.72	1.02	1.01	0.53	1.05
CDH11	CDH11	2.78	1.81	1.63	4.36	2	10.11	2.08	4.59	5.65	3.91
CDKN2C	CDKN2C	0.24	0.96	2.48	0.21	0.18	1.31	1.09	1.01	4.13	1.32
CHN1	CHN1	5.74	1.39	2.52	1.23	0.79	4.41	2.16	2.28	5.63	7.63
CSF1	CSF1	4.69	1.29	1.24	1.64	1.46	3.32	3.58	4.42	5.04	2.58
CTHRC1	CTHRC1	0.3	0.75	0.18	0.34	0.26	0.71	0.47	1.29	0.26	1.03
CTSC	CTSC	1.14	0.58	0.49	1.61	0.35	3.77	0.6	2.18	4.5	2.58
CXCL12	CXCL12	1.11	1.37	1.19	1.33	1.07	1.28	5.97	4	18.88	7.26
CYB5A	CYB5	0.1	1.44	0.1	0.83	0.12	1.07	2.45	2.93	2.38	2.44
CYP24A1	CYP24A1	0.18	0.94	0.18	0.17	1.11	0.97	1.01	0.96	0.24	1.18
CRISPLD2	DKFZP434B044	0.59	0.52	0.64	1.49	0.98	0.73	2.8	4.85	4.57	6.52
DKK3	DKK3	0.7	0.39	4.91	2.86	2.13	3.35	1.58	4.74	6.32	7
ETS2	ETS2	1.17	1.14	0.55	1.87	1.58	2.39	1.12	3.86	2.26	3
EYA4	EYA4	1.12	2.09	0.45	1.36	0.53	4.03	3.34	0.89	1.91	4.16
FARP1	FARP1	0.49	0.4	0.76	0.63	0.44	0.42	0.59	0.89	1.67	1.08
FGG	FGG	0.04	0.85	0.07	0.12	0.06	1	0.98	0.89	0.08	1.14
KIF26B	FLJ10157	1.09	1.63	1.16	1.15	1.26	3.86	3.72	1.71	7.79	8.98
FCRLB	FLJ31052	0.4	1.11	0.35	0.31	0.25	0.85	1.03	1.02	0.28	1
FZD7	FZD7	1.89	0.5	0.91	1.08	1.53	1.01	3.05	1.89	4.4	3.71
GBP1	GBP1	1.09	1.1	0.46	1.99	2.26	1.03	1.68	4.76	4.75	4.46
GBP2	GBP2	0.66	1.12	0.71	1.49	1.55	0.72	1.3	2.83	3.01	2.2
GDA	GDA	0.35	1.03	0.24	0.55	0.36	0.77	1.06	1.02	0.3	0.99
GPM6B	GPM6B	0.49	0.58	0.39	0.37	0.59	4.59	0.82	0.51	0.55	3.24
GPX7	GPX7	0.34	0.42	0.59	0.53	0.6	0.43	0.78	1.32	2.08	1.15
GSTM3	GSTM3	0.55		0.69	1.51	0.28	1.18	2.8	2.92	1.72	2.33
HGF	HGF	0.34	2.18	0.54	0.35	0.3	1.05	0.97	1.19	1.78	0.73
HLA-B	HLA-B	1.16	1	1.12	2.03	0.63	1.85	1.21	2.22	2.39	3.48
HLA-DRA	HLA-DRA	0.46	1.58	0.47	0.99	0.52	0.85	0.56	1.96	1.84	11.33
ID3	ID3	0.29	0.28	0.3	0.41	0.49	0.62	0.57	0.84	0.76	1.05
RTP4	IFRG28	1.86	0.67	0.81	3.25	1.29	1.11	3.17	3.55	2.76	4.23
IGFBP5	IGFBP5	2.16	0.49	0.52	1.57	0.92	1.18	1.53	3.83	4.25	3.38
IQGAP2	IQGAP2	0.17	0.19	0.19	0.49	0.8	0.53	0.98	0.7	0.28	1.38
ITM2A	ITM2A	0.03	1	0.06	0.04	0.06	0.93	1.26	1.12	0.04	1.05
KCTD12	KCTD12	1.18	2.78	0.33	2.9	0.53	4.3	1.84	2.56	4.44	2.88
KCTD15	KCTD15	1.4	0.42	0.47	0.71	0.42	0.96	2.03	1.49	2.48	0.38
KYNU	KYNU	0.36	4.89	0.34	0.91	0.43	0.48	8.24	3.97	2.86	1.51
LAMP2	LAMP2	0.94	1.93	0.41	1.75	1.02	4.22	1.09	1.7	1.08	4.98
LEF1	LEF1	0.45	0.36	0.17	0.07	0.28	0.45	0.86	1.53	1.33	0.36
	LOC388650	1.93	2.26	1.48	3.09	2.69	2.74	7.66	6.81	10.75	5.33
LTF	LTF	0.35	0.89	0.21	0.19	0.26	0.81	1.04	1.16	0.38	0.89
LYPD1	LYPDC1	2.44	1.34	0.94	2.62	1.08	7.91	2.03	1.36	4.29	5.7
MDK	MDK	0.15	0.18	0.2	0.15	0.46	0.28	1.58	0.54	1.32	1.53
MYLK	MYLK	1.37	1.79	3.52	1.88	1.63	6.29	2.35	5.26	8.87	5.41
NRCAM	NRCAM	2.47	0.73	0.6	0.49	0.5	0.88	2.7	0.78	1.44	2.94
