Probe Set	Gene Symbol	FC
204735_at	PDE4A	3.48
226736_at	CHURC1	2.072
229814_at	NA	1.821
236443_at	NA	1.638
222556_at	ALG5	1.345
226643_s_at	NUDCD2	1.301
213409_s_at	RHEB	1.247
206508_at	CD70	1.194
208844_at	VDAC3	1.188
244110_at	MLL	1.11
223479_s_at	CHCHD5	1.07
221995_s_at	MRP63	1.05
214395_x_at	EEF1D	1.046
229525_at	THOC7	1.023
217426_at	NA	1.017
233924_s_at	EXOC6	1.009
227364_at	NA	0.995
1553690_at	SGOL1	0.993
223210_at	CHURC1	0.975
235878_at	TAF1B	0.878
204084_s_at	CLN5	0.854
227352_at	C19orf39	0.851
216554_s_at	NA	0.846
226259_at	EXOC6	0.843
209276_s_at	GLRX	0.824
203270_at	DTYMK	0.823
203554_x_at	PTTG1	0.821
233380_s_at	RUFY1	0.821
235063_at	C20orf196	0.819
218064_s_at	AKAP8L	0.795
221598_s_at	MED27	0.785
219324_at	NOL12	0.777
223481_s_at	MRPL47	0.759
218556_at	ORMDL2	0.756
225901_at	PTPMT1	0.746
226070_at	C9orf142	0.726
204839_at	POP5	0.723
205345_at	BARD1	0.708
218102_at	DERA	0.702
224815_at	COMMD7	0.673
207877_s_at	NVL	0.662
203528_at	SEMA4D	0.659
205642_at	CEP110	0.653
1554482_a_at	SAR1B	0.652
217958_at	TRAPPC4	0.644
1553984_s_at	DTYMK	0.639
222894_x_at	C20orf7	0.638
212491_s_at	DNAJC8	0.635
218996_at	TFPT	0.627
1553957_at	ZNF564	0.627
223048_at	SDHAF2	0.62
217959_s_at	TRAPPC4	0.62
201214_s_at	PPP1R7	0.618
201452_at	RHEB	0.599
209103_s_at	UFD1L	0.597
204335_at	CCDC94	0.589
217692_at	MAGOH2	0.579
201716_at	SNX1	0.57
218080_x_at	FAF1	0.555
201762_s_at	PSME2	0.52
221915_s_at	RANBP1	0.519
