Gene symbol	Gene annotation	Fold change	Regulation	Domain
gti1	gluconate transporter inducer Gti1	1.87	up	transmembrane transport
fip1	iron permease Fip1	2.24	up	transmembrane transport
SPAC11D3.06	MatE family transporter	1.68	up	transmembrane transport
fio1	iron transport multicopper oxidase Fio1	2.25	up	transmembrane transport
isp4	OPT oligopeptide transporter family (PMID 9643541)	1.51	up	transmembrane transport
SPAC1399.01c	purine permease (predicted)	1.68	up	transmembrane transport
SPBC1683.12	nicotinic acid plasma membrane transporter (predicted)	1.73	up	transmembrane transport
mam1	M-factor transporter Mam1 (PMID 9191268)	1.68	up	transmembrane transport
ght3	hexose transporter Ght3 (PMID 10735857)	4.49	up	transmembrane transport
ght1	hexose transporter Ght1 (PMID 10735857)	5.43	up	transmembrane transport
ght6	hexose transporter Ght6 (PMID 10735857)	2.02	up	transmembrane transport
ght4	hexose transporter Ght4 (PMID 10735857)	5.46	up	transmembrane transport
SPAC11D3.18c	nicotinic acid plasma membrane transporter (predicted)	1.81	up	transmembrane transport
SPCC757.11c	membrane transporter	1.57	up	transmembrane transport
ght5	hexose transporter Ght5 (PMID 10735857)	8.64	up	transmembrane transport
liz1	pantothenate transporter (PMID 15075270)	1.88	up	transmembrane transport
SPCC285.05	purine nucleoside transporter (predicted)	2.53	up	transmembrane transport
str3	siderophore-iron transporter Str3 (PMID 12888492)	2.17	up	transmembrane transport
frp1	ferric-chelate reductase Frp1	1.72	up	transmembrane transport
sod22	plasma membrane alkali metal cation/H+ antiporter Sod22	1.53	up	transmembrane transport
SPBC4F6.17c	mitochondrial matrix chaperone Hsp78 (predicted)	2.51	up	transmembrane transport
sut1	alpha-glucoside transporter (PMID 11136464)	1.87	up	transmembrane transport
SPAC3H1.06c	membrane transporter (predicted)	1.65	up	transmembrane transport
SPAC19G12.05	mitochondrial citrate transporter	0.63	down	transmembrane transport
SPCC569.05c	spermidine family transporter (predicted)	0.54	down	transmembrane transport
pdr1	ABC transporter Pdr1	0.61	down	transmembrane transport
SPAC227.03c	mitochondrial NAD+ transporter	0.6	down	transmembrane transport
SPBC409.08	spermine family transporter (predicted)	0.5	down	transmembrane transport
SPBP26C9.03c	iron ion transporter (predicted)	0.62	down	transmembrane transport
