Genes	Entrez Gene Name	Location	Type(s)	Fold difference	PValues	Inclusion
A2M	alpha-2-macroglobulin	Extracellular Space	transporter	0.81	2.61E-02	Y
AADAC	arylacetamide deacetylase (esterase)	Cytoplasm	enzyme	0.70	4.58E-02	Y
ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	Extracellular Space	enzyme	0.79	2.43E-02	Y
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	Extracellular Space	peptidase	0.73	3.83E-02	Y
AGR2	anterior gradient homolog 2 (Xenopus laevis)	Extracellular Space	other	0.75	2.53E-02	Y
AKAP12	A kinase (PRKA) anchor protein 12	Cytoplasm	transporter	1.33	2.49E-02	Y
AMPD1	adenosine monophosphate deaminase 1	unknown	enzyme	0.72	3.52E-03	Y
AQP5	aquaporin 5	Plasma Membrane	transporter	0.81	1.09E-02	Y
AQP6	aquaporin 6, kidney specific	Cytoplasm	transporter	0.71	1.68E-03	Y
AREG	amphiregulin	Extracellular Space	growth factor	1.51	3.69E-02	Y
ARL14	ADP-ribosylation factor-like 14	unknown	other	0.67	4.39E-04	Y
ARNT2	aryl-hydrocarbon receptor nuclear translocator 2	Nucleus	transcription regulator	0.79	2.11E-02	Y
ARP11	ARP3 actin-related protein 3 homolog C (yeast)			0.79	2.44E-02	Y
ASPHD1	aspartate beta-hydroxylase domain containing 1	unknown	other	1.32	3.55E-02	Y
ATP8A2	ATPase, aminophospholipid transporter, class I, type 8A, member 2	Plasma Membrane	transporter	1.45	1.04E-02	Y
AVIL	advillin	Cytoplasm	other	0.77	6.18E-03	Y
AYTL1	lysophosphatidylcholine acyltransferase 2	Cytoplasm	enzyme	0.76	1.28E-02	N
B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	Cytoplasm	enzyme	0.81	2.30E-02	Y
BCHE	butyrylcholinesterase	Plasma Membrane	enzyme	1.44	2.49E-02	Y
BEST4	bestrophin 4	Plasma Membrane	other	1.25	4.55E-03	Y
BFSP1	beaded filament structural protein 1, filensin	Cytoplasm	enzyme	0.79	1.34E-02	Y
BFSP2	beaded filament structural protein 2, phakinin	Cytoplasm	other	0.80	4.16E-02	Y
BTNL9	butyrophilin-like 9	unknown	other	0.80	6.55E-03	Y
C17orf45	non-protein coding RNA 188	unknown	other	1.27	8.18E-03	N
C1orf115	chromosome 1 open reading frame 115	unknown	other	0.77	9.76E-03	Y
C20orf160	chromosome 20 open reading frame 160	unknown	other	0.77	3.57E-03	Y
C20orf199	chromosome 20 open reading frame 199	unknown	other	1.27	1.93E-03	N
C22orf36	chromosome 22 open reading frame 36	unknown	other	0.79	9.99E-03	Y
C3orf32	chromosome 3 open reading frame 32	unknown	other	1.49	1.18E-03	Y
C6orf124	chromosome 6 open reading frame 124	unknown	other	1.36	2.58E-03	N
C9orf47	chromosome 9 open reading frame 47	unknown	other	1.60	8.50E-03	Y
CALML3	calmodulin-like 3	Cytoplasm	other	1.36	5.00E-03	Y
CAPN13	calpain 13	unknown	other	0.72	4.72E-02	Y
CD38	CD38 molecule	Plasma Membrane	enzyme	0.71	2.05E-02	Y
CDH12	cadherin 12, type 2 (N-cadherin 2)	Plasma Membrane	other	0.70	1.97E-02	Y
CDH4	cadherin 4, type 1, R-cadherin (retinal)	Plasma Membrane	other	1.24	4.78E-02	Y
CHIT1	chitinase 1 (chitotriosidase)	Extracellular Space	enzyme	0.78	1.25E-02	Y
CNDP1	carnosine dipeptidase 1 (metallopeptidase M20 family)	Cytoplasm	peptidase	0.71	1.31E-04	Y
CNN2	calponin 2	Cytoplasm	other	1.24	1.02E-02	Y
CPEB1	cytoplasmic polyadenylation element binding protein 1	Cytoplasm	other	1.35	3.57E-03	Y
CRCT1	cysteine-rich C-terminal 1	unknown	other	1.23	2.04E-03	Y
CREB5	cAMP responsive element binding protein 5	Nucleus	transcription regulator	0.80	2.70E-02	Y
CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	Nucleus	other	0.78	4.93E-04	Y
CST9L	cystatin 9-like	Extracellular Space	other	0.64	1.08E-02	N
CT45-6	cancer/testis antigen family 45, member A6			0.50	3.33E-02	N
CTA-246H3.1	immunoglobulin lambda-like polypeptide 3, pseudogene			0.74	1.40E-02	N
CXCR4	chemokine (C-X-C motif) receptor 4	Plasma Membrane	G-protein coupled receptor	0.80	2.55E-02	Y
CXCR7	chemokine (C-X-C motif) receptor 7	Plasma Membrane	G-protein coupled receptor	0.73	2.39E-02	Y
CYBRD1	cytochrome b reductase 1	Cytoplasm	enzyme	1.26	9.71E-03	Y
CYP4X1	cytochrome P450, family 4, subfamily X, polypeptide 1	Cytoplasm	enzyme	0.71	1.84E-02	Y
CYP4Z1	cytochrome P450, family 4, subfamily Z, polypeptide 1	Cytoplasm	enzyme	0.74	3.12E-02	Y
DAPL1	death associated protein-like 1	unknown	other	0.71	4.73E-02	Y
DDR1	discoidin domain receptor tyrosine kinase 1	Plasma Membrane	kinase	0.81	1.21E-03	N
DIRC1	disrupted in renal carcinoma 1	unknown	other	1.25	2.98E-03	Y
DKK1	dickkopf homolog 1 (Xenopus laevis)	Extracellular Space	growth factor	1.47	2.93E-02	Y
DMRT3	doublesex and mab-3 related transcription factor 3	Nucleus	transcription regulator	0.73	1.14E-03	Y
EEF1A2	eukaryotic translation elongation factor 1 alpha 2	Cytoplasm	translation regulator	1.26	3.86E-03	Y
EFNB2	ephrin-B2	Plasma Membrane	other	0.80	3.82E-02	Y
EPHB3	EPH receptor B3	Plasma Membrane	kinase	0.76	1.21E-02	Y
ERMP1	endoplasmic reticulum metallopeptidase 1	Cytoplasm	other	0.78	9.00E-04	Y
ESM1	endothelial cell-specific molecule 1	Extracellular Space	growth factor	0.80	7.78E-03	Y
EVI1	MDS1 and EVI1 complex locus	Nucleus	transcription regulator	0.77	4.62E-03	N
EXTL1	exostoses (multiple)-like 1	Cytoplasm	enzyme	1.27	4.02E-03	Y
FAM133A	family with sequence similarity 133, member A	unknown	other	0.68	7.05E-03	Y
FAM19A4	family with sequence similarity 19 (chemokine (C-C motif)-like), member A4	Extracellular Space	other	1.32	3.75E-02	Y
FAM30A	family with sequence similarity 30, member A	unknown	other	0.71	2.04E-02	N
FGFBP1	fibroblast growth factor binding protein 1	Extracellular Space	other	0.68	2.51E-02	Y
FILIP1	filamin A interacting protein 1	Cytoplasm	other	0.76	3.48E-02	Y
FKBP1B	FK506 binding protein 1B, 12.6 kDa	Cytoplasm	enzyme	1.23	4.49E-02	Y
FLJ21963	acyl-CoA synthetase short-chain family member 3			1.31	3.29E-02	Y
FLJ25801	tripartite motif family-like 2			1.26	5.67E-03	Y
FMN2	formin 2	unknown	other	1.36	4.20E-02	Y
FOXA2	forkhead box A2	Nucleus	transcription regulator	0.64	3.97E-03	Y
FOXD4L2	forkhead box D4-like 2	unknown	other	0.75	1.60E-03	N
FXYD6	FXYD domain containing ion transport regulator 6	Plasma Membrane	ion channel	0.76	1.08E-02	Y
FZD4	frizzled homolog 4 (Drosophila)	Plasma Membrane	G-protein coupled receptor	0.81	3.08E-02	Y
G0S2	G0/G1switch 2	unknown	other	0.79	2.39E-02	Y
GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	Plasma Membrane	ion channel	0.79	4.42E-02	Y
GAP43	growth associated protein 43	Plasma Membrane	other	1.33	1.63E-02	Y
GDF6	growth differentiation factor 6	Extracellular Space	growth factor	1.32	3.96E-02	N
GFRA1	GDNF family receptor alpha 1	Plasma Membrane	transmembrane receptor	1.31	1.23E-02	Y
GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	unknown	enzyme	0.80	4.09E-03	Y
HES1	hairy and enhancer of split 1, (Drosophila)	Nucleus	transcription regulator	0.80	1.36E-02	Y
HIST1H1C	histone cluster 1, H1c	Nucleus	other	0.74	4.49E-02	Y
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)	Cytoplasm	enzyme	0.79	4.11E-04	Y
HS3ST5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	Cytoplasm	enzyme	0.69	2.30E-03	N
HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	Cytoplasm	enzyme	0.77	1.78E-03	Y
HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular)	Cytoplasm	other	1.25	3.46E-02	Y
HTR3A	5-hydroxytryptamine (serotonin) receptor 3A	Plasma Membrane	ion channel	0.73	2.53E-02	Y
ICAM5	intercellular adhesion molecule 5, telencephalin	Plasma Membrane	other	1.27	2.41E-02	Y
IGFBP5	insulin-like growth factor binding protein 5	Extracellular Space	other	0.75	7.03E-03	Y
IGHM	immunoglobulin heavy constant mu	Plasma Membrane	transmembrane receptor	0.66	7.15E-03	N
IGKC	immunoglobulin kappa constant	Extracellular Space	other	0.56	1.72E-03	N
IGKV1-5	immunoglobulin kappa variable 1-5	unknown	other	0.59	9.16E-03	N
IL11RA	interleukin 11 receptor, alpha	Plasma Membrane	transmembrane receptor	0.78	3.14E-02	Y
IL15	interleukin 15	Extracellular Space	cytokine	1.31	4.59E-02	Y
IL27	interleukin 27	Extracellular Space	cytokine	1.39	7.93E-03	Y
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	Cytoplasm	phosphatase	0.79	3.65E-03	Y
ISG20	interferon stimulated exonuclease gene 20kDa	Nucleus	enzyme	0.80	3.70E-02	Y
ITLN1	intelectin 1 (galactofuranose binding)	Plasma Membrane	other	0.68	2.54E-02	Y
JAKMIP2	janus kinase and microtubule interacting protein 2	unknown	other	0.78	2.46E-02	Y
KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	Plasma Membrane	ion channel	1.34	3.57E-02	Y
KCNE3	potassium voltage-gated channel, Isk-related family, member 3	Plasma Membrane	ion channel	0.78	1.52E-02	Y
KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	Plasma Membrane	ion channel	0.78	1.16E-03	Y
KCNJ16	potassium inwardly-rectifying channel, subfamily J, member 16	Plasma Membrane	ion channel	0.65	1.08E-02	Y
KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	Plasma Membrane	ion channel	0.73	1.53E-03	Y
KCTD1	potassium channel tetramerisation domain containing 1	unknown	other	0.77	8.04E-03	Y
KIAA1086	zinc finger RNA binding protein 2	unknown	other	1.26	4.65E-02	N
KIAA1622	protein phosphatase 4, regulatory subunit 4	unknown	other	0.78	1.77E-02	N
KIAA1822L	HHIP-like 2	unknown	other	0.80	3.41E-02	N
KIAA2022	KIAA2022	unknown	other	0.79	2.21E-02	Y
KRT12	keratin 12	Cytoplasm	other	0.70	4.56E-02	Y
L1TD1	LINE-1 type transposase domain containing 1	unknown	other	1.26	3.22E-02	Y
LAX1	lymphocyte transmembrane adaptor 1	Cytoplasm	other	0.77	1.21E-03	Y
LAYN	layilin	Plasma Membrane	other	1.30	1.16E-02	Y
LCTL	lactase-like	Cytoplasm	enzyme	1.27	6.15E-03	Y
LGR5	leucine-rich repeat-containing G protein-coupled receptor 5	Plasma Membrane	G-protein coupled receptor	0.67	2.29E-02	Y
LINGO1	leucine rich repeat and Ig domain containing 1	unknown	other	0.73	7.12E-04	N
LIPG	lipase, endothelial	Extracellular Space	enzyme	0.73	7.43E-03	Y
LOC90925	hypothetical protein LOC90925			0.79	4.96E-03	N
LPHN2	latrophilin 2	Plasma Membrane	G-protein coupled receptor	0.76	4.97E-02	Y
LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	Extracellular Space	other	0.75	8.11E-03	Y
LSAMP	limbic system-associated membrane protein	Plasma Membrane	other	1.30	2.95E-02	Y
LSM8	N(alpha)-acetyltransferase 38, NatC auxiliary subunit	Nucleus	other	0.80	2.98E-03	N
LTK	leukocyte receptor tyrosine kinase	Plasma Membrane	kinase	0.78	1.38E-02	Y
MAB21L2	mab-21-like 2 (C. elegans)	unknown	other	1.33	3.09E-04	Y
MAGEE2	melanoma antigen family E, 2	unknown	other	0.76	2.81E-03	Y
MAGEF1	melanoma antigen family F, 1	unknown	other	0.76	2.34E-04	Y
MATK	megakaryocyte-associated tyrosine kinase	Cytoplasm	kinase	1.27	2.25E-03	Y
MDK	midkine (neurite growth-promoting factor 2)	Extracellular Space	growth factor	0.75	2.40E-03	Y
MDS1	MDS1 and EVI1 complex locus	Nucleus	transcription regulator	0.78	3.27E-03	N
MEGF11	multiple EGF-like-domains 11	unknown	other	0.76	2.99E-02	Y
METRN	meteorin, glial cell differentiation regulator	Extracellular Space	other	0.78	1.85E-02	Y
MGC45438	chromosome 16 open reading frame 89			0.66	1.16E-04	Y
MMP1	matrix metallopeptidase 1 (interstitial collagenase)	Extracellular Space	peptidase	0.69	4.71E-02	Y
MMP10	matrix metallopeptidase 10 (stromelysin 2)	Extracellular Space	peptidase	0.65	3.48E-02	Y
MMP17	matrix metallopeptidase 17 (membrane-inserted)	Extracellular Space	peptidase	1.26	1.08E-03	Y
NAP5	NCK-associated protein 5			0.79	6.50E-03	Y
NDRG2	NDRG family member 2	Cytoplasm	other	0.79	2.85E-02	Y
NFE2	nuclear factor (erythroid-derived 2), 45kDa	Nucleus	transcription regulator	0.80	4.22E-02	Y
NFIB	nuclear factor I/B	Nucleus	transcription regulator	0.75	1.79E-03	Y
NKX6-2	NK6 homeobox 2	Nucleus	transcription regulator	0.77	1.37E-02	Y
NLGN1	neuroligin 1	Plasma Membrane	enzyme	0.59	1.89E-03	Y
NPAS3	neuronal PAS domain protein 3	Nucleus	other	0.70	1.58E-02	Y
NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	Plasma Membrane	G-protein coupled receptor	0.76	4.85E-02	Y
NPY	neuropeptide Y	Extracellular Space	other	1.64	2.82E-02	Y
NRG4	neuregulin 4	Extracellular Space	growth factor	0.71	8.47E-03	Y
NTF5	neurotrophin 4	Extracellular Space	growth factor	1.35	3.72E-02	N
OAS3	2-5-oligoadenylate synthetase 3, 100kDa	Cytoplasm	enzyme	0.77	2.56E-02	Y
ODZ3	odz, odd Oz/ten-m homolog 3 (Drosophila)	Plasma Membrane	other	1.32	1.09E-02	Y
OGN	osteoglycin	Extracellular Space	growth factor	1.51	2.96E-02	Y
OXTR	oxytocin receptor	Plasma Membrane	G-protein coupled receptor	1.58	4.97E-04	Y
PAX6	paired box 6	Nucleus	transcription regulator	0.75	1.80E-02	Y
PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	Cytoplasm	kinase	0.71	3.70E-02	Y
PCSK6	proprotein convertase subtilisin/kexin type 6	Extracellular Space	peptidase	0.81	2.37E-02	Y
