Curated miRBase	Cq Range	Cq Min	Cq Max	Mean Cq ± s.d.	Reference gene
let-7a	8.02	24.25	32.27	28.31 ± 1.60	let-7a
hsa-miR-16	4.75	21.85	26.6	23.61 ± 1.00	miR-16
hsa-miR-26a	6.96	21.09	28.05	23.61 ± 1.49	miR-26a
hsa-miR-345	9.37	25.14	34.51	27.43 ± 1.35	miR-345
hsa-miR-425	10.01	24.65	34.66	27.53 ± 1.36	miR-425
hsa-miR-454	9.64	27.76	37.4	30.14 ± 1.75	miR-454
RNU48	9.71	22.08	31.79	26.34 ± 2.09	RNU48
Z30	12.58	26.32	38.9	31.17 ± 2.83	Z30
hsa-miR-21	14.21	19.57	33.78	24.82 ± 4.07	miR-21
hsa-miR-31	18.12	20.81	38.93	29.36 ± 3.75	miR-31
hsa-miR-143	12.19	15.95	28.14	23.01 ± 2.84	miR-143
hsa-miR-145	14.03	18.06	32.09	24.84 ± 2.79	miR-145
