Gene symbol 	EBV immortalized B cells Illumina V-6 (CEU/YRI) Gene/probe ID  	Fold change	"P-value (,0.05) "	AHG-U133A (CEU/YRI) Gene/probe ID 	 Fold change	"P-value (,0.05) "	Non-immortalized B cells HG-U133_Plus_2 (CA/AA) Fold change	" P-value (,0.05) "
ARCN1 	GI_21626463-S 	1.5	5.84E-55	201176_s_at 	1.1	1.67E-03	No significant difference 	No significant difference 
ATP5B 	GI_32189393-S 	1.4	1.38E-48	201322_at 	1.1	2.77E-03	No significant difference 	No significant difference 
BAT1 	GI_45580710-I 	1.2	3.13E-21	200041_s_at 	1.2	1.27E-05	1.5	1.67E-03
				212384_at 	1.2	2.10E-02	1.9	1.66E-03
CDC5L 	GI_16357499-S 	1.5	2.48E-61	209055_s_at 	1.2	1.92E-03	2.3	1.83E-05
				209056_s_at 	1.1	2.60E-02	1.8	1.74E-03
DNAJA1 	GI_4504510-S 	1.8	4.77E-55	200880_at 	1.1	1.67E-02	2.4	2.68E-04
				200881_s_at 	1.2	2.91E-04	4.4	3.11E-10
EXO1 	GI_39995067-I 	1.04	4.04E-05	204603_at 	1.2	2.57E-05	No significant difference 	No significant difference 
	GI_39995068-A 	1.8	1.04E-59					 
FEN1 	GI_19718776-S 	1.8	1.64E-55	204768_s_at 	1.4	2.20E-04	1.3	5.06E-03
JMJD1B 	GI_38372908-S 	1.3	3.65E-37	210878_s_at 		1.69E-02	No significant difference 	No significant difference 
NOL7 	GI_15743546-S 	1.5	8.37E-55	202882_x_at 	1.1	6.93E-03	1.3	2.06E-02
NUP54 	GI_26051236-S 	1.6	6.19E-65	218256_s_at 	1.1	1.22E-03	No significant difference 	No significant difference 
NUP62 	GI_34335245-A 	1.4	4.41E-33	207740_s_at 	1.2	2.74E-02	1.3	2.65E-02
PFN1 	GI_16753213-S 	1.2	5.76E-25	200634_at 	1.1	3.06E-02	No significant difference 	No significant difference 
PLRG1 	GI_4505894-S 	1.5	3.68E-53	225194_at 	No Probe 	No Probe 	1.4	2.06E-02
POLR1Aa 	GI_7661685-S 	1.3	1.66E-09	222704_at 	No Probe 	No Probe 	1.2	1.34E-03
POLR2B 	GI_4505940-S 	1.5	3.80E-58	201803_at 	1.1	2.25E-02	No significant difference 	No significant difference 
PRCC 	GI_40807446-S 	1.5	1.14E-54	208938_at 	1.1	7.89E-03	No significant difference 	No significant difference 
PSME3 	GI_30410793-A 	1.8	2.07E-45	200987_x_at 	1.2	3.51E-03	1.6	2.94E-05
				209853_s_at 	1.2	2.51E-03	1.6	1.13E-05
PUM1 	GI_13491165-S 	1.3	1.10E-37	201164_s_at 	1.1	3.39E-04	No significant difference 	No significant difference 
PWP1 	GI_5902033-S 	1.5	5.68E-58	201608_s_at 	1.1	2.51E-03	No significant difference 	No significant difference 
SFRS2 	GI_4506898-S 	1.9	1.45E-62	200753_x_at 	1.2	1.22E-03	1.4	2.06E-02
VCP 	GI_7669552-S 	1.3	1.78E-17	208649_s_at 	1.2	3.47E-04	1.3	2.12E-02
WRN 	GI_19924171-S 	1.8	1.36E-73	205667_at 	1.2	3.53E-03	No significant difference 	No significant difference 
ZNF410 	GI_10863994-S 	1.4	1.67E-51	202010_s_at 	1.1	9.10E-03	No significant difference 	No significant difference 
ZNF512B 	GI_34013527-S 	No significant difference 	No significant difference 	55872_at 	No significant difference 	No significant difference 	1.2	3.86E-02
