Gene ID	Gene name	Fold change
CYP1A1	Cytochrome P450, family 1, subfamily A, polypeptide 1	5.3
AP3D1	Adaptor-related protein complex 3, delta 1 subunit	3.6
NFAT5	Nuclear factor of activated T cells 5, tonicity-responsive	3.1
BMP2K	Bone morphogenetic protein 2 inducible kinase	2.9
DLST	Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxoglutarate complex)	2.8
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.8
FAM76B	Family with sequence similarity 76, member B	2.4
MGA	MAX gene associated	2.4
THRAP3	Thyroid hormone receptor-associated protein 3	2.4
GANAB	Glucosidase, alpha; neutral AB	2.3
RPS27A	Ribosomal protein S27a	?4.2
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	?4.1
WDR33	WD repeat domain 33	?3.9
EPN1	Epsin 1	?3.7
KLC2	Kinesin light chain 2	?3.6
STIP1	Stress-induced phosphoprotein 1	?3.6
41161	Septin 9	?3.4
TFDP1	Transcription factor Dp-1	?3.1
LAD1	Ladinin 1	?3.1
CABIN 1	Calcineurin-binding protein 1	?3.1
