Probe_ID	Gene Symbol	Gene Title	SW480 log2 ratio in KIAA1199 knockdown	SW480 log2 ratio in KIAA1199 overexpression
224700_at	STT3B	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	-1.7	0.4
1555613_a_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	-1.3	1.1
214032_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	-1.3	1
203779_s_at	EVA1	epithelial V-like antigen 1	-1.2	0.9
206508_at	TNFSF7	tumor necrosis factor (ligand) superfamily, member 7	-1.2	0.9
214247_s_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	-1.2	0.7
219901_at	FGD6	FYVE, RhoGEF and PH domain containing 6	-1.1	0.9
203381_s_at	APOE	apolipoprotein E	-1	0.8
205738_s_at	FABP3	fatty acid binding protein 3	-1	2.6
207468_s_at	SFRP5	secreted frizzled-related protein 5	-1	1.7
209267_s_at	SLC39A8	solute carrier family 39 (zinc transporter), member 8	-1	1
206224_at	CST1	cystatin SN	-0.9	2.2
206994_at	CST4	cystatin S	-0.9	0.5
218872_at	TESC	tescalcin	-0.9	0.6
219873_at	COLEC11	collectin sub-family member 11	-0.9	0.7
218303_x_at	LOC51315	hypothetical protein LOC51315	-0.8	0.6
202504_at	TRIM29	tripartite motif-containing 29	-0.7	0.7
203559_s_at	ABP1	amiloride binding protein 1	-0.7	0.6
204158_s_at	TCIRG1	T-cell, immune regulator 1	-0.7	0.9
212731_at	ANKRD46	ankyrin repeat domain 46	-0.7	1.3
213702_x_at	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	-0.7	0.6
223482_at	TMPIT	transmembrane protein induced by tumor necrosis factor alpha	-0.7	0.9
209362_at	SURB7	SRB7 suppressor of RNA polymerase B homolog (yeast)	-0.6	0.4
210140_at	CST7	cystatin F (leukocystatin)	-0.6	0.5
223518_at	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	-0.6	0.5
230518_at	EVA1	epithelial V-like antigen 1	-0.6	0.6
1553102_a_at	CCDC69	coiled-coil domain containing 69	-0.5	0.7
1554464_a_at	CRTAP	cartilage associated protein	-0.5	0.4
203632_s_at	GPRC5B	G protein-coupled receptor, family C, group 5, member B	-0.5	1.2
204718_at	EPHB6	EPH receptor B6	-0.5	1.4
208607_s_at	SAA1 /// SAA2	serum amyloid A1	-0.5	0.8
222855_s_at	TRPV2	transient receptor potential cation channel, subfamily V, member 2	-0.5	1.4
223360_at	C21orf56	chromosome 21 open reading frame 56	-0.5	1
225688_s_at	PHLDB2	pleckstrin homology-like domain, family B, member 2	-0.5	0.7
