Probe ID	Fold Change	Percentage False Positive Rate	P-Value	Gene Symbol
208712	110.5213	0	0	CCND1
208711	86.9584	0	0	CCND1
207076	6.0769	0.0018	0	ASS1
206121	5.7657	0.0023	0	AMPD1
220828	3.4743	0.0066	0	FLJ11292
212698	4.0877	0.0068	0	SEPT10
204999	4.1013	0.0071	0	ATF5
204114	5.2457	0.0075	0	NID2
218051	4.0953	0.0075	0	NT5DC2
203698	3.9115	0.0077	0	FRZB
210230	4.1282	0.0084	0	RNU2-1
210800	3.2559	0.0098	0	TIMM8A
205047	3.7303	0.0106	0	ASNS
217966	4.2044	0.0124	0	FAM129A
209921	3.9316	0.0153	0	SLC7A11
220448	4.1596	0.0156	0	KCNK12
209324	3.8526	0.0172	0	RGS16
203697	3.0178	0.0173	0	FRZB
202620	3.8031	0.0176	0	PLOD2
221841	3.2918	0.0178	0	KLF4
204998	3.9312	0.018	0	ATF5
210401	3.9537	0.0215	0	P2RX1
210993	3.7517	0.0221	0	SMAD1
203423	3.7598	0.0246	0	RBP1
220266	3.6892	0.0257	0	KLF4
215992	3.0498	0.026	0	RAPGEF2
219572	3.2788	0.0261	0	CADPS2
217137	2.7383	0.027	0	NA
207855	3.159	0.0274	0	CLCC1
216859	2.6776	0.0316	0	NA
219759	3.0174	0.0326	0	ERAP2
200629	3.1663	0.0333	0	WARS
204286	2.5487	0.0341	0	PMAIP1
217967	2.9041	0.0348	1.00 E-04	FAM129A
201914	3.1526	0.0505	1.00 E-04	SEC63
202063	3.0166	0.0512	1.00 E-04	SEL1L
