Gene symbol	Pten/Kras (Trp53+)/WT	Pten/Kras (Trp53-)/WT	Function
Ccnd1	4.4	2.9	Cell cycle/apoptosis
Cdkn1a(p21)	1.9	-2.1	Cell cycle/apoptosis
Cdkn2a(p16)	-1.0	27.9	Cell cycle/apoptosis
Cdkn2b(p15)	-23.2	1.1	Cell cycle/apoptosis
Igfbp2	-246.1	-1.3	Cell cycle/apoptosis
Igfbp6	-.3	1.3	Cell cycle/apoptosis
Igfbp7	-11.8	-1.6	Cell cycle/apoptosis
Mdm2	6.3	1.3	Cell cycle/apoptosis
Mki67(Ki67)	4.5	1.7	Cell cycle/apoptosis
Pcna	4	1.4	Cell cycle/apoptosis
Pdzd2	-31.5	-1.6	Cell cycle/apoptosis
Trp53	1.2	-3.3	Cell cycle/apoptosis
Birc5	10.7	3.1	DNA stability/repair
Brca1	10.1	2.7	DNA stability/repair
Hells	13.5	2.5	DNA stability/repair
Hmgb2	6.6	2.2	DNA stability/repair
Mcm6	4.2	1.6	DNA stability/repair
Mcm7	4.6	1.2	DNA stability/repair
Mcm10	7.8	1.6	DNA stability/repair
Mdm2	6.3	1.3	DNA stability/repair
Rad51	13.4	2.6	DNA stability/repair
Cadm4	-9.0	1.3	Metastasis/motility
Capn2	1.3	1.2	Metastasis/motility
Cd200	-22.1	2.3	Metastasis/motility
Cd44	2.6	2.2	Metastasis/motility
Perp	32.7	1.7	Metastasis/motility
Tubb3	26.2	1.3	Metastasis/motility
Cd24a	35.8	1.5	Stem cell-like
Ly6a	56.8	-1.0	Stem cell-like
Thy1	-15.4	1.9	Stem cell-like
Areg	13.5	-1.6	Transcription factors
Egr1	-25.1	-2.5	Transcription factors
Esr1	-39.3	-1.6	Transcription factors
Eya4	22.9	-1.0	Transcription factors
Irx3	-6.9	1.1	Transcription factors
Pgr	-4.6	-1.9	Transcription factors
Armcx1	-3.1	-1.2	Tumor suppressors
Armcx2	-11.6	-1.7	Tumor suppressors
Cd82	-6.1	1.1	Tumor suppressors
Pdzd2	-31.5	-1.6	Tumor suppressors
Tshz2	-23.1	-1.2	Tumor suppressors
Uhrf1	11.8	2.7	Tumor suppressors
