microRNA	Fold change	P-value
hsa-miR-593	3.56	8.17E-04
hsa-miR-342	5.31	8.31E-04
hsa-miR-454	3.74	1.27E-03
hsa-miR-21	10.33	1.49E-03
hsa-miR-509	2.31	2.32E-03
hsa-miR-210	4.56	3.03E-03
hsa-miR-9	3.24	4.46E-03
hsa-miR-760	2.41	5.23E-03
hsa-miR-891a	2.98	6.26E-03
hsa-miR-155	8.1	6.64E-03
hsa-miR-200b	2.51	8.13E-03
hsa-miR-34b	2.62	1.11E-02
hsa-miR-453	2.96	1.28E-02
hsa-miR-412	2.1	1.54E-02
hsa-miR-143	5.89	2.01E-02
hsa-miR-220	1.69	2.16E-02
hsa-miR-222	1.9	2.25E-02
hsa-miR-206	2.32	2.50E-02
hsa-miR-632	1.75	2.55E-02
hsa-miR-188-5p	2.17	2.57E-02
hsa-miR-885-3p	2.34	2.70E-02
hsa-miR-376	1.89	2.74E-02
hsa-miR-654-3p	2.66	3.09E-02
hsa-miR-625	2.56	3.15E-02
hsa-miR-629	1.95	3.55E-02
hsa-miR-616	1.89	4.23E-02
hsa-miR-601	2.12	4.73E-02
hsa-miR-432	2.9	4.78E-02
hsa-miR-548b	-2.89	2.50E-03
hsa-miR-216	-2.19	5.99E-03
hsa-miR-373	-2.14	1.08E-02
hsa-miR-296	-1.7	1.44E-02
hsa-miR-339	-1.69	2.16E-02
hsa-miR-208	-1.78	2.40E-02
hsa-miR-380-5p	-1.78	2.69E-02
hsa-miR-381	-1.47	2.89E-02
hsa-miR-518c	-1.95	3.73E-02
hsa-miR-519d	-2.05	4.27E-02
hsa-miR-328	-1.55	4.65E-02
