Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	 RATIO AM vs PL 	P_INT_GEA_R_AGE_TR
RAE230A:1377058_at	1377058_at	"Similar to Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease) (LOC367056), mRNA"	0.01	0.93	93	1.11022E-16
RAE230A:1377094_at	1377094_at	Transcribed sequences	0.13	4.22	32.46	6.28427E-10
RAE230A:1373177_x_at	1373177_x_at	"Similar to RIKEN cDNA 4933431D05 (LOC363338), mRNA"	0.13	3.37	25.92	9.70945E-07
RAE230A:1379814_at	1379814_at	Transcribed sequences	0.09	1.83	20.33	6.8217E-06
RAE230A:1387092_at	1387092_at	FXYD domain-containing ion transport regulator 4	0.04	0.75	18.75	0
RAE230A:1380905_at	1380905_at	Transcribed sequence with weak similarity to protein ref:NP_083358.1 (M.musculus) RIKEN cDNA 5830411J07 [Mus musculus]	0.1	1.85	18.5	1.29619E-05
RAE230A:1387516_at	1387516_at	pancreatic lipase-related protein 2	0.03	0.53	17.67	0
RAE230A:1369890_at	1369890_at	seminal vesicle antigen-like 1	0.04	0.7	17.5	0
RAE230A:1386378_at	1386378_at	"Similar to RIKEN cDNA 6720467C03 (LOC297903), mRNA"	0.07	1.19	17	3.30431E-05
RAE230A:1370108_a_at	1370108_a_at	lin-7-Ba	0.1	1.54	15.4	1.30994E-06
RAE230A:1370675_at	1370675_at	"transient receptor potential cation channel, subfamily V, member 1"	0.13	1.96	15.08	0.000209147
RAE230A:1387557_s_at	1387557_s_at	vacuolar protein sorting protein 33a	0.23	2.61	11.35	1.34984E-11
RAE230A:1386470_at	1386470_at	no description	0.21	2.26	10.76	1.48279E-07
RAE230A:1368313_a_at	1368313_a_at	"transient receptor potential cation channel, subfamily V, member 1"	0.15	1.61	10.73	
RAE230A:1373007_at	1373007_at	Transcribed sequences	0.16	1.62	10.13	0.000454232
RAE230A:1375625_at	1375625_at	"LOC363203 (LOC363203), mRNA"	0.24	2.07	8.63	
RAE230A:1386907_at	1386907_at	"enolase 3, beta"	0.25	2.14	8.56	6.18283E-13
RAE230A:1387534_at	1387534_at	"cytochrome c, testis"	0.11	0.88	8	0.000192512
RAE230A:1390519_at	1390519_at	"Similar to Glioma tumor suppressor candidate region gene 1 protein (LOC361513), mRNA"	0.28	2.19	7.82	5.4851E-06
RAE230A:1389759_at	1389759_at	flamingo-like protein celsr1	0.05	0.37	7.4	7.13158E-08
RAE230A:1368168_at	1368168_at	"solute carrier family 34 (sodium phosphate), member 2"	0.19	1.28	6.74	9.35918E-14
RAE230A:1367566_at	1367566_at	"secretoglobin, family 1A, member 1"	0.23	1.53	6.65	1.26579E-10
RAE230A:1368746_a_at	1368746_a_at	"ATPase, H+/K+ transporting, nongastric, alpha polypeptide"	0.11	0.67	6.09	0
RAE230A:1387868_at	1387868_at	lipopolysaccharide binding protein	0.23	1.4	6.09	3.12609E-11
RAE230A:1387955_at	1387955_at	"UDP-glucuronosyltransferase 2B3 precursor, microsomal"	0.2	1.06	5.3	
RAE230A:1369314_at	1369314_at	fibroblast growth factor FGF-5	0.18	0.94	5.22	
RAE230A:1370725_a_at	1370725_a_at	"glucose-6-phosphatase, catalytic"	0.27	1.37	5.07	
RAE230A:1387471_at	1387471_at	elastase 2	0.5	2.53	5.06	2.72166E-10
RAE230A:1370481_at	1370481_at	"sodium channel, nonvoltage-gated 1 gamma"	0.19	0.94	4.95	7.75269E-08
RAE230A:1370251_at	1370251_at	Esau	0.33	1.57	4.76	1.65524E-07
RAE230A:1373953_at	1373953_at	"Similar to adaptor protein kanadaptin (LOC298805), mRNA"	0.31	1.47	4.74	0.000137746
RAE230A:1369657_at	1369657_at	carboxypeptidase A1	0.25	1.09	4.36	
RAE230A:1376057_at	1376057_at	phosphodiesterase 8A	0.44	1.87	4.25	3.85025E-12
RAE230A:1374244_at	1374244_at	Transcribed sequences	0.32	1.34	4.19	0.000402541
RAE230A:1367877_at	1367877_at	solute carrier family 11 member 2	0.07	0.29	4.14	0
RAE230A:1390938_at	1390938_at	"Similar to hypothetical protein E130310N06 (LOC301709), mRNA"	0.24	0.97	4.04	
RAE230A:1370401_at	1370401_at	Ly6-B antigen gene	0.53	2.13	4.02	8.30611E-10
RAE230A:1387315_at	1387315_at	surfactant associated protein D	0.45	1.78	3.96	9.42738E-07
RAE230A:1376226_at	1376226_at	no description	0.28	1.09	3.89	9.81913E-08
RAE230A:1393688_at	1393688_at	"Similar to cell surface receptor FDFACT (LOC304349), mRNA"	0.3	1.14	3.8	
RAE230A:1375464_at	1375464_at	"Hypothetical LOC308556 (LOC308556), mRNA"	0.58	1.93	3.33	
RAE230A:1369381_a_at	1369381_a_at	"solute carrier family 15 (oligopeptide transporter), member 1"	0.1	0.33	3.3	7.26493E-06
RAE230A:1372239_at	1372239_at	Transcribed sequences	0.29	0.91	3.14	
RAE230A:1387762_s_at	1387762_s_at	Jun D proto-oncogene	0.08	0.25	3.13	
RAE230A:1389501_at	1389501_at	no description	0.58	1.76	3.03	
