Genes in the network	Fold Change
ASNS	0.263665254
ATF5	0.304773817
BCL2L1	0.472568004
CEBPA	0.439790576
CEBPG	0.44757278
CSF2RA	0.325774488
CYP27B1	2.222367846
EPHX1	0.649205915
HSPA1A	2.65981938
HSPA2	3.969072165
HSPA8	1.952225104
IFI27	2.906630582
INSIG1	1.01799856
ISG15	2.04415182
MLLT6	0.644533287
MTHFD2	0.550112942
NUAK2	0.327180601
PCK2	0.144903467
PSPH	0.262554369
RAGE	0.629848229
SERPINB2	2.097715303
SLC7A1	0.553353107
SLC9A8	0.449454545
STAT6	0.591823491
TCEA1	0.421043198
TNFRSF10A	0.559356685
TRAFD1	1.77204423
TRIB3	0.329194672
