Probeset	P Value	FDR	Fold change	Direction	Symbol	Name
204446_s_at	0	0.0205	2.24	UP	ALOX5	Arachidonate 5-lipoxygenase
201302_at	0.0002	0.0413	1.9	UP	ANXA4	annexin A4
222761_at	0.0001	0.026	1.55	UP	BIVM	basic, immunoglobulin-like variable motif containing
205557_at	0.0001	0.0248	2.57	UP	BPI	bactericidal/permeability-increasing protein
238545_at	0.0001	0.0255	1.55	UP	BRD7	bromodomain containing 7
210244_at	0.0004	0.0458	3.3	UP	CAMP	cathelicidin antimicrobial peptide
227156_at	0.0002	0.0349	1.71	UP	CASK	Peripheral plasma membrane protein CASK
200663_at	0.0005	0.0492	1.7	UP	CD63	CD63 molecule
211657_at	0	0.0213	2.41	UP	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
206676_at	0	0.01	5.65	UP	CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8
211862_x_at	0.0004	0.0459	1.6	UP	CFLAR	FLAME-1
207269_at	0.0002	0.0397	4.29	UP	DEFA4	defensin, alpha 4, corticostatin
203765_at	0.0004	0.047	2.57	UP	GCA	grancalcin, EF-hand calcium binding protein
212531_at	0	0.0232	4.74	UP	LCN2	lipocalin 2
215123_at	0.0002	0.0398	2.38	UP	LOC23117	KIAA0220-like protein
205033_s_at	0	0.0209	6.16	UP	LOC728358	defensin, alpha 1
202018_s_at	0	0.0219	5.05	UP	LTF	lactotransferrin
227379_at	0.0002	0.0377	1.52	UP	MBOAT1	membrane bound O-acyltransferase domain containing 1
231688_at	0.0001	0.0247	3.61	UP	MMP8	MMP-8 (collagenase 2)
204959_at	0.0003	0.0442	2.74	UP	MNDA	myeloid cell nuclear differentiation antigen
228962_at	0.0001	0.0257	1.55	UP	PDE4D	PDE4D (cAMP-specific phosphodiesterase 4D/ HSPDE4D)
1552622_s_at	0.0002	0.0398	1.88	UP	POLR2J2	DNA directed RNA polymerase II polypeptide J-related
233813_at	0	0.0233	1.6	UP	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
207957_s_at	0.0006	0.0497	1.8	UP	PRKCB1	Protein kinase C beta-I type(PKC-beta-1)
220570_at	0.0006	0.0495	1.69	UP	RETN	resistin
206851_at	0.0002	0.0364	1.97	UP	RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)
232231_at	0.0005	0.0481	2.01	UP	RUNX2	runt-related transcription factor 2
205863_at	0	0.0231	4.71	UP	S100A12	S100 calcium binding protein A12
202917_s_at	0.0001	0.0249	4.81	UP	S100A8	S100 calcium binding protein A8
203535_at	0.0001	0.0254	5.02	UP	S100A9	S100 calcium binding protein A9
204351_at	0.0001	0.0238	3.35	UP	S100P	S100 calcium binding protein P
220924_s_at	0.0005	0.0485	1.62	UP	SLC38A2	Amino acid transporter system A2 (ATA2)
1556601_a_at	0.0006	0.0499	1.67	UP	SPATA13	spermatogenesis associated 13
201859_at	0.0004	0.0458	1.88	UP	SRGN	serglycin
201858_s_at	0.0004	0.0465	1.97	UP	SRGN	serglycin
201061_s_at	0	0.01	2.35	UP	STOM	stomatin
243423_at	0.0003	0.0423	1.63	UP	TNIP1	TNFAIP3 interacting protein 1
223741_s_at	0.0003	0.042	1.83	UP	TTYH2	tweety homolog 2 (Drosophila)
224967_at	0.0001	0.0342	2.04	UP	UGCG	UDP-glucose ceramide glucosyltransferase(UGCG)
206111_at	0	0.01	2.52	UP	ZNF749	zinc finger protein 749
