Gene Symbol	Gene Description
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5
ADCYAP1R1	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ANKDD1A	ankyrin repeat and death domain containing 1A
ASPA	aspartoacylase (Canavan disease)
BCO2	beta-carotene oxygenase 2
C16orf89	chromosome 16 open reading frame 89
CFD	complement factor D (adipsin)
CLEC3B	C-type lectin domain family 3, member B
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
GARNL3	GTPase activating Rap/RanGAP domain-like 3
GLT25D2	glycosyltransferase 25 domain containing 2
GPM6A	glycoprotein M6A
GPR133	G protein-coupled receptor 133
GSTM5	glutathione S-transferase mu 5
HLF	hepatic leukemia factor
ITM2A	integral membrane protein 2A
KIAA1377	KIAA1377
NAP1L5	nucleosome assembly protein 1-like 5
PENK	proenkephalin
PHACTR2	phosphatase and actin regulator 2
PPARG	peroxisome proliferator-activated receptor gamma
PPL	periplakin
PTGDS	prostaglandin D2 synthase 21kDa (brain)
PTGFR	prostaglandin F receptor (FP)
THSD7A	thrombospondin, type I, domain containing 7A
TJP2	tight junction protein 2 (zona occludens 2)
TRERF1	transcriptional regulating factor 1
ZNF10	zinc finger protein 10
