Gene name	Description
PSMD8	26S proteasome non-ATPase regulatory subunit 8
ITGAD	Integrin alpha-D precursor (leukointegrin alpha D) (ADB2) (CD11d antigen)
CPT2	Carnitine palmitoyltransferase II
MUS81	Crossover junction endonuclease MUS81
NUDT1	7,8-Dihydro-8-oxoguanine triphosphatase
STYXL1	Serine/threonine/tyrosine-interacting-like protein 1
KCNQ1	Potassium voltage-gated channel, KQT-like subfamily, member 1
RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4
CYP24A1	Cytochrome P450, family 24, subfamily A, polypeptide 1
USP22	Ubiquitin specific peptidase 22
