CloneID	UniGene ClusterID	Gene Symbol	Gene Name	Fold (E18/E13)
H3047D01	Mm.970	Ckmt1; Ckmt1; Mt-CK; mi-CK; ScCKmit; UbCKmit	creatine kinase, mitochondrial 1, ubiquitous	20.31
H3034E11	Mm.17911	Lgals4	lectin, galactose binding, soluble 4	15.15
H3019E05	Mm.38994	D10Ertd749e; D10Ertd749e; Zwint-1; 2010007E07Rik; 2600001N01Rik	DNA segment, Chr 10, ERATO Doi 749, expressed	8.87
H3074E11	Mm.26127	2210401J11Rik	RIKEN cDNA 2210401J11 gene	8.64
H3019B01	Mm.4550	Atp1b1; Atp1b1; Atpb; Atpb-1	ATPase, Na+/K+ transporting, beta 1 polypeptide	7.4
H3110C01	Mm.28217	Epb4.1l4b; Epb4.1l4b; Ehm2; D4Ertd346e	erythrocyte protein band 4.1-like 4b	7.39
H3131D05	Mm.28756	Slc39a1; Slc39a1; MTP; Ol5; Dusg; FPN1; Fpn1; MTP1; IREG1; Slc11a3	solute carrier family 39 (iron-regulated transporter), member 1	6.82
H3064C07	Mm.11869	AI427122	expressed sequence AI427122	6.68
445033	Mm.4641	Tff3; Tff3; ITF; mITF	trefoil factor 3, intestinal	6.6
H3087H09	Mm.100144	S100a6; S100a6; Cacy	S100 calcium binding protein A6 (calcyclin)	6.55
H3105A07	Mm.205520	A430096B05Rik	RIKEN cDNA A430096B05 gene	6.48
H3096G03	Mm.7244	Agr2; Agr2; Agr2h; Gob-4; HAG-2; XAG-2; mAG-2	anterior gradient 2 (Xenopus laevis)	6.34
H3133E07	Mm.29975	Gatm; Gatm; AT; 1810003P21Rik	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	6.13
314112	Mm.6853	Sprr2a	small proline-rich protein 2A	6.03
H3031C12	Mm.4063	Ndr1	N-myc downstream regulated 1	5.32
H3068B08	Mm.28958	9130011B11Rik	RIKEN cDNA 9130011B11 gene	5.21
H3015B01	Mm.4325	Klf4; Klf4; Zie; GKLF; Gklf	Kruppel-like factor 4 (gut)	5.19
H3087E01	Mm.259702	Anxa4; Anxa4; Anx4; Xanx-4	annexin A4	4.82
635392	Mm.31250	2810423A18Rik	RIKEN cDNA 2810423A18 gene	4.73
H3148D05	Mm.56769	Dcn; Dcn; DC	decorin	4.65
472348	Mm.2614	Guca2	guanylate cyclase activator 2 (guanylin 2, intestinal, heatstable)	4.64
H3141F12	Mm.3126	Fhl1; Fhl1; KyoT; KyoT1; KyoT2	four and a half LIM domains 1	4.4
H3105D09	Mm.24163	Asc-pending; Asc-pending; masc; PYCARD; 9130417A21Rik	apoptosis-associated speck-like protein containing a CARD	4.39
H3009D03	Mm.34609	Plac8; Plac8; C15	placenta-specific 8	4.32
H3009G08	Mm.29080	1810074H01Rik	RIKEN cDNA 1810074H01 gene	4.26
518481	Mm.10633	Hmgcs2; Hmgcs2; mHS; 1300002P16	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	4.26
H3097C11	Mm.28497	Ppp1r1b; Ppp1r1b; Darpp32; DARPP-32	protein phosphatase 1, regulatory (inhibitor) subunit 1B	4.25
H3156F07	Mm.29483	1600025H15Rik	RIKEN cDNA 1600025H15 gene	4.24
H3138E10	Mm.24457	Aldh1b1; Aldh1b1; 2700007F14Rik	aldehyde dehydrogenase 1 family, member B1	4.06
H3058B02	Mm.2777	Tpd52; Tpd52; mD52	tumor protein D52	4.06
H3152G04	Mm.1949	Col6a2; Col6a2; Col6a-2; MGC36205	procollagen, type VI, alpha 2	3.97
H3155A10	NA			3.86
H3030F05	Mm.21864	2310075E07Rik	RIKEN cDNA 2310075E07 gene	3.85
H3125A09	Mm.200916	Gpx3; Gpx3; GPx	glutathione peroxidase 3	3.84
H3144D01	Mm.216438		Mus musculus, clone IMAGE:5123675, mRNA	3.78
H3125D01	Mm.168712	Col1a2; Col1a2; oim; Cola2; Cola-2; Col1a-2	procollagen, type I, alpha 2	3.75
H3014H12	Mm.6800	Krt2-8; Krt2-8; K8; EndoA; Krt-2.8	keratin complex 2, basic, gene 8	3.71
