P-value	Hazard ratio	Description	Gene	Probe set	Pass	PCR	Statistic	Statistic
0.0002	1.8	Epidermal growth factor receptor	EGFR	201984_s_at	2	PCR	1	0.1
0.0005	0.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	DDX54	219111_s_at			2	0.1
0.0005	0.5	Chimerin (chimaerin) 2	CHN2	213385_at			3	0.1
0.0005	6.1	Ubiquitin-like domain containing CTD phosphatase 1	UBLCP1	227413_at			4	0.2
0.0006	0.5	PTK2 protein tyrosine kinase 2	PTK2	241387_at			5	0.2
0.0008	3.4	Der1-like domain family, member 2	DERL2	218333_at			6	0.2
0.0008	0.5	Leucine rich repeat containing 14	LRRC14	32062_at			7	0.2
0.0009	4.5	WD repeat domain 33	WDR33	222763_s_at		PCR	8	0.2
0.0009	0.1	Rhomboid domain containing 3	RHBDD3	217622_at			9	0.2
0.001	0.3	Myosin regulatory light chain interacting protein	MYLIP	228098_s_at	3	PCR	10	0.2
0.0013	4.7	Chromosome 14 open reading frame 43	C14orf43	225980_at		PCR	11	0.2
0.0013	0.2	BCL6 co-repressor	BCOR	223915_at			12	0.2
0.0013	0.5	MAD1 mitotic arrest deficient-like 1 (yeast)	MAD1L1	233921_s_at			13	0.2
0.0013	4.9	Chromosome 14 open reading frame 109	C14orf109	213246_at			14	0.2
0.0014	4.2	Hypothetical protein LOC124512	LOC124512	225808_at			15	0.2
0.0014	5	Ring finger protein 167	RNF167	212047_s_at			16	0.2
0.0014	0.6	Hypothetical LOC25845	LOC25845	225457_s_at			17	0.2
0.0014	4.2	General transcription factor II, i	GTF2I	232710_at			18	0.3
0.0014	0.2	Rho guanine nucleotide exchange factor (GEF) 10-like	ARHGEF10L	1570511_at			19	0.3
0.0014	0.3	G kinase anchoring protein 1	GKAP1	229312_s_at		PCR	20	0.3
0.0015	1.9	Glutathione peroxidase 3 (plasma)	GPX3	214091_s_at	2	PCR	21	0.3
0.0016	0.5	Dachshund homolog 1 (Drosophila)	DACH1	1567101_at	2	PCR	22	0.3
0.0016	0.3	Diacylglycerol kinase, theta 110kDa	DGKQ	226605_at			23	0.3
0.0017	0.6	Hepatocellular carcinoma-associated antigen 112	HCA112	218345_at			24	0.3
0.0018	3.5	Mediator of RNA polymerase II transcription, subunit 31 homolog	MED31	222867_s_at			25	0.3
0.0018	6.9	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	YWHAE	210317_s_at		PCR	26	0.3
0.0018	0.1	KH domain containing, RNA binding, signal transduction associated 1	KHDRBS1	201488_x_at			27	0.3
0.0019	0.3	Solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	SLC25A16	210686_x_at			28	0.3
0.0019	4.9	Hypothetical protein LOC51255	LOC51255	223064_at			29	0.3
0.002	0.2	Cyclin L2 /// similar to Aurora kinase A-interacting protein	CCNL2 /// LOC643556	222999_s_at			30	0.3
0.002	7.4	Lectin, mannose-binding, 1	LMAN1	224629_at			31	0.3
0.002	0.2	Erythrocyte membrane protein band 4.1 like 4A	EPB41L4A	228259_s_at			32	0.3
0.0022	0.2	KIAA0999 protein	KIAA0999	204155_s_at			33	0.3
0.0022	0.5	ELOVL family member 7	ELOVL7	227180_at			34	0.3
0.0023	4	Churchill domain containing 1	CHURC1	233268_s_at			35	0.4
0.0024	4	Yippee-like 2 (Drosophila)	YPEL2	227020_at			36	0.4
0.0024	5.9	Hermansky–Pudlak syndrome 1	HPS1	210112_at			37	0.4
0.0025	0.3	Hypothetical protein LOC285831	LOC285831	228857_at			38	0.4
0.0026	3.5	CDC37 cell division cycle 37 homolog (Saccharomyces cerevisiae)-like 1	CDC37L1	219343_at			39	0.4
0.0026	2.1	Ankyrin repeat and SOCS box-containing 9	ASB9	205673_s_at			40	0.4
0.0026	0.2	Hypothetical gene supported by AK125149	LOC401577	239247_at			41	0.5
0.0026	0.3	TBC1 domain family, member 23	TBC1D23	236755_at			42	0.5
0.0026	0.3	MRNA full length insert cDNA clone EUROIMAGE 2362292		235505_s_at			43	0.5
0.0026	0.4	Dehydrogenase/reductase (SDR family) member 8	DHRS8	217989_at			44	0.5
0.0026	0.4	Nuclear receptor coactivator 2	NCOA2	242369_x_at			45	0.5
0.0026	0.2	MRNA; cDNA DKFZp667E0114 (from clone DKFZp667E0114)		235660_at			46	0.5
