Function	Genes	Accession no.	Symbol	Fold change	p-value
Pyruvate metabolism	Pyruvate carboxylase	NM_000920.2	PC	-2.01	0.03
Pyruvate metabolism	Acyl-CoA synthetase short-chain family member 2	NM_139274.1	ACSS2	-2.12	0.03
Pyruvate metabolism	Acetyl-Coenzyme A carboxylase alpha	NM_000664.3	ACACA	-2.37	0.01
Pyruvate metabolism	Acylphosphatase 2, muscle type	NM_138448.2	ACYP2	-2.01	0.00
Cell cycle	Cyclin B1	NM_031966.2	CCNB1	-3.47	0.00
Cell cycle	Cyclin B2	NM_004701.2	CCNB2	-2.17	0.00
Cell cycle	Transforming growth factor, beta 2	NM_003238.1	TGFB2	-3.00	0.00
Cell cycle	Ataxia telangiectasia mutated	NM_000051.3	ATM	-2.39	0.02
Glycolysis / Gluconeogenesis	Acyl-CoA synthetase short-chain family member 2	NM_139274.1	ACSS2	-2.12	0.03
Glycolysis / Gluconeogenesis	Aldehyde dehydrogenase 3 family, member B1	NM_001030010.1	ALDH3B1	-2.95	0.00
Glycolysis / Gluconeogenesis	Fructose-1,6-bisphosphatase 1	NM_000507.2	FBP1	-2.64	0.02
Glycolysis / Gluconeogenesis	Acylphosphatase 2, muscle type	NM_138448.2	ACYP2	-2.01	0.00
TGF-beta signaling pathway	Inhibitor of DNA binding 1	NM_181353.1	ID1	-3.04	0.02
TGF-beta signaling pathway	Bone morphogenetic protein 4	NM_001202.2	BMP4	-3.71	0.01
TGF-beta signaling pathway	E2F transcription factor 5, p130-binding	NM_001951.2	E2F5	-2.27	0.00
TGF-beta signaling pathway	Transforming growth factor, beta 2	NM_003238.1	TGFB2	-3.00	0.00
Tyrosine metabolism	Protein arginine methyltransferase 2	NM_206962.1	PRMT2	-2.03	0.01
Tyrosine metabolism	Aldehyde dehydrogenase 3 family, member B1	NM_001030010.1	ALDH3B1	-2.95	0.00
Tyrosine metabolism	Catechol-O-methyltransferase	NM_000754.2	COMT	-3.03	0.04
MAPK signaling pathway	Ribosomal protein S6 kinase, 90 kDa, polypeptide 2	NM_021135.4	RPS6KA2	-2.14	0.02
MAPK signaling pathway	Arrestin, beta 1	NM_004041.3	ARRB1	-2.30	0.00
MAPK signaling pathway	CD14 molecule	NM_000591.1	CD14	-5.54	0.00
MAPK signaling pathway	Protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	NM_021132.1	PPP3CB	-3.02	0.00
MAPK signaling pathway	Transforming growth factor, beta 2	NM_003238.1	TGFB2	-3.00	0.00
JAK/STAT signaling pathway	Interferon (alpha, beta and omega) receptor 1	NM_000629.2	IFNAR1	-2.62	0.03
JAK/STAT signaling pathway	Sprouty homolog 1, antagonist of FGF signaling	NM_005841.1	SPRY1	-2.35	0.00
