MirProbe	Adult cerebellum med	min	max	Fetal cerebellum med	min	max	p
hsa-let-7d	1.071	5.59E-01	1.46E+00	0.389	0.172	0.443	<0.001
hsa-let-7e	1.155	4.63E-01	1.432	0.469	0.262	0.636	0.002
hsa-mir-9	0.568	2.25E-01	2.381	5.073	0.936	6.966	<0.001
hsa-mir-10b	0.954	5.17E-01	1.674	2.926	2.173	5.291	<0.001
hsa-mir-17	1.023	5.98E-01	1.458	11.449	8.067	13.186	<0.001
hsa-mir-18a	0.98	3.41E-01	1.824	5.54	2.719	6.841	<0.001
hsa-mir-19a	0.838	5.88E-01	1.558	7.865	6.908	11.117	<0.001
hsa-mir-20a	0.887	3.87E-01	1.674	10.971	6.021	13.962	<0.001
hsa-mir-21	1.179	5.44E-01	1.561	2.498	1.853	2.947	<0.001
hsa-mir-25	0.815	3.78E-01	1.649	2.328	1.307	4.164	<0.001
hsa-mir-26a	1.079	4.50E-01	1.403	0.247	0.224	0.288	<0.001
hsa-mir-29a	0.898	4.81E-01	1.627	0.135	0.073	0.217	<0.001
hsa-mir-29b	1.101	3.93E-01	1.408	0.051	0.026	0.207	<0.001
hsa-mir-29c	1.015	5.17E-01	1.587	0.038	0.03	0.081	<0.001
hsa-mir-31	0.628	2.14E-01	2.176	0.027	0.013	0.074	<0.001
hsa-mir-34a	1.177	4.45E-01	1.39	0.269	0.175	1.087	<0.001
hsa-mir-100	0.954	5.76E-01	1.504	1.553	1.015	2.124	0.002
hsa-mir-106a	0.967	3.24E-01	1.895	13.976	11.204	21.752	<0.001
hsa-mir-106b	0.98	3.70E-01	1.714	4.246	3.325	4.957	<0.001
hsa-mir-107	0.91	5.41E-01	1.744	0.49	0.195	0.506	<0.001
hsa-mir-124a	1.017	5.56E-01	1.492	0.558	0.282	0.572	<0.001
hsa-mir-125a	0.887	4.58E-01	1.871	0.404	0.341	0.549	<0.001
hsa-mir-127	0.963	4.46E-01	1.743	0.573	0.147	0.689	0.002
hsa-mir-129	1.006	1.62E-01	1.39	0.166	0.107	0.196	<0.001
hsa-mir-133b	0.938	5.72E-01	1.614	2.665	1.562	2.689	<0.001
hsa-mir-135a	1.044	6.80E-01	1.286	14.225	8.032	16.972	<0.001
hsa-mir-137	0.645	4.11E-01	2.669	32.986	10.889	89.098	<0.001
hsa-mir-138	0.729	4.07E-01	1.895	2.138	0.92	2.658	0.014
hsa-mir-145	0.953	4.56E-01	1.564	1.517	1.197	3.007	<0.001
hsa-mir-148a	1.024	4.22E-01	1.486	10.522	2.89	12.405	<0.001
hsa-mir-149	1.07	5.96E-01	1.357	1.392	1.091	1.397	<0.001
hsa-mir-153	0.973	1.45E-01	1.958	0.425	0.388	0.459	0.002
hsa-mir-154	0.984	4.94E-01	1.35E+00	0.413	0.186	0.58	<0.001
hsa-mir-155	1.067	5.40E-01	1.411	2.004	1.78	4.49	<0.001
hsa-mir-187	1.015	4.35E-01	1.506	0.283	0.143	0.456	<0.001
hsa-mir-192	0.847	5.79E-01	2.021	0.296	0.203	0.351	<0.001
hsa-mir-194	0.805	2.19E-01	2.558	0.349	0.14	0.441	<0.001
hsa-mir-199b	0.67	3.07E-01	2.634	34.833	7.764	54.65	<0.001
hsa-mir-203	1.207	2.24E-01	1.931	9.56	2.404	17.06	<0.001
hsa-mir-221	0.939	2.65E-01	1.68E+00	2.406	1.496	6.86	<0.001
hsa-mir-326	0.938	4.76E-01	1.429	0.411	0.287	0.565	<0.001
hsa-mir-330	1.013	4.31E-01	1.402	0.201	0.107	0.719	<0.001
hsa-mir-345	1.072	4.84E-01	1.394	2.088	1.201	2.772	<0.001
hsa-mir-372	0	0.00E+00	5.103	4.683	0.051	8.418	0.006
hsa-mir-381	1.157	0.4	1.326	0.226	0.183	0.262	<0.001
