ProbeSet	Fold	Direction	GeneName	P Value	Function
D32050	2.1	Down	Alanyl-tRNA synthetase	0.01	Protein metabolism
X51466	2.9	Down	Elongation factor 2	0.05	Protein metabolism
D13748	3.2	Down	Eukaryotic initiation factor 4AI	0.01	Protein metabolism
J04617	3.6	Down	Elongation factor EF-1-alpha	0.05	Protein metabolism
Z28407	2.2	Down	Ribosomal protein L8	0.01	Protein metabolism
X03689	2.6	Down	Elongation factor TU	0.01	Protein metabolism
L18960	2.9	Down	Protein synthesis factor (elF-4C)	0.01	Protein metabolism
U07550	2.3	Down	Chaperonin 10	0.01	Protein metabolism
D13705	2.3	Down	Fatty acids omega-hydroxylase	0.01	Fatty acid metabolism
X76717	4.1	Down	MT-1	0.01	DNA/nicotinamide metabolism
D00632	5.3	Down		0.01	DNA/nicotinamide metabolism
Z49835	2.7	Down	Protein disulfide isomerase	0.01	Protein metabolism
J03810	2.3	Down	GLUT2	0.01	Glucose metabolism
D43682	2.3	Down	Very-long-chain acyl-CoA dehydrogense	0.01	Fatty acid metabolism
M74587	2.8	Down	IGF-binding protein	0.01	Growth factors
