Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Mfsd2a	major facilitator superfamily domain containing 2A	A_51_P279437	Embryo:7.86862884307309	Embryo:1.42736674149615e-11	Pup:9.87345960480084	Pup:1.44312677374295e-13	Adult:9.64737365397059	Adult:4.80090115010141e-13
Zic1	zinc finger protein of the cerebellum 1	A_51_P194230	Embryo:8.20117516020392	Embryo:3.04415812130477e-12	Pup:9.57503563452303	Pup:7.96149066225408e-14	Adult:7.66108456064998	Adult:1.2110221918151e-11
Slc16a4	solute carrier family 16 (monocarboxylic acid transporters), member 4	A_51_P340653	Embryo:5.01302886144663	Embryo:3.59362193566965e-08	Pup:9.78612494493016	Pup:1.44312677374295e-13	Adult:10.5602452595714	Adult:7.29584440281767e-14
Lrp8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	A_51_P445765	Embryo:6.51219729462205	Embryo:4.88945949610852e-15	Pup:8.1571888424243	Pup:1.80918614096577e-17	Adult:7.15762065745538	Adult:2.53599762675782e-16
Apod	apolipoprotein D	A_51_P366811	Embryo:7.19815415488119	Embryo:8.39523878977304e-13	Pup:7.67944514192978	Pup:1.13550671588021e-13	Adult:6.43410645938581	Adult:6.81059772033772e-12
Ncan	neurocan	A_52_P492989	Embryo:7.51104762166655	Embryo:1.77365383122862e-09	Pup:8.61185578035542	Pup:1.11696428092221e-10	Adult:4.18418010099278	Adult:3.82583989172327e-05
Zic3	zinc finger protein of the cerebellum 3	A_52_P82557	Embryo:6.80004695090885	Embryo:0.000287511855154538	Pup:7.24552558739655	Pup:0.000109513975776596	Adult:6.04179482385255	Adult:0.0014945442509015
Slco1c1	solute carrier organic anion transporter family, member 1c1	A_51_P261713	Embryo:5.8075679567511	Embryo:3.76649606077709e-13	Pup:6.68493823789053	Pup:1.17512038683577e-14	Adult:6.94715269716966	Adult:9.65885414145369e-15
Vwa1	von Willebrand factor A domain containing 1	A_52_P561650	Embryo:6.5652562820732	Embryo:3.76649606077709e-13	Pup:6.23704641303005	Pup:3.40549941230212e-13	Adult:6.35579975479857	Adult:5.92041717070205e-13
Apcdd1	adenomatosis polyposis coli down-regulated 1	A_51_P175018	Embryo:6.02870098059104	Embryo:7.0295618068209e-13	Pup:5.99331074333071	Pup:2.87177347775803e-13	Adult:7.03330157324886	Adult:3.28590413395115e-14
Foxf2	forkhead box F2	A_51_P248865	Embryo:6.1892329833206	Embryo:4.47913465868017e-10	Pup:4.9044173185794	Pup:2.01422848218373e-08	Adult:7.69198470167301	Adult:1.51006891043119e-11
Spock2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	A_52_P385801	Embryo:6.98358695178056	Embryo:3.76649606077709e-13	Pup:5.08965660030916	Pup:5.72298294560194e-11	Adult:6.43556179427033	Adult:1.63894542837274e-12
Slc22a8	solute carrier family 22 (organic anion transporter), member 8	A_52_P295475	Embryo:4.24551476888157	Embryo:0.0063945372460367	Pup:6.1615967047411	Pup:0.000124939307616489	Adult:7.7577738828767	Adult:1.30607717922285e-05
Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1	A_51_P464738	Embryo:4.01310472799517	Embryo:1.49200004697232e-08	Pup:6.07612124640604	Pup:5.82611078675387e-12	Adult:7.41961888788367	Adult:3.23161363702877e-13
Itm2a	integral membrane protein 2A	A_51_P516870	Embryo:3.26102519877023	Embryo:5.95373428453529e-06	Pup:5.8528525342916	Pup:2.68048744947521e-10	Adult:8.36190503535479	Adult:7.88068573799943e-13
Slc1a2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	A_51_P179878	Embryo:3.68504640985291	Embryo:0.000773937565457234	Pup:7.58813633583948	Pup:1.93748143817973e-08	Adult:6.18175278772525	Adult:1.45953559639795e-06
Lef1	lymphoid enhancer binding factor 1	A_51_P501145	Embryo:4.3648139830946	Embryo:2.78031201220167e-12	Pup:4.8069747745285	Pup:1.8224775285197e-13	Adult:7.26247886287428	Adult:1.58226253286874e-16
Frmd5	FERM domain containing 5	A_51_P466288	Embryo:4.63814918949786	Embryo:1.96296977274806e-09	Pup:6.06838596425428	Pup:1.02862069567535e-11	Adult:5.45911636708868	Adult:1.67511297726313e-10
Lsr	lipolysis stimulated lipoprotein receptor	A_51_P436839	Embryo:4.33197462152622	Embryo:8.60576087388821e-12	Pup:5.46802049059218	Pup:7.64534038467012e-14	Adult:6.33738290912018	Adult:8.50539640413118e-15
Ccdc141	coiled-coil domain containing 141	A_52_P661587	Embryo:4.4972965568487	Embryo:3.73166278349882e-08	Pup:5.02833999122125	Pup:4.0164297448319e-09	Adult:6.58643582448691	Adult:6.73948471341528e-11
Ptprz1	protein tyrosine phosphatase, receptor type Z, polypeptide 1	A_51_P370996	Embryo:3.96595101554639	Embryo:3.57108747569854e-05	Pup:8.04706155191764	Pup:2.91979194444295e-10	Adult:3.68879496488428	Adult:0.000155651175615115
Cspg5	chondroitin sulfate proteoglycan 5	A_52_P437662	Embryo:3.36161064369632	Embryo:0.000170650767031372	Pup:6.4225070546511	Pup:7.19238700395046e-09	Adult:5.83478549480423	Adult:9.40156944434439e-08
Foxd1	forkhead box D1	A_52_P128134	Embryo:4.23135182302091	Embryo:0.000722152388984159	Pup:6.27967599138201	Pup:3.61917740373048e-06	Adult:4.9159844553022	Adult:0.000210035720618536
Slc7a5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	A_51_P273639	Embryo:4.65265468006024	Embryo:1.41123942292109e-14	Pup:5.81724655718592	Pup:6.17673683977692e-17	Adult:4.91904046448196	Adult:2.57853988084724e-15
Slc35f2	solute carrier family 35, member F2	A_51_P106979	Embryo:2.93858769512034	Embryo:4.68050836716589e-08	Pup:4.85939962315495	Pup:4.10592380259501e-12	Adult:7.42356855184772	Adult:2.92869501103289e-15
Tnfrsf19	tumor necrosis factor receptor superfamily, member 19	A_51_P399305	Embryo:3.86052136941144	Embryo:7.86669754623532e-12	Pup:3.99482498305486	Pup:2.47379397398026e-12	Adult:7.04863558047125	Adult:1.32791728107108e-16
Slc7a1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	A_51_P475672	Embryo:4.08655806275028	Embryo:2.86134788972462e-12	Pup:5.87260098011032	Pup:1.35356165913904e-15	Adult:4.89439966375653	Adult:9.02546428205885e-14
Tpd52l1	tumor protein D52-like 1	A_51_P482503	Embryo:2.75485201702695	Embryo:2.9745751359802e-11	Pup:4.69095318983126	Pup:1.17973148916649e-15	Adult:7.22209713867992	Adult:5.40722930648688e-19
Bcan	brevican	A_51_P230175	Embryo:3.1120394622537	Embryo:4.95994720585813e-06	Pup:7.14101323232926	Pup:2.21978796947473e-12	Adult:4.24309234326695	Adult:6.78768671344455e-08
Elavl3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	A_51_P305230	Embryo:6.10400720939089	Embryo:1.29536600060287e-08	Pup:4.87023113155953	Pup:4.15296736503156e-07	Adult:3.33331568165958	Adult:0.000200828507029762
Dlx2	distal-less homeobox 2	A_51_P480202	Embryo:7.16286521682083	Embryo:3.06911218271056e-11	Pup:5.37669015058272	Pup:4.0164297448319e-09	Adult:1.7289766433216	Adult:0.0151907969693038
Slc6a1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	A_51_P153368	Embryo:3.99166854866099	Embryo:2.45211004842875e-05	Pup:5.81508067933782	Pup:5.76114576949819e-08	Adult:4.19210791737968	Adult:2.27896361171319e-05
5430407P10Rik	RIKEN cDNA 5430407P10 gene	A_52_P258537	Embryo:4.23161651327382	Embryo:7.20835318552439e-10	Pup:5.03111912614786	Pup:2.22296649509229e-11	Adult:4.7336721427128	Adult:1.52270944746636e-10
Ttyh1	tweety homolog 1 (Drosophila)	A_52_P94482	Embryo:5.4076877889849	Embryo:1.33348067141743e-06	Pup:4.86092662392943	Pup:5.37248545876299e-06	Adult:3.72645714497346	Adult:0.000364450888128504
Fez1	fasciculation and elongation protein zeta 1 (zygin I)	A_52_P342828	Embryo:5.37041335951091	Embryo:2.91921611475741e-10	Pup:3.99461356456939	Pup:3.96318361346619e-08	Adult:4.58712987206151	Adult:9.01917176952202e-09
Tbx15	T-box 15	A_52_P232802	Embryo:3.46773932676548	Embryo:0.000159088359126963	Pup:5.66192762224651	Pup:9.52244989972255e-08	Adult:4.69673587156964	Adult:4.69240783449407e-06
