Affi ID	Gene	Product and function
204619_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)
222294_s_at	RAB27A	RAB27A, member RAS oncogene family
224952_at	DKFZP564D166	Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2
230746_s_at	STC1	Stanniocalcin 1
212646_at	RAFTLIN	Raft-linking protein
204597_x_at	STC1	Stanniocalcin 1
228855_at	NUDT7	Nudix (nucleoside diphosphate linked moiety X)-type motif 7
226974_at		AL536553 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF038YD07 3-PRIME, mRNA sequence.
227491_at		CDNA: FLJ22539 fis, clone HRC13227
212915_at	PDZRN3	PDZ domain containing RING finger 3
212942_s_at	KIAA1199	KIAA1199
202620_s_at	PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2
229585_at	C9orf94	Chromosome 9 open reading frame 94
40560_at	TBX2	T-box 2
203439_s_at	STC2	Stanniocalcin 2
238852_at	PRRX1	Paired related homeobox 1
227370_at	KIAA1946	KIAA1946
232458_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
220244_at	LOH3CR2A	Loss of heterozygosity, 3, chromosomal region 2, gene A
209632_at	PPP2R3A	Protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha
202619_s_at	PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2
1567224_at	HMGA2	High mobility group AT-hook 2
202497_x_at	SLC2A3	Solute carrier family 2 (facilitated glucose transporter), member 3
203435_s_at	MME	Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)
240770_at	LOC134285	Proline-rich protein PRP2
204955_at	SRPX	Sushi-repeat-containing protein, X-linked
212230_at	PPAP2B	Phosphatidic acid phosphatase type 2B
201852_x_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
210510_s_at	NRP1	Neuropilin 1
210839_s_at	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
216598_s_at	CCL2	Chemokine (C-C motif) ligand 2
220014_at	LOC51334	Mesenchymal stem cell protein DSC54
229555_at	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
204135_at	DOC1	Downregulated in ovarian cancer 1
213107_at	TNIK	TRAF2 and NCK interacting kinase
1558682_at	HMGA2	High mobility group AT-hook 2
205767_at	EREG	Epiregulin
224911_s_at	DCBLD2	Discoidin, CUB and LCCL domain containing 2
205381_at	LRRC17	Leucine rich repeat containing 17
223027_at	SNX9	Sorting nexin 9
201984_s_at	EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
202948_at	IL1R1	Interleukin 1 receptor, type I
224999_at	EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
204933_s_at	TNFRSF11B	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
211668_s_at	PLAU	Plasminogen activator, urokinase
206631_at	PTGER2	Prostaglandin E receptor 2 (subtype EP2), 53kDa
201915_at	SEC63	SEC63-like (S. cerevisiae)
203180_at	ALDH1A3	Aldehyde dehydrogenase 1 family, member A3
210915_x_at	TCRB	T cell receptor beta chain (TCRBV8S1-TCRBJ1S5)
211796_s_at	TRBV3-1	T cell receptor beta variable 5-4
227061_at		CDNA FLJ44429 fis, clone UTERU2015653
230003_at		Transcribed locus
