Rank	GenBank	Name	Symbol	HepG2	Hep3B
1	AA400519	Polyhomeotic like 3 (Drosophila)	PHC3	0.53	0.26
2	NM_002673	Plexin B1	PLXNB1	0.51	0.27
3	NM_006405	Transmembrane 9 superfamily member 1	TM9SF1	0.52	0.28
4	BC013603	Zinc finger protein 3 (A8-51)	ZNF3	0.51	0.28
5	NM_012116	Cas-Br-M (murine) ecotropic retroviral transforming sequence C	CBLC	0.52	0.29
6	BE888791	Hepatocellular carcinoma related protein 1	FLJ32642	0.49	0.31
7	NM_015550	Oxysterol binding protein-like 3	OSBPL3	0.46	0.3
8	NM_000149	Fucosyltransferase 3	FUT3	0.51	0.36
9	BG742113	Small proline rich-like (epidermal differentiation complex) 2A	SPRL2A	0.46	0.34
10	NM_014595	5, 3-nucleotidase, cytosolic	NT5C	0.45	0.33
11	NM_016733	LIM domain kinase 2	LIMK2	0.5	0.38
12	NM_003186	Transgelin	TAGLN	0.45	0.34
13	NM_006317	Brain abundant, membrane attached signal protein 1	BASP1	0.52	0.4
14	NM_018282	Paraspeckle component 1	PSPC1	0.51	0.4
15	NM_030763	Nucleosomal binding protein 1	NSBP1	0.52	0.41
16	NM_024532	PF20	PF20	0.53	0.44
17	NM_006680	Malic enzyme 3, NADP(+)-dependent, mitochondrial	ME3	0.46	0.4
