Gene Symbol	Correlation Coefficient	Gene Title
ADCY9	0.44	adenylatecyclase 9
AMFR	0.44	autocrine motility factor receptor
ANXA9	0.43	annexin A9
C6orf97	0.45	chromosome 6 open reading frame 97
CA12	0.48	carbonic anhydrase XII
CELSR1	0.43	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
CYP2B6 /// CYP2B7P1	0.45	cytochrome P450, family 2, subfamily B, polypeptides 6, 7
ESR1	0.5	estrogen receptor 1
FAM176B	0.46	family with sequence similarity 176, member B
GAMT	0.45	guanidinoacetate N-methyltransferase
GATA3	0.45	GATA binding protein 3
GFRA1	0.45	GDNF family receptor alpha 1
GREB1	0.46	growth regulation by estrogen in breast cancer 1
IL6ST	0.44	interleukin 6 signal transducer (gp130, oncostatin M receptor)
KCNK15	0.44	potassium channel, subfamily K, member 15
KDM4B	0.45	lysine (K)-specific demethylase 4B
SCCPDH	0.43	saccharopine dehydrogenase (putative)
SCUBE2	0.46	signal peptide, CUB domain, EGF-like 2
LIV1 (SLC39A6)	0.46	solute carrier family 39 (zinc transporter), member 6
SSH3	0.44	slingshot homolog 3 (Drosophila)
STC2	0.44	stanniocalcin 2
TBC1D9	0.43	TBC1 domain family, member 9 (with GRAM domain)
TFF1	0.44	trefoil factor 1
