U133A Probe sets	Gene Symbol	Gene description	t test (p53-wt versus p53-mut); t value	t test (p53-wt versus p53-mut); p value
200855_at	NCOR1	nuclear receptor co-repressor 1	7.02	4.31E-07
200996_at	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	-6.93	4.90E-09
201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	-7.85	6.80E-11
201755_at	MCM5	minichromosome maintenance complex component 5	-6.8	9.00E-10
201890_at	RRM2	ribonucleotide reductase M2 polypeptide minichromosome maintenance complex component 6	-8.18	2.14E-12
201930_at	MCM6	cell division cycle 20 homolog (S. cerevisiae)	-7.07	4.30E-09
202870_s_at	CDC20	kinesin family member 5C	-7.99	7.57E-11
203130_s_at	KIF5C	BUB1 budding uninhibited by benzimidazoles 1	6.84	4.06E-09
203755_at	BUB1B	homolog beta (yeast)	-7.11	1.40E-09
204092_s_at	AURKA	aurora kinase A	-7.07	5.35E-10
204162_at	NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	-7.42	1.30E-10
204641_at	NEK2	NIMA (never in mitosis gene a)-related kinase 2	-6.81	2.55E-09
204822_at	TTK	TTK protein kinase	-7.19	3.66E-09
205024_s_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	-7.43	1.21E-10
208079_s_at	AURKA	aurora kinase A	-7.17	5.25E-10
208140_s_at	LRRC48	leucine rich repeat containing 48	6.96	2.11E-09
209408_at	KIF2C	kinesin family member 2C	-7.44	1.68E-09
209642_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	-7.53	2.53E-10
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide	-7.05	1.86E-09
210052_s_at	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	-7.14	1.32E-09
210559_s_at	CDC2	mitogen-activated protein kinase 13	-7.25	7.47E-10
212949_at	NCAPH	non-SMC condensin I complex, subunit H	-11.08	2.10E-16
213102_at	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	-7.05	2.21E-09
214077_x_at	MEIS3P1	Meis homeobox 3 pseudogene 1	-7.08	5.95E-10
214435_x_at	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	-6.83	4.50E-09
218039_at	NUSAP1	nucleolar and spindle associated protein 1	-6.87	2.79E-09
218308_at	TACC3	transforming, acidic coiled-coil containing protein 3	-8.47	1.58E-13
218474_s_at	KCTD5	potassium channel tetramerisation domain containing 5	-7.71	5.72E-11
218542_at	CEP55	centrosomal protein 55kDa	-7.21	1.32E-09
218663_at	NCAPG	non-SMC condensin I complex, subunit G	-7.37	1.00E-10
218726_at	DKFZp762E1312	hypothetical protein DKFZp762E1312	-8.21	4.61E-12
219918_s_at	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	-6.91	1.84E-09
221258_s_at	KIF18A	kinesin family member 18A	-6.73	2.69E-09
221275_s_at		NM_030896	7.13	3.79E-10
221276_s_at	SYNC1	syncoilin, intermediate filament 1	8.14	4.94E-12
221562_s_at	SIRT3	sirtuin(silent mating type information regulation 2 homolog) 3(S.cerevisiae)	7.35	1.34E-09
221740_x_at	LRRC37A4	leucine rich repeat containing 37, member A4 (pseudogene)	6.97	4.37E-09
221913_at	SIRT3	sirtuin(silent mating type information regulation 2 homolog)3(S. cerevisiae)	8.08	1.21E-11
36129_at	SGSM2	small G protein signaling modulator 2	7.3	2.61E-10
