Gene ID	Gene name	Fold change
AMFR	Autocrine motility factor receptor	2.3
ANKRD12	Ankyrin repeat domain 11	2.2
CASP2	Caspase 2, apoptosis-related cysteine peptidase	2.7
CBX5	Chromobox homolog 5 (HP1 alpha homolog, Drosophila)	1.4
CCND1	Cyclin D1	1.9
CYP1A1	Cytochrome P450, family 1, subfamily A, polypeptide 1	7.5
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
DST	Dystonin	1.8
DUSP6	Dual specificity phosphatase 6	2.2
EHBP1	EH domain-binding protein 1	2.4
EWSR1	Ewing sarcoma breakpoint region 1	1.8
FOSL1	FOS-like antigen 1	1.7
LMCD	LIM and cysteine-rich domains 1	1.8
MARCKS	MARCKS-like 1	2.5
MCAM	Melanoma cell adhesion molecule	1.6
MLL3	Myeloid/lymphoid or mixed-lineage leukemia 3	2.7
NR2F2	Nuclear receptor subfamily 2, group F, member 2	2.4
PCYOX1	Prenylcysteine oxidase 1	1.3
RBM8A	RNA-binding motif protein 8A	2.5
SPEN	Spen homolog, transcriptional regulator (Drosophila)	2.2
TBL1XR1	Transducin (beta)-like 1 X-linked receptor 1	2.5
TTC3	Tetratricopeptide repeat domain 32	1.8
USP47	Ubiquitin specific peptidase 47	1.7
ZNF281	Zinc finger protein 281	1.5
ZNF294	Ring finger protein 160	1.9
