Probe Set ID	Gene Symbol	Gene Title	Score(d)	Fold Change	Score(d)	Fold Change	Av. Score
1418070_at	Cdyl	chromodomain protein, Y chromosome-like	-47.8650113	0.083242499	-72.23209047	0.05477445	-60.04855088
1415923_at	Ndn	necdin	-54.08689766	0.010213351	-58.57059095	0.008138941	-56.3287443
1435382_at	Ndn	necdin	-73.97400655	0.012211013	-30.52476692	0.013545847	-52.24938673
1450757_at	Cdh11	cadherin 11	-52.71895734	0.004780406	-32.83606778	0.005486061	-42.77751256
1437853_x_at	Ndn	necdin	-67.11431864	0.106507841	-16.32831405	0.143982393	-41.72131634
1434261_at	Sipa1l2	signal-induced proliferation-associated 1 like 2	-38.88348337	0.100176298	-43.07232603	0.071467241	-40.9779047
1437284_at	Fzd1	frizzled homolog 1 (Drosophila)	-61.62221557	0.087919649	-16.5976083	0.099734154	-39.10991194
1435383_x_at	Ndn	necdin	-29.38282764	0.014135568	-40.51486214	0.011975242	-34.94884489
1448293_at	Ebf1	early B-cell factor 1	-19.97454145	0.079649046	-46.49523214	0.06881924	-33.2348868
1460208_at	Fbn1	fibrillin 1	-26.47643918	0.019994834	-38.29920343	0.017986449	-32.3878213
1455792_x_at	Ndn	necdin	-32.70754225	0.018862054	-30.29552023	0.015087034	-31.50153124
1422571_at	Thbs2	thrombospondin 2	-26.72096116	0.012370105	-33.29306513	0.014752812	-30.00701315
1450663_at	Thbs2	thrombospondin 2	-22.23278731	0.031994831	-37.13019505	0.039182738	-29.68149118
1423091_a_at	Gpm6b	glycoprotein m6b	-28.98219134	0.042496205	-29.90898142	0.037534724	-29.44558638
1448254_at	Ptn	pleiotrophin	-32.49107865	0.006224826	-25.94759708	0.006465403	-29.21933786
1447839_x_at	Adm	adrenomedullin	-31.06930195	0.026220338	-26.68754426	0.026450449	-28.87842311
1416211_a_at	Ptn	pleiotrophin	-22.71074547	0.029942109	-34.65922574	0.027113452	-28.68498561
1437983_at	Sall1	sal-like 1 (Drosophila)	-28.23566488	0.142895047	-28.65178147	0.092375379	-28.44372318
1416301_a_at	Ebf1	early B-cell factor 1	-18.08196118	0.08805133	-38.52512881	0.072896663	-28.303545
1425923_at	Mycn	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	-27.44450633	0.011686109	-28.30496412	0.242310728	-27.87473523
1451791_at	Tfpi	tissue factor pathway inhibitor	-17.92046824	0.068705659	-36.86777184	0.041001338	-27.39412004
1454974_at	Ntn1	netrin 1 /// similar to Netrin-1 precursor	-24.19392081	0.108005171	-29.32106542	0.099725797	-26.75749312
1448201_at	Sfrp2	secreted frizzled-related protein 2	-23.83869917	0.012677546	-27.23495611	0.010549186	-25.53682764
1419467_at	Clec14a	C-type lectin domain family 14, member a	-32.53976142	0.050288598	-18.11417558	0.067380341	-25.3269685
1428512_at	Bhlhb9	basic helix-loop-helix domain containing, class B9	-26.93647727	0.110872544	-23.64303428	0.074534201	-25.28975578
1450069_a_at	Cugbp2	CUG triplet repeat, RNA binding protein 2	-16.46504537	0.050834991	-32.84312004	0.056425013	-24.65408271
1436363_a_at	Nfix	nuclear factor I/X	-16.94742522	0.338686421	-31.71184585	0.237204617	-24.32963554
1452296_at	Slit3	slit homolog 3 (Drosophila)	-20.27043565	0.073872774	-28.1523842	0.064820689	-24.21140992
1424916_x_at	Zfp764	zinc finger protein 764	-27.5790413	0.374430281	-19.79657905	0.396379755	-23.68781017
1423584_at	Igfbp7	insulin-like growth factor binding protein 7	-21.93128159	0.012487839	-25.35041816	0.011752294	-23.64084987
1448925_at	Twist2	twist homolog 2 (Drosophila)	-19.92383127	0.159678877	-27.21264083	0.102878729	-23.56823605
1418532_at	Fzd2	frizzled homolog 2 (Drosophila)	-13.39571655	0.298182236	-33.57720348	0.21235803	-23.48646001
1448434_at	Rnf103	ring finger protein 103	-11.34791793	0.180221742	-35.59346604	0.13232709	-23.47069199
1423327_at	Rpl39l	ribosomal protein L39-like	-23.85555858	0.019595602	-22.62516084	0.025925375	-23.24035971
1419468_at	Clec14a	C-type lectin domain family 14, member a	-17.39156775	0.080423713	-28.27613373	0.070558173	-22.83385074
1438682_at	Pik3r1	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	-21.72857712	0.222999048	-23.86811862	0.316947786	-22.79834787
1416077_at	Adm	adrenomedullin	-17.62883164	0.013050907	-27.93973434	0.014563501	-22.78428299
1451244_a_at	Zfp422	zinc finger protein 422	-17.28283848	0.154133112	-27.97743759	0.226409959	-22.63013803
1451332_at	Zfp521	zinc finger protein 521	-18.18934499	0.08112487	-26.80325932	0.035334597	-22.49630215
1436364_x_at	Nfix	nuclear factor I/X	-15.34897851	0.34486719	-29.55130352	0.23546078	-22.45014101
1418533_s_at	Fzd2	frizzled homolog 2 (Drosophila)	-21.61429402	0.345425988	-21.1797532	0.21573027	-21.39702361
1428185_at	Kctd18	potassium channel tetramerisation domain containing 18	-14.61977122	0.251902888	-28.11238899	0.273813511	-21.3660801
1437341_x_at	Cnp	2,3-cyclic nucleotide 3 phosphodiesterase	-12.1375576	0.186328794	-30.58877688	0.157296243	-21.36316724
1428797_at	Setd6	SET domain containing 6	-18.90392369	0.347036373	-23.29294338	0.185545549	-21.09843353
1421392_a_at	Birc3	baculoviral IAP repeat-containing 3	-14.57576388	0.304176144	-27.26016184	0.253259555	-20.91796286
1424133_at	Tmem98	transmembrane protein 98	-20.00964182	0.102399344	-20.92845904	0.089341552	-20.46905043
1451154_a_at	Cugbp2	CUG triplet repeat, RNA binding protein 2	-15.50069472	0.041340325	-24.74769597	0.029487588	-20.12419535
1449630_s_at	Mark1	MAP/microtubule affinity-regulating kinase 1	-23.60542741	0.153289319	-16.52294727	0.119092835	-20.06418734
1448370_at	Ulk1	Unc-51 like kinase 1 (C. elegans)	-31.13601404	0.326022862	-8.63849534	0.386171934	-19.88725469
1422799_at	Bat2	HLA-B associated transcript 2	-13.17633178	0.164357082	-26.47677601	0.181362087	-19.8265539
