Probe.Set.ID	genes with decreased expression	logFC	adj.P.Val	CYTOBAND	Gene name
212899_at	CDC2L6	-1.13125	0.002278357	6q21,	CELL DIVISION CYCLE 2-LIKE 6 (CDK8-LIKE)
218184_at	TULP4	-0.834659091	0.002278357	6q25-q26,	TUBBY LIKE PROTEIN 4
221430_s_at	RNF146	-0.813181818	0.002692168	6q22.1-q22.33,	RING FINGER PROTEIN 146
212815_at	ASCC3	-0.870454545	0.003433838	6q16.1-q16.3,	ACTIVATING SIGNAL COINTEGRATOR 1 COMPLEX SUBUNIT 3
212184_s_at	MAP3K7IP2	-0.840681818	0.003433838	6q25.1-q25.3,	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7 INTERACTING PROTEIN 2
201641_at	BST2	-0.855568182	0.004816046	19p13.2,	BONE MARROW STROMAL CELL ANTIGEN 2
209285_s_at	C3ORF63	-0.858863636	0.004816046	3p14.3,	CHROMOSOME 3 OPEN READING FRAME 63
203972_s_at	PEX3	-0.762272727	0.004816046	6q23-q24,	PEROXISOMAL BIOGENESIS FACTOR 3
212179_at	SFRS18	-0.916363636	0.004816046	6q16.3,	CHROMOSOME 6 OPEN READING FRAME 111
203137_at	WTAP	-0.884886364	0.004816046	6q25-q27,	WILMS TUMOR 1 ASSOCIATED PROTEIN
221493_at	TSPYL1	-1.037613636	0.005092955	6q22-q23,	TSPY-LIKE 1
205202_at	PCMT1	-0.889545455	0.005835631	6q24-q25,	PROTEIN-L-ISOASPARTATE (D-ASPARTATE) O-METHYLTRANSFERASE
200876_s_at	PSMB1	-0.690909091	0.005835631	6q27,	PROTEASOME (PROSOME, MACROPAIN) SUBUNIT, BETA TYPE, 1
216199_s_at	MAP3K4	-0.856363636	0.008632525	6q26,	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 4
218376_s_at	MICAL1	-0.790795455	0.008632525	6q21,	MICROTUBULE ASSOCIATED MONOXYGENASE, CALPONIN AND LIM DOMAIN CONTAININ...
208405_s_at	CD164	-0.914659091	0.009440241	6q21,	CD164 ANTIGEN, SIALOMUCIN
213271_s_at	DOPEY1	-0.623636364	0.011687636	6q15,	DOPEY FAMILY MEMBER 1
218196_at	OSTM1	-0.984772727	0.012182874	6q21,	OSTEOPETROSIS ASSOCIATED TRANSMEMBRANE PROTEIN 1
