Affy Platform	32 Probe sets of the Miller signature	Gene Symbol	Gene description	ER negative versus ER positive t test p value
U 133 B	223864_at	NY-BR-1	Breast cancer antigen NY-BR-1	0.1445
U 133 B	226067_at	Not available	Not available	0.1176
U 133 B	227081_at	HUMAUANTIG	Nucleolar GTPase	0.00095
U 133 B	228969_at	AGR2	Anterior gradient 2 homolog (Xenopus laevis)	0.05315
U 133 B	229030_at	Not available	Not available	0.0382
U 133 B	229150_at	Not available	Transcribed sequences	0.0219
U 133 B	229975_at	Not available	Transcribed sequences	0.0105
U 133 B	230378_at	SCGB3A1	Secretoglobulin, family 3A, member 1	0.712
U 133 B	230863_at	LRP2	Low density lipoprotein-related protein 2	0.01556
U 133 B	232855_at	MRNA full length	insert cDNA clone EUROIMAGE 980547	0.00261
U 133 B	233413_at	CDNA FLJ13457	fis, clone PLACE1003343	0.433
U 133 B	235343_at	FLJ12505	Hypothetical protein FLJ12505	0.4514
U 133 B	238581_at	GBP5	Guanylate binding protein 5	0.08673
U 133 B	238746_at	Not available	Transcribed sequences	0.9387
U 133 B	243929_at	Not available	Transcribed sequences	0.576
