Rank	Symbol	Description	Map	p-value	FDR	Mean PN	Mean PT	Fold (PN/PT)
1	ENO2	Enolase 2 (gamma, neuronal)	12p13	0.0000002	0.0018	0.5325	1.3140	0.4053
2	CENPE	Centromere protein E, 312kDa	4q24-q25	0.0000007	0.0032	0.8352	1.6465	0.5072
3	LIMK1	LIM domain kinase 1	7q11.23	0.0000013	0.0040	0.5751	0.9229	0.6231
4	LRP6	Low density lipoprotein receptor-related protein 6	12p11-p13	0.0000031	0.0071	0.3257	0.6943	0.4691
5	RAB8A	RAB8A, member RAS oncogene family	19p13.1	0.0000047	0.0086	0.5478	0.9535	0.5745
6	ITGA9	Integrin, alpha 9	3p21.3	0.0000074	0.0095	0.6838	1.1673	0.5858
7	FZD2	Frizzled homolog 2 (Drosophila)	17q21.1	0.0000088	0.0095	0.5705	0.8768	0.6506
8	VAMP3	Vesicle-associated membrane protein 3 (cellubrevin)	1p36.23	0.0000115	0.0095	0.6135	1.1078	0.5538
9	RPS6KA4	Ribosomal protein S6 kinase, 90kDa, polypeptide 4	11q11-q13	0.0000122	0.0095	1.9033	0.9983	1.9066
10	G3BP2	GTPase activating protein (SH3 domain) binding protein 2	4q21.1	0.0000125	0.0095	0.6200	1.1066	0.5603
11	GTF2H1	General transcription factor IIH, polypeptide 1, 62kDa	11p15.1-p14	0.0000154	0.0108	0.7152	1.1067	0.6612
12	RAB3A	RAB3A, member RAS oncogene family	19p13.2	0.0000185	0.0108	0.5943	1.1068	0.5484
13	U2AF1	U2 small nuclear RNA auxiliary factor 1	21q22.3	0.0000195	0.0108	1.3551	1.1069	1.5515
14	MATK	Megakaryocyte-associated tyrosine kinase	19p13.3	0.0000201	0.0108	0.6176	1.1070	0.6256
15	RGS20	Regulator of G-protein signaling 20	8q	0.0000212	0.0108	0.6813	1.1071	0.6927
16	MDFI	MyoD family inhibitor	6p21	0.000023	0.0110	0.4494	1.1072	0.5867
17	ENO3	enolase 3 (beta, muscle) (ENO3)	17p13.2	0.0000263	0.0120	0.3960	1.1073	0.4559
18	HOXB13	Homeobox B13	17q21.2	0.0000309	0.0134	0.3600	1.1074	0.3919
19	GALK1	Galactokinase 1	17q24	0.0000335	0.0139	7.6805	1.1075	11.1268
20	TBC1D16	TBC1 domain family, member 16	17q25.3	0.0000377	0.0145	2.6300	1.1076	1.9645
21	N4BP1	NEDD4 binding protein 1	16q12.1	0.0000381	0.0145	1.3587	1.1077	1.7216
22	ZNF646	Zinc finger protein 646	16p11.2	0.0000437	0.0153	0.5131	1.1078	0.5833
23	VPS41	Vacuolar protein sorting 41 homolog (S. cerevisiae)	7p14-p13	0.0000475	0.0153	0.6539	1.1079	0.6535
24	AK3	Adenylate kinase 3	9p24.1-p24.3	0.000048	0.0153	9.6368	1.1080	14.3472
25	ALDH3B1	Aldehyde dehydrogenase 3 family, member B1	11q13	0.0000483	0.0153	0.5757	1.1081	0.6106
26	EPB42	Erythrocyte membrane protein band 4.2	15q15-q21	0.0000485	0.0153	0.6149	1.1082	0.6412
27	STOML1	Stomatin (EPB72)-like 1	15q24-q25	0.0000585	0.0164	0.7584	1.1083	0.6941
28	JMJD8	Jumonji domain containing 8	16p13.3	0.0000589	0.0164	3.9184	1.1084	6.3168
29	PDK1	Pyruvate dehydrogenase kinase, isozyme 1	2q31.1	0.0000598	0.0164	0.7159	1.1085	0.6660
30	PLD2	Phospholipase D2	17p13.1	0.0000609	0.0164	0.6624	1.1086	0.6520
31	CRISPLD2	Cysteine-rich secretory protein LCCL domain containing 2	16q24.1	0.0000611	0.0164	1.7451	1.1087	1.7089
32	STUB1	STIP1 homology and U-box containing protein 1	16p13.3	0.0000702	0.0177	0.6793	1.1088	0.6717
33	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1	18q21.32	0.0000736	0.0177	0.6512	1.1089	0.4965
34	BASP1	Brain abundant, membrane attached signal protein 1	5p15.1-p14	0.0000771	0.0177	0.6211	1.1090	0.6887
35	TSHZ1	teashirt zinc finger homeobox 1 (TSHZ1)	18q22.3	0.0000774	0.0177	0.6041	1.1091	0.5503
36	CDH13	cadherin 13, H-cadherin (heart) (CDH13)	16q23.3	0.0000787	0.0177	0.6963	1.1092	0.6185
37	CHGB	chromogranin B (secretogranin 1) (CHGB)	20p12.3	0.0000806	0.0177	0.6110	1.1093	0.5643
38	DTYMK	Deoxythymidylate kinase (thymidylate kinase)	2q37.3	0.0000819	0.0177	0.9487	1.1094	0.6519
39	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial) (GPD2), nuclear gene encoding mitochondrial protein	2q24.1	0.0000836	0.0177	0.6775	1.1095	0.5894
40	JOSD1	Josephin domain containing 1	22q13.1	0.0000852	0.0177	0.6400	1.1096	0.6592
41	ZNF605	Zinc finger protein 605	12q24.33	0.0000855	0.0177	5.3170	1.1097	5.9517
42	SLC20A2	Solute carrier family 20 (phosphate transporter), member 2	8p12-p11	0.0000891	0.0181	0.6414	1.1098	0.6496
43	ASPH	Aspartate beta-hydroxylase	8q12.1	0.0001049	0.0207	0.6908	1.1099	0.4435
44	LOC100131096	Hypothetical protein LOC100131096	17q25.3	0.0001066	0.0207	1.4685	1.1100	1.4667
45	PCF11	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	11q13	0.0001217	0.0231	1.6973	1.1101	1.8059
46	HCG2P7	HLA complex group 2 pseudogene 7	6p21.3	0.0001285	0.0235	1.0582	1.1102	0.3714
47	CYTH3	Cytohesin 3	7p22.1	0.0001354	0.0237	0.7575	1.1103	0.7102
48	HIPK1	Homeodomain interacting protein kinase 1	1p13.2	0.0001371	0.0237	1.7646	1.1104	1.6205
49	CALCOCO2	Calcium binding and coiled-coil domain 2	17q21.32	0.0001375	0.0237	0.6552	1.1105	0.5839
50	COPA	Coatomer protein complex, subunit alpha	1q23-q25	0.0001437	0.0238	0.7118	1.1106	0.7212
51	FEN1	Flap structure-specific endonuclease 1	11q12	0.0001619	0.0253	0.8765	1.1107	0.6069
52	NCAPD3	Non-SMC condensin II complex, subunit D3	11q25	0.0001654	0.0253	0.8594	1.1108	0.6960
53	GYS1	glycogen synthase 1 (muscle) (GYS1)	19q13.3	0.0001677	0.0253	0.5870	1.1109	0.6753
54	ADD2	adducin 2 (beta) (ADD2)	2p13.3	0.0001691	0.0253	0.5375	1.1110	0.6825
