Biological functions	Gene symbol	Gene name	Fold-change PHH pool #1	Fold-change PHH pool #2	Fold-change HepaRG
Cell death	FAS	Fas (TNF receptor superfamily, member 6)	1.51	1.6	1.84
Cell death	FDXR	Ferredoxin reductase	4.78	4.1	1.89
Cell death	FHIT	Fragile histidine triad gene	-2.97	-2.36	-2.27
Cell death	LRDD	Leucine-rich repeats and death domain containing	1.87	1.76	1.7
Cell death	PHLDA3	Pleckstrin homology-like domain, family A, member 3	3.13	5.33	1.62
Cell death	PPM1D	Protein phosphatase 1D magnesium-dependent, delta isoform	1.93	1.94	1.57
Cell death	PPM1K	Protein phosphatase 1 K (PP2C domain containing)	-1.56	-2.36	-2.08
Cell death	TNFRSF10C	Tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain	2.42	2.94	-1.74
Cell death	TP53I3	Tumor protein p53 inducible protein 3	2.8	2.64	2.15
Cell structure and movement	COMMD1	Copper metabolism (Murr1) domain containing 1	-1.6	-1.94	-1.98
Cell structure and movement	DYSF	Dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	-2.09	-1.55	-1.65
Cell structure and movement	EFNB1	Ephrin-B1	1.64	1.67	1.89
Cell structure and movement	IQGAP2	IQ motif containing GTPase activating protein 2	-3.11	-1.88	-2.69
Cell structure and movement	MYLK	Myosin light chain kinase	-1.54	-1.59	-1.67
Cell structure and movement	PROX1	Prospero homeobox 1	-2.32	-1.89	-2.17
Cell structure and movement	SERTAD1	SERTA domain containing 1	1.6	1.53	2.37
Cell structure and movement	TIAM2	T-cell lymphoma invasion and metastasis 2	-1.94	-2.06	-2.1
Cell structure and movement	UTRN	Utrophin	-1.67	-2.34	-1.51
Cell proliferation	BTG2	BTG family, member 2	2.43	3.49	1.94
Cell proliferation	CEP76	Centrosomal protein 76 kDa	2.5	1.71	2.02
Cell proliferation	PCNA	Proliferating cell nuclear antigen	3.36	2.82	2.32
Cell proliferation	PLK3	Polo-like kinase 3 (Drosophila)	2.07	1.96	1.92
Cell proliferation	RPTOR (KIAA1303)	Raptor	-2.33	-2.48	-1.59
Cell proliferation	TEP1	Telomerase-associated protein 1	2.45	1.92	2.14
Cell proliferation	TRIAP1	TP53 regulated inhibitor of apoptosis 1	2.25	2.38	1.87
DNA replication and repair	BRE	Brain and reproductive organ-expressed (TNFRSF1A modulator)	-2.11	-2.58	-1.62
