Gene	Fold change	Description	Family	Location
IL8	24.34	Interleukin 8	Cytokine	Extracellular space
CXCL2	20.79	Chemokine (C-X-C motif) ligand 2	Cytokine	Extracellular space
IL11	19.40	Interleukin 11	Cytokine	Extracellular space
PLA2G4A	15.12	Phospholipase A2, group IVA	Enzyme	Cytoplasm
PTGS2	14.40	Prostaglandin-endoperoxide synthase 2	Enzyme	Cytoplasm
IL6	11.67	Interleukin 6 (interferon,  2)	Cytokine	Extracellular space
IL1B	11.17	Interleukin 1,  	Cytokine	Extracellular space
IL1RN	10.42	Interleukin 1 receptor antagonist gene	Cytokine	Extracellular space
SAT	8.42	Spermidine/spermine N1-acetyltransferase	Enzyme	Cytoplasm
PLAU	6.90	Plasminogen activator, urokinase	Peptidase	Extracellular space
PLAT	6.36	Plasminogen activator, tissue	Peptidase	Extracellular space
F2RL1	4.53	Coagulation factor II (thrombin) receptor-like 1	G-protein coupled receptor	Plasma membrane
IL1R1	4.37	Interleukin 1 receptor, type I	Transmembrane receptor	Plasma membrane
NFKBIA	4.18	Nuclear factor of   light polypeptide gene enhancer in B-cells inhibitor,		Cytoplasm
FOS	4.18	FBJ osteosarcoma oncogene	Transcription regulator	Nucleus
ICAM1	3.84	Intercellular adhesion molecule 1	Transmembrane receptor	Plasma membrane
MMP3	3.13	Matrix metalloproteinase 3	Peptidase	Extracellular space
CEBPB	2.59	CCAAT/enhancer binding protein (C/EBP),  	Transcription regulator	Nucleus
SGNE1	2.54	Secretory granule, neuroendocrine protein 1 (7B2 protein)		Extracellular space
IFNGR1	2.25	Interferon   receptor 1	Transmembrane receptor	Plasma membrane
CLU	2.19	Clusterin		Extracellular space
NFKB1	2.02	Nuclear factor of   light polypeptide gene enhancer in B-cells 1	Transcription regulator	Nucleus
NR4A1	2.00	Nuclear receptor subfamily 4, group A, member 1	Ligand-dependent nuclear receptor	Nucleus
