Significant regulation period	Gene	Human product	EC-specific expression (q-value)	EC/Non-EC ratio
Up E10 to E14	JAM2	junctional adhesion molecule 2	0	—
Up E7 to E10	MMRN1	multimerin 1	0	—
Up E7 to E10	SOX7	SRY (sex determining region Y)-box 7	0	—
Up E5 to E7	VWF	von Willebrand factor	0	—
Up E5 to E7	HEY1	hairy/enhancer-of-split related with YRPW motif 1	0.01	—
Up E5 to E7	C8orf4	chromosome 8 open reading frame 4	0.1	—
Up E10 to E14	GPR137B	G protein-coupled receptor 137B	0.1	—
Up E5 to E7	SOX17	SRY (sex determining region Y)-box 17	0.1	—
Down E7 to E10	CENPL	centromere protein L	0.29	—
Down E10 to E14	DISP1	dispatched homolog 1 (Drosophila)	0.29	—
Down E10 to E14	DTL	denticleless homolog (Drosophila)	0.29	—
Up E7 to E10	MXD1	MAX dimerization protein 1	0.29	—
Up E5 to E7	PDE3A	phosphodiesterase 3A, cGMP-inhibited	0.29	—
Up E5 to E7	SEMA6D	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	0.29	—
Up E7 to E10	SHE	Src homology 2 domain containing E	0.29	—
Up E7 to E10	UNC5B	unc-5 homolog B (C. elegans)	0.29	—
Down E10 to E14	A2M	alpha-2-macroglobulin	0	208.91
Up E5 to E7	PECAM1	platelet/endothelial cell adhesion molecule	0	179
Up E7 to E10	ARSJ	arylsulfatase family, member J	0.01	23
Up E10 to E14	RGS4	regulator of G-protein signaling 4	0	20.23
Up E5 to E7	EMP1	epithelial membrane protein 1	0	19.87
Up E7 to E10	PRCP	prolylcarboxypeptidase (angiotensinase C)	0	17.52
Up E7 to E10	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0	15.91
Down E5 to E7	TTK	TTK protein kinase	0.12	13.71
Down E5 to E7	PODXL	podocalyxin-like	0	13.14
Down E10 to E14	WDSOF1	WD repeats and SOF1 domain containing	0.01	12.87
Up E7 to E10	PTRF	polymerase I and transcript release factor	0	12.65
Up E7 to E10	LDB2	LIM domain binding 2	0	8.68
Up E5 to E7	ITGA6	integrin, alpha 6	0.01	6.95
Down E10 to E14	PARVB	parvin, beta	0.05	6.66
Up E7 to E10	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	0.03	6.08
Down E10 to E14	CYR61	cysteine-rich, angiogenic inducer, 61	0	6.01
Up E7 to E10	TSPAN7	tetraspanin 7	0.18	5.86
